x,y
-1.5526,-18.8225
-1.4227,-18.8225
-1.2927,-18.8225
-1.3577,-18.9351
-1.4877,-18.9351
-1.6176,-18.9351
-1.7476,-18.9351
-1.8776,-18.9351
-1.8126,-18.8225
-1.6826,-18.8225
-1.7476,-18.7099
-1.8776,-18.7099
-1.8126,-18.5973
-1.6826,-18.5973
-1.5526,-18.5973
-1.4227,-18.5973
-1.2927,-18.5973
-1.3576,-18.4847
-1.2927,-18.3721
-1.4227,-18.3721
-1.5526,-18.3721
-1.4877,-18.4847
-1.6176,-18.4847
-1.7476,-18.4847
-1.8126,-18.3721
-1.6826,-18.3721
-1.7476,-18.2595
-1.8776,-18.2595
-1.8126,-18.1469
-1.6826,-18.1469
-1.5526,-18.1469
-1.4227,-18.1469
-1.2927,-18.1469
-1.3577,-18.0343
-1.4877,-18.0343
-1.6176,-18.0343
-1.7476,-18.0343
-1.8776,-18.0343
-1.9426,-18.1469
-2.0077,-18.0343
-2.1376,-18.0343
-2.0727,-18.1469
-2.1376,-18.2595
-2.0077,-18.2595
-2.0727,-18.3721
-2.1376,-18.4847
-2.0727,-18.5973
-2.1376,-18.7099
-2.0077,-18.7099
-2.0727,-18.8225
-2.1376,-18.9351
-2.0077,-18.9351
-2.0727,-19.0477
-2.1376,-19.1603
-2.0077,-19.1603
-2.0727,-19.2729
-2.1376,-19.3855
-2.0077,-19.3855
-2.0727,-19.4981
-2.1376,-19.6107
-2.0077,-19.6107
-2.0727,-19.7233
-2.1376,-19.8359
-2.0077,-19.8359
-2.0727,-19.9485
-2.1376,-20.0611
-2.0077,-20.0611
-1.9427,-20.1737
-2.0727,-20.1737
-2.1376,-20.2863
-2.0077,-20.2863
-2.0727,-20.3989
-2.1376,-20.5115
-2.0077,-20.5115
-2.0727,-20.6241
-2.1376,-20.7367
-2.0077,-20.7367
-2.0727,-20.8493
-2.2027,-20.8493
-2.3326,-20.8493
-2.4626,-20.8493
-2.5926,-20.8493
-2.7226,-20.8493
-2.8526,-20.8493
-2.7876,-20.7367
-2.6576,-20.7367
-2.5276,-20.7367
-2.3976,-20.7367
-2.2676,-20.7367
-2.2027,-20.6241
-2.3326,-20.6241
-2.4626,-20.6241
-2.5926,-20.6241
-2.7226,-20.6241
-2.8526,-20.6241
-2.9826,-20.6241
-3.0476,-20.5115
-2.9176,-20.5115
-2.7876,-20.5115
-2.6576,-20.5115
-2.5276,-20.5115
-2.3976,-20.5115
-2.2676,-20.5115
-2.2027,-20.3989
-2.3326,-20.3989
-2.4626,-20.3989
-2.5926,-20.3989
-2.7226,-20.3989
-2.8526,-20.3989
-2.9826,-20.3989
-2.9176,-20.2863
-3.0476,-20.2863
-2.9826,-20.1737
-2.8526,-20.1737
-2.7226,-20.1737
-2.5926,-20.1737
-2.4626,-20.1737
-2.3326,-20.1737
-2.2027,-20.1737
-2.2676,-20.0611
-2.2027,-19.9485
-2.3326,-19.9485
-2.4626,-19.9485
-2.5926,-19.9485
-2.7226,-19.9485
-2.8526,-19.9485
-2.9826,-19.9485
-3.0476,-20.0611
-2.9176,-20.0611
-2.7876,-20.0611
-2.6576,-20.0611
-2.5276,-20.0611
-2.3976,-20.0611
-2.3976,-20.2863
-2.5276,-20.2863
-2.6576,-20.2863
-2.7876,-20.2863
-3.1127,-20.1737
-3.2427,-20.1737
-3.3726,-20.1737
-3.5026,-20.1737
-3.4377,-20.2863
-3.3076,-20.2863
-3.1777,-20.2863
-3.2426,-20.3989
-3.1127,-20.3989
-3.1777,-20.5115
-3.1127,-20.6241
-2.9176,-20.7367
-2.5722,-21.0578
-2.4422,-21.0578
-2.3122,-21.0578
-2.1822,-21.0578
-2.0522,-21.0578
-1.9222,-21.0578
-1.7922,-21.0578
-1.6622,-21.0578
-1.5322,-21.0578
-1.4022,-21.0578
-1.4227,-20.8493
-1.5526,-20.8493
-1.4877,-20.7367
-1.6176,-20.7367
-1.7476,-20.7367
-1.8776,-20.7367
-1.8126,-20.6241
-1.6826,-20.6241
-1.5526,-20.6241
-1.4227,-20.6241
-1.2927,-20.6241
-1.3577,-20.5115
-1.4877,-20.5115
-1.6176,-20.5115
-1.7476,-20.5115
-1.8776,-20.5115
-1.9426,-20.6241
-1.9426,-20.3989
-1.8126,-20.3989
-1.6826,-20.3989
-1.5526,-20.3989
-1.4227,-20.3989
-1.2927,-20.3989
-1.3577,-20.2863
-1.4226,-20.1737
-1.3577,-20.0611
-1.4877,-20.0611
-1.6176,-20.0611
-1.5527,-20.1737
-1.6826,-20.1737
-1.8126,-20.1737
-1.8776,-20.2863
-1.7476,-20.2863
-1.6176,-20.2863
-1.4877,-20.2863
-1.2926,-20.1737
-1.1626,-20.1737
-1.0326,-20.1737
-0.9026,-20.1737
-0.7727,-20.1737
-0.8376,-20.2863
-0.7077,-20.2863
-0.6427,-20.1737
-0.7077,-20.0611
-0.8376,-20.0611
-0.7727,-19.9485
-0.8376,-19.8359
-0.7077,-19.8359
-0.7727,-19.7233
-0.8376,-19.6107
-0.7077,-19.6107
-0.7727,-19.4981
-0.8376,-19.3855
-0.7077,-19.3855
-0.7727,-19.2729
-0.8376,-19.1603
-0.7077,-19.1603
-0.7727,-19.0477
-0.8376,-18.9351
-0.7077,-18.9351
-0.7727,-18.8225
-0.8376,-18.7099
-0.7077,-18.7099
-0.7727,-18.5973
-0.8376,-18.4847
-0.7727,-18.3721
-0.8376,-18.2595
-0.7077,-18.2595
-0.7727,-18.1469
-0.8376,-18.0343
-0.7077,-18.0343
-0.7727,-17.9217
-0.9027,-17.9217
-1.0326,-17.9217
-1.1626,-17.9217
-1.2276,-18.0343
-1.0976,-18.0343
-0.9676,-18.0343
-0.9027,-18.1469
-1.0326,-18.1469
-1.1626,-18.1469
-1.2276,-18.2595
-1.0976,-18.2595
-0.9676,-18.2595
-0.9027,-18.3721
-1.0326,-18.3721
-0.9677,-18.4847
-1.0976,-18.4847
-1.2276,-18.4847
-1.1626,-18.5973
-1.0326,-18.5973
-0.9027,-18.5973
-0.9676,-18.7099
-0.9027,-18.8225
-1.0326,-18.8225
-1.1626,-18.8225
-1.2276,-18.9351
-1.0976,-18.9351
-0.9676,-18.9351
-0.9027,-19.0477
-1.0326,-19.0477
-1.1626,-19.0477
-1.2276,-19.1603
-1.0976,-19.1603
-0.9676,-19.1603
-0.9027,-19.2729
-1.0326,-19.2729
-1.1626,-19.2729
-1.2276,-19.3855
-1.0976,-19.3855
-0.9676,-19.3855
-0.9027,-19.4981
-1.0326,-19.4981
-1.1626,-19.4981
-1.2276,-19.6107
-1.0976,-19.6107
-0.9676,-19.6107
-0.9027,-19.7233
-1.0326,-19.7233
-1.1626,-19.7233
-1.2276,-19.8359
-1.0976,-19.8359
-0.9676,-19.8359
-0.9027,-19.9485
-1.0326,-19.9485
-1.1626,-19.9485
-1.2276,-20.0611
-1.0976,-20.0611
-0.9676,-20.0611
-0.9676,-20.2863
-0.9027,-20.3989
-1.0326,-20.3989
-1.1626,-20.3989
-1.2276,-20.5115
-1.0976,-20.5115
-0.9676,-20.5115
-0.9027,-20.6241
-1.0326,-20.6241
-1.1626,-20.6241
-1.2276,-20.7367
-1.0976,-20.7367
-0.9676,-20.7367
-1.0326,-20.8493
-1.1626,-20.8493
-1.2927,-20.8493
-1.3577,-20.7367
-1.6826,-20.8493
-1.8126,-20.8493
-1.9426,-20.8493
-1.9872,-21.1704
-2.1172,-21.1704
-2.2472,-21.1704
-2.3772,-21.1704
-2.5072,-21.1704
-2.3259,-21.3556
-2.1959,-21.3556
-2.0659,-21.3556
-1.9359,-21.3556
-1.8059,-21.3556
-1.8572,-21.1704
-1.7272,-21.1704
-1.5972,-21.1704
-1.2276,-20.2863
-1.0976,-20.2863
-0.7727,-20.3989
-0.8376,-20.5115
-0.7077,-20.5115
-0.7727,-20.6241
-0.5776,-20.5115
-0.5127,-20.3989
-0.6426,-20.3989
-0.5776,-20.2863
-0.4476,-20.2863
-0.3827,-20.3989
-0.3176,-20.2863
-0.2527,-20.1737
-0.3826,-20.1737
-0.5126,-20.1737
-0.4476,-20.0611
-0.3827,-19.9485
-0.4476,-19.8359
-0.3827,-19.7233
-0.4476,-19.6107
-0.3827,-19.4981
-0.4476,-19.3855
-0.3827,-19.2729
-0.4476,-19.1603
-0.3827,-19.0477
-0.4476,-18.9351
-0.3827,-18.8225
-0.4476,-18.7099
-0.3827,-18.5973
-0.4476,-18.4847
-0.3827,-18.3721
-0.4476,-18.2595
-0.3827,-18.1469
-0.4476,-18.0343
-0.3827,-17.9217
-0.2527,-17.9217
-0.3176,-18.0343
-0.1877,-18.0343
-0.0577,-18.0343
-0.1226,-18.1469
0.0073,-18.1469
-0.0577,-18.2595
