x,y
4.6633,21.4907
4.5333,21.4907
4.4033,21.4907
4.2695,21.4907
4.13,21.4907
4.0,21.4907
3.87,21.4907
3.74,21.4907
3.61,21.4907
3.48,21.4907
3.35,21.4907
3.22,21.4907
3.09,21.4907
2.96,21.4907
2.83,21.4907
2.7,21.4907
2.57,21.4907
2.765,21.6033
2.895,21.6033
3.025,21.6033
2.96,21.7159
3.025,21.8285
3.155,21.8285
3.285,21.8285
3.415,21.8285
3.545,21.8285
3.675,21.8285
3.805,21.8285
3.935,21.8285
4.065,21.8285
4.195,21.8285
4.2695,21.7159
4.3383,21.8285
4.4683,21.8285
4.5983,21.8285
4.7283,21.8285
4.8583,21.8285
4.9883,21.8285
5.1183,21.8285
5.2483,21.8285
5.3783,21.8285
5.5083,21.8285
5.6383,21.8285
5.7683,21.8285
5.8983,21.8285
6.0283,21.8285
6.1583,21.8285
6.2883,21.8285
6.4183,21.8285
6.5483,21.8285
6.6783,21.8285
6.8083,21.8285
6.9383,21.8285
7.0128,21.7159
7.0816,21.8285
7.2116,21.8285
7.3416,21.8285
7.3894,21.9994
7.2594,21.9994
7.1294,21.9994
6.9994,21.9994
6.8694,21.9994
6.7394,21.9994
6.6094,21.9994
6.4794,21.9994
6.3494,21.9994
6.2194,21.9994
6.0894,21.9994
5.9594,21.9994
5.8294,21.9994
5.6994,21.9994
5.5694,21.9994
5.4394,21.9994
5.3094,21.9994
5.1794,21.9994
5.0494,21.9994
4.9194,21.9994
4.7894,21.9994
4.6594,21.9994
4.5294,21.9994
4.3994,21.9994
4.4644,22.112
4.5944,22.112
4.7244,22.112
4.8544,22.112
4.9844,22.112
5.1144,22.112
5.2444,22.112
5.3744,22.112
5.5044,22.112
5.6344,22.112
5.7644,22.112
5.8944,22.112
6.0244,22.112
6.1544,22.112
6.2844,22.112
6.4144,22.112
6.5444,22.112
6.6744,22.112
6.8044,22.112
6.9344,22.112
7.0644,22.112
7.1944,22.112
7.3244,22.112
7.4544,22.112
7.3894,22.2246
7.2594,22.2246
7.1294,22.2246
6.9994,22.2246
6.8694,22.2246
6.7394,22.2246
6.6094,22.2246
6.4794,22.2246
6.3494,22.2246
6.2194,22.2246
6.0894,22.2246
5.9594,22.2246
5.8294,22.2246
5.6994,22.2246
5.5694,22.2246
5.4394,22.2246
5.3094,22.2246
5.1794,22.2246
5.0494,22.2246
4.9194,22.2246
4.7894,22.2246
4.6594,22.2246
4.5294,22.2246
4.3994,22.2246
4.3344,22.3372
4.4644,22.3372
4.5944,22.3372
4.7244,22.3372
4.8544,22.3372
4.9844,22.3372
5.1144,22.3372
5.2444,22.3372
5.3744,22.3372
5.5044,22.3372
5.6344,22.3372
5.7644,22.3372
5.8944,22.3372
6.0244,22.3372
6.1544,22.3372
6.2844,22.3372
6.4144,22.3372
6.5444,22.3372
6.6744,22.3372
6.8044,22.3372
6.9344,22.3372
7.0644,22.3372
7.1944,22.3372
7.3244,22.3372
7.4544,22.3372
7.3894,22.4498
7.2594,22.4498
7.1294,22.4498
6.9994,22.4498
6.8694,22.4498
6.7394,22.4498
6.6094,22.4498
6.4794,22.4498
6.3494,22.4498
6.2194,22.4498
6.0894,22.4498
5.9594,22.4498
5.8294,22.4498
5.6994,22.4498
5.5694,22.4498
5.4394,22.4498
5.3094,22.4498
5.1794,22.4498
5.0494,22.4498
4.9194,22.4498
4.7894,22.4498
4.6594,22.4498
4.5294,22.4498
4.3994,22.4498
4.4644,22.5624
4.5944,22.5624
4.7244,22.5624
4.8544,22.5624
4.9844,22.5624
5.1144,22.5624
5.2444,22.5624
5.3744,22.5624
5.5044,22.5624
5.6344,22.5624
5.7644,22.5624
5.8944,22.5624
6.0244,22.5624
6.1544,22.5624
6.2844,22.5624
6.4144,22.5624
6.5444,22.5624
6.6744,22.5624
6.8044,22.5624
6.9344,22.5624
7.0644,22.5624
7.1944,22.5624
7.3244,22.5624
7.4544,22.5624
7.3894,22.675
7.5194,22.675
7.4544,22.7876
7.3244,22.7876
7.1944,22.7876
7.0644,22.7876
6.9344,22.7876
6.8044,22.7876
6.6744,22.7876
6.5444,22.7876
6.4144,22.7876
6.2844,22.7876
6.1544,22.7876
6.0244,22.7876
5.8944,22.7876
5.7644,22.7876
5.6344,22.7876
5.5044,22.7876
5.3744,22.7876
5.2444,22.7876
5.1144,22.7876
4.9844,22.7876
4.8544,22.7876
4.7244,22.7876
4.5944,22.7876
4.4644,22.7876
4.3344,22.7876
4.3994,22.9002
4.5294,22.9002
4.6594,22.9002
4.7894,22.9002
4.9194,22.9002
5.0494,22.9002
5.1794,22.9002
5.3094,22.9002
5.4394,22.9002
5.5694,22.9002
5.6994,22.9002
5.8294,22.9002
5.9594,22.9002
6.0894,22.9002
6.2194,22.9002
6.3494,22.9002
6.4794,22.9002
6.6094,22.9002
6.7394,22.9002
6.8694,22.9002
6.9994,22.9002
7.1294,22.9002
7.2594,22.9002
7.3894,22.9002
7.5194,22.9002
7.4544,23.0128
7.3244,23.0128
7.1944,23.0128
7.0644,23.0128
6.9344,23.0128
6.8044,23.0128
6.6744,23.0128
6.5444,23.0128
6.4144,23.0128
6.2844,23.0128
6.1544,23.0128
6.0244,23.0128
5.8944,23.0128
5.7644,23.0128
5.6344,23.0128
5.5044,23.0128
5.3744,23.0128
5.2444,23.0128
5.1144,23.0128
4.9844,23.0128
4.8544,23.0128
4.7244,23.0128
4.5944,23.0128
4.4644,23.0128
4.3344,23.0128
4.3383,23.1666
4.4683,23.1666
4.5983,23.1666
4.7283,23.1666
4.8583,23.1666
4.9883,23.1666
5.1183,23.1666
5.2483,23.1666
5.3783,23.1666
5.5083,23.1666
5.6383,23.1666
5.7683,23.1666
5.8983,23.1666
6.0283,23.1666
6.1583,23.1666
6.2883,23.1666
6.4183,23.1666
6.5483,23.1666
6.6783,23.1666
6.8083,23.1666
6.9383,23.1666
7.0128,23.2792
7.0816,23.1666
7.2116,23.1666
7.3416,23.1666
7.4716,23.1666
7.4066,23.5044
7.2766,23.5044
7.1466,23.5044
7.0128,23.5044
6.8733,23.5044
6.7433,23.5044
6.6133,23.5044
6.4833,23.5044
6.3533,23.5044
6.2233,23.5044
6.0933,23.5044
5.9633,23.5044
5.8333,23.5044
5.7033,23.5044
5.5733,23.5044
5.4433,23.5044
5.3133,23.5044
5.1833,23.5044
5.0533,23.5044
4.9233,23.5044
4.7933,23.5044
4.6633,23.5044
4.5333,23.5044
4.4033,23.5044
4.2695,23.5044
4.13,23.5044
4.0,23.5044
3.87,23.5044
3.74,23.5044
3.61,23.5044
3.48,23.5044
3.35,23.5044
3.22,23.5044
3.09,23.5044
2.96,23.5044
2.83,23.5044
2.7,23.5044
2.57,23.5044
2.44,23.5044
2.765,23.3918
2.895,23.3918
