x,y
-2.5926,13.9688
-2.5277,13.8562
-2.6576,13.8562
-2.7226,13.7436
-2.8526,13.7436
-2.7877,13.8562
-2.9176,13.8562
-3.0476,13.8562
-3.1776,13.8562
-3.1127,13.7436
-3.2426,13.7436
-3.1777,13.631
-3.3076,13.631
-3.2426,13.5184
-3.1127,13.5184
-3.1777,13.4058
-3.3076,13.4058
-3.2426,13.2932
-3.1127,13.2932
-3.1777,13.1806
-3.3076,13.1806
-3.2427,13.068
-3.3726,13.068
-3.3076,12.9554
-3.1777,12.9554
-3.2426,12.8428
-3.1127,12.8428
-3.1777,12.7302
-3.3076,12.7302
-3.2427,12.6176
-3.3726,12.6176
-3.3076,12.505
-3.1777,12.505
-3.2426,12.3924
-3.1127,12.3924
-3.1777,12.2798
-3.3076,12.2798
-3.2426,12.1672
-3.1127,12.1672
-3.1777,12.0546
-3.3076,12.0546
-3.2426,11.942
-3.1127,11.942
-3.1777,11.8294
-3.3076,11.8294
-3.3727,11.942
-3.5027,11.942
-3.5677,12.0546
-3.6976,12.0546
-3.6327,12.1672
-3.7626,12.1672
-3.8926,12.1672
-3.8276,12.2798
-3.6976,12.2798
-3.5677,12.2798
-3.4377,12.2798
-3.3727,12.3924
-3.5027,12.3924
-3.6327,12.3924
-3.7626,12.3924
-3.8926,12.3924
-3.8276,12.505
-3.6976,12.505
-3.5677,12.505
-3.4377,12.505
-3.5027,12.6176
-3.6327,12.6176
-3.7626,12.6176
-3.8926,12.6176
-3.8276,12.7302
-3.6976,12.7302
-3.5677,12.7302
-3.4377,12.7302
-3.5027,12.8428
-3.6327,12.8428
-3.7626,12.8428
-3.8926,12.8428
-3.8276,12.9554
-3.6976,12.9554
-3.5677,12.9554
-3.4377,12.9554
-3.3727,12.8428
-3.5027,13.068
-3.6327,13.068
-3.7626,13.068
-3.8926,13.068
-3.8276,13.1806
-3.6976,13.1806
-3.5677,13.1806
-3.4377,13.1806
-3.5027,13.2932
-3.6327,13.2932
-3.7626,13.2932
-3.8926,13.2932
-3.8276,13.4058
-3.6976,13.4058
-3.5677,13.4058
-3.4377,13.4058
-3.3727,13.2932
-3.3727,13.5184
-3.5027,13.5184
-3.6327,13.5184
-3.7626,13.5184
-3.8926,13.5184
-3.8276,13.631
-3.6976,13.631
-3.5677,13.631
-3.4377,13.631
-3.3727,13.7436
-3.4376,13.8562
-3.3727,13.9688
-3.5027,13.9688
-3.5676,13.8562
-3.5027,13.7436
-3.6327,13.7436
-3.7626,13.7436
-3.8926,13.7436
-3.8276,13.8562
-3.6976,13.8562
-3.6327,13.9688
-3.7626,13.9688
-3.8926,13.9688
-3.8276,14.0814
-3.6976,14.0814
-3.5677,14.0814
-3.4377,14.0814
-3.5027,14.194
-3.5676,14.3066
-3.5027,14.4192
-3.6327,14.4192
-3.7626,14.4192
-3.8926,14.4192
-3.8276,14.3066
-3.6976,14.3066
-3.6327,14.194
-3.7626,14.194
-3.8926,14.194
-4.0454,14.1773
-4.1754,14.1773
-4.3054,14.1773
-4.4354,14.1773
-4.5654,14.1773
-4.6954,14.1773
-4.8254,14.1773
-4.9554,14.1773
-5.0854,14.1773
-5.0204,14.2899
-4.8904,14.2899
-4.7604,14.2899
-4.6304,14.2899
-4.5004,14.2899
-4.3704,14.2899
-4.2404,14.2899
-4.1104,14.2899
-4.1754,14.4025
-4.3054,14.4025
-4.4354,14.4025
-4.5654,14.4025
-4.6954,14.4025
-4.8254,14.4025
-4.9554,14.4025
-5.0854,14.4025
-5.0854,14.6309
-4.9554,14.6309
-4.8254,14.6309
-4.6954,14.6309
-4.5654,14.6309
-4.4354,14.6309
-4.3054,14.6309
-4.1754,14.6309
-4.0454,14.6309
-4.1104,14.7435
-4.2404,14.7435
-4.3704,14.7435
-4.5004,14.7435
-4.6304,14.7435
-4.7604,14.7435
-4.8904,14.7435
-5.0204,14.7435
-5.0854,14.8561
-4.9554,14.8561
-4.8254,14.8561
-4.6954,14.8561
-4.5654,14.8561
-4.4354,14.8561
-4.3054,14.8561
-4.1754,14.8561
-4.0454,14.8561
-4.1104,14.9687
-4.2404,14.9687
-4.3704,14.9687
-4.5004,14.9687
-4.6304,14.9687
-4.7604,14.9687
-4.8904,14.9687
-5.0204,14.9687
-5.0854,15.0813
-4.9554,15.0813
-4.8254,15.0813
-4.6954,15.0813
-4.5654,15.0813
-4.4354,15.0813
-4.3054,15.0813
-4.1754,15.0813
-4.0454,15.0813
-4.1104,15.1939
-4.2404,15.1939
-4.3704,15.1939
-4.5004,15.1939
-4.6304,15.1939
-4.7604,15.1939
-4.8904,15.1939
-5.0204,15.1939
-5.0854,15.3065
-4.9554,15.3065
-4.8254,15.3065
-4.6954,15.3065
-4.5654,15.3065
-4.4354,15.3065
-4.3054,15.3065
-4.1754,15.3065
-4.0454,15.3065
-4.1104,15.4191
-4.2404,15.4191
-4.3704,15.4191
-4.5004,15.4191
-4.6304,15.4191
-4.7604,15.4191
-4.8904,15.4191
-4.8254,15.5317
-4.6954,15.5317
-4.5654,15.5317
-4.4354,15.5317
-4.3054,15.5317
-4.1754,15.5317
-4.0454,15.5317
-4.1104,15.6443
-4.2404,15.6443
-4.3704,15.6443
-4.5004,15.6443
-4.6304,15.6443
-4.7604,15.6443
-4.6954,15.7569
-4.5654,15.7569
-4.4354,15.7569
-4.3054,15.7569
-4.1754,15.7569
-4.0454,15.7569
-4.1104,15.8695
-4.2404,15.8695
-4.3704,15.8695
-4.5004,15.8695
-4.4354,15.9821
-4.3054,15.9821
-4.1754,15.9821
-4.0454,15.9821
-4.1104,16.0947
-4.2404,16.0947
-4.3704,16.0947
-4.3054,16.2073
-4.1754,16.2073
-4.0454,16.2073
-3.8926,16.2089
-3.8276,16.0963
-3.6976,16.0963
-3.5677,16.0963
-3.4377,16.0963
-3.5027,15.9837
-3.6327,15.9837
-3.7626,15.9837
-3.8926,15.9837
-3.8276,15.8711
-3.6976,15.8711
-3.5677,15.8711
-3.4377,15.8711
-3.5027,15.7585
-3.5676,15.6459
-3.5027,15.5333
-3.3727,15.5333
-3.4376,15.6459
-3.3727,15.7585
-3.3076,15.8711
-3.1777,15.8711
-3.2426,15.7585
-3.1127,15.7585
-3.1776,15.6459
-3.1127,15.5333
-3.2426,15.5333
-3.1777,15.4207
-3.3076,15.4207
-3.2426,15.3081
-3.1127,15.3081
-3.1776,15.1955
-3.1127,15.0829
-3.2426,15.0829
-3.1777,14.9703
-3.3076,14.9703
-3.2426,14.8577
-3.1127,14.8577
-3.1776,14.7451
-3.1127,14.6325
-3.2426,14.6325
-3.3076,14.7451
-3.4376,14.7451
-3.3727,14.8577
-3.5027,14.8577
-3.5676,14.7451
-3.5027,14.6325
-3.6327,14.6325
-3.7626,14.6325
-3.8926,14.6325
-3.8276,14.7451
-3.6976,14.7451
-3.6327,14.8577
-3.7626,14.8577
-3.8926,14.8577
-3.8276,14.9703
-3.6976,14.9703
-3.5677,14.9703
-3.4377,14.9703
-3.3727,15.0829
-3.4376,15.1955
-3.3727,15.3081
-3.5027,15.3081
-3.5676,15.1955
-3.5027,15.0829
-3.6327,15.0829
-3.7626,15.0829
-3.8926,15.0829
-3.8276,15.1955
-3.6976,15.1955
-3.6327,15.3081
-3.7626,15.3081
-3.8926,15.3081
-3.8276,15.4207
-3.6976,15.4207
-3.5677,15.4207
-3.4377,15.4207
-3.6327,15.5333
-3.7626,15.5333
-3.8926,15.5333
-3.8276,15.6459
-3.6976,15.6459
-3.6327,15.7585
-3.7626,15.7585
-3.8926,15.7585
-3.3726,15.9837
-3.2427,15.9837
-3.3076,16.0963
-3.1777,16.0963
-3.1126,15.9837
-2.9826,15.9837
-2.8526,15.9837
-2.7226,15.9837
-2.5926,15.9837
-2.4626,15.9837
-2.3326,15.9837
-2.2026,15.9837
-2.0726,15.9837
-2.0077,15.8711
-2.1376,15.8711
-2.0727,15.7585
-2.1376,15.6459
-2.0727,15.5333
-2.1376,15.4207
-2.0077,15.4207
-2.0727,15.3081
-2.1376,15.1955
-2.0727,15.0829
-2.1376,14.9703
-2.0077,14.9703
-2.0727,14.8577
-2.1376,14.7451
-2.0727,14.6325
-2.2027,14.6325
-2.3326,14.6325
-2.4626,14.6325
-2.5926,14.6325
-2.5277,14.7451
-2.6576,14.7451
-2.5926,14.8577
-2.7226,14.8577
-2.8526,14.8577
-2.7877,14.7451
-2.9176,14.7451
-3.0476,14.7451
-2.9826,14.8577
-3.0476,14.9703
-2.9176,14.9703
-2.7876,14.9703
-2.6576,14.9703
-2.5276,14.9703
-2.3976,14.9703
-2.2676,14.9703
-2.2027,15.0829
-2.3326,15.0829
-2.4626,15.0829
-2.5926,15.0829
-2.5277,15.1955
-2.6576,15.1955
-2.7226,15.0829
-2.8526,15.0829
-2.7877,15.1955
-2.9176,15.1955
-3.0476,15.1955
-2.9826,15.0829
-2.9826,15.3081
-2.8526,15.3081
-2.7226,15.3081
-2.5926,15.3081
-2.4626,15.3081
-2.3326,15.3081
-2.2027,15.3081
-2.2676,15.1955
-2.3976,15.1955
-2.3976,15.4207
-2.5276,15.4207
-2.6576,15.4207
-2.7876,15.4207
-2.9176,15.4207
-3.0476,15.4207
-2.9826,15.5333
-2.8526,15.5333
-2.7877,15.6459
-2.9176,15.6459
-3.0476,15.6459
-2.9826,15.7585
-2.8526,15.7585
-2.7226,15.7585
-2.5926,15.7585
-2.5277,15.6459
-2.6576,15.6459
-2.7226,15.5333
-2.5926,15.5333
-2.4626,15.5333
-2.3326,15.5333
-2.2027,15.5333
-2.2676,15.6459
-2.2027,15.7585
-2.3326,15.7585
-2.4626,15.7585
-2.5276,15.8711
-2.6576,15.8711
-2.7876,15.8711
-2.9176,15.8711
-3.0476,15.8711
-3.0476,16.0963
-2.9176,16.0963
-2.7876,16.0963
-2.6576,16.0963
-2.5276,16.0963
-2.3976,15.8711
-2.2676,15.8711
-2.3976,15.6459
-2.2676,15.4207
-1.9426,15.5333
-1.8126,15.5333
-1.6826,15.5333
-1.5526,15.5333
-1.4227,15.5333
-1.4876,15.6459
-1.4227,15.7585
-1.5526,15.7585
-1.4877,15.8711
-1.6176,15.8711
-1.7476,15.8711
-1.8776,15.8711
-1.8126,15.7585
-1.6826,15.7585
