x,y
6.1823,-14.8935
6.0524,-14.8935
5.9874,-14.7809
6.1174,-14.7809
6.2474,-14.7809
6.3123,-14.8935
6.2474,-15.0061
6.3123,-15.1187
6.2474,-15.2313
6.3123,-15.3439
6.2474,-15.4565
6.3123,-15.5691
6.2474,-15.6817
6.3123,-15.7943
6.2474,-15.9069
6.3123,-16.0195
6.2474,-16.1321
6.3123,-16.2447
6.2474,-16.3573
6.3123,-16.4699
6.2474,-16.5825
6.3123,-16.6951
6.2474,-16.8077
6.3123,-16.9203
6.2474,-17.0329
6.3123,-17.1455
6.2474,-17.2581
6.3123,-17.3707
6.2474,-17.4833
6.3774,-17.4833
6.4423,-17.5959
6.3124,-17.5959
6.3774,-17.7085
6.5074,-17.7085
6.6374,-17.7085
6.7024,-17.5959
6.5724,-17.5959
6.6374,-17.4833
6.7674,-17.4833
6.8974,-17.4833
6.9624,-17.3707
6.8324,-17.3707
6.7024,-17.3707
6.5724,-17.3707
6.5074,-17.2581
6.3774,-17.2581
6.4423,-17.3707
6.5074,-17.4833
6.6374,-17.2581
6.7674,-17.2581
6.8974,-17.2581
7.0274,-17.2581
7.1574,-17.2581
7.2224,-17.1455
7.0924,-17.1455
6.9624,-17.1455
6.8324,-17.1455
6.7024,-17.1455
6.5724,-17.1455
6.6374,-17.0329
6.7674,-17.0329
6.8974,-17.0329
7.0274,-17.0329
7.1574,-17.0329
7.2874,-17.0329
7.4173,-17.0329
7.3523,-16.9203
7.2224,-16.9203
7.0924,-16.9203
6.9624,-16.9203
6.8324,-16.9203
6.7024,-16.9203
6.5724,-16.9203
6.5074,-16.8077
6.3774,-16.8077
6.4423,-16.9203
6.3774,-17.0329
6.4423,-17.1455
6.5074,-17.0329
6.6374,-16.8077
6.7674,-16.8077
6.8974,-16.8077
7.0274,-16.8077
7.1574,-16.8077
7.2874,-16.8077
7.4173,-16.8077
7.3523,-16.6951
7.2224,-16.6951
7.0924,-16.6951
6.9624,-16.6951
6.8324,-16.6951
6.7024,-16.6951
6.5724,-16.6951
6.5074,-16.5825
6.3774,-16.5825
6.4423,-16.4699
6.3774,-16.3573
6.4423,-16.2447
6.3774,-16.1321
6.5074,-16.1321
6.6374,-16.1321
6.7674,-16.1321
6.8974,-16.1321
6.9623,-16.0195
6.8324,-16.0195
6.7024,-16.0195
6.5724,-16.0195
6.4424,-16.0195
6.5074,-15.9069
6.3774,-15.9069
6.4423,-15.7943
6.3774,-15.6817
6.4423,-15.5691
6.3774,-15.4565
6.4423,-15.3439
6.3774,-15.2313
6.4423,-15.1187
6.3774,-15.0061
6.4423,-14.8935
6.3774,-14.7809
6.5074,-14.7809
6.6374,-14.7809
6.7674,-14.7809
6.8974,-14.7809
7.0274,-14.7809
7.1574,-14.7809
7.2874,-14.7809
7.4173,-14.7809
7.3523,-14.8935
7.2224,-14.8935
7.0924,-14.8935
6.9624,-14.8935
6.8324,-14.8935
6.7024,-14.8935
6.5724,-14.8935
6.5074,-15.0061
6.6374,-15.0061
6.7674,-15.0061
6.8974,-15.0061
7.0274,-15.0061
7.1574,-15.0061
7.2874,-15.0061
7.4173,-15.0061
7.3523,-15.1187
7.2224,-15.1187
7.0924,-15.1187
6.9624,-15.1187
6.8324,-15.1187
6.7024,-15.1187
6.5724,-15.1187
6.6374,-15.2313
6.7674,-15.2313
6.8974,-15.2313
7.0274,-15.2313
7.1574,-15.2313
7.2874,-15.2313
7.4173,-15.2313
7.3523,-15.3439
7.2224,-15.3439
7.0924,-15.3439
6.9624,-15.3439
6.8324,-15.3439
6.7024,-15.3439
6.5724,-15.3439
6.5074,-15.4565
6.6374,-15.4565
6.7674,-15.4565
6.8974,-15.4565
7.0274,-15.4565
7.1574,-15.4565
7.2874,-15.4565
7.4173,-15.4565
7.3523,-15.5691
7.2224,-15.5691
7.0924,-15.5691
6.9624,-15.5691
6.8324,-15.5691
6.7024,-15.5691
6.5724,-15.5691
6.5074,-15.6817
6.6374,-15.6817
6.7674,-15.6817
6.8974,-15.6817
7.0274,-15.6817
7.1574,-15.6817
7.2874,-15.6817
7.4173,-15.6817
7.3523,-15.7943
7.2224,-15.7943
7.0924,-15.7943
6.9624,-15.7943
6.8324,-15.7943
6.7024,-15.7943
6.5724,-15.7943
6.6374,-15.9069
6.7674,-15.9069
6.8974,-15.9069
7.0274,-15.9069
7.1574,-15.9069
7.2874,-15.9069
7.4173,-15.9069
7.3524,-16.0195
7.4173,-16.1321
7.2874,-16.1321
7.3523,-16.2447
7.2224,-16.2447
7.0924,-16.2447
6.9624,-16.2447
6.8324,-16.2447
6.7024,-16.2447
6.5724,-16.2447
6.5074,-16.3573
6.6374,-16.3573
6.7674,-16.3573
6.8974,-16.3573
7.0274,-16.3573
7.1574,-16.3573
7.2874,-16.3573
7.4173,-16.3573
7.3523,-16.4699
7.2224,-16.4699
7.0924,-16.4699
6.9624,-16.4699
6.8324,-16.4699
6.7024,-16.4699
6.5724,-16.4699
6.6374,-16.5825
6.7674,-16.5825
6.8974,-16.5825
7.0274,-16.5825
7.1574,-16.5825
7.2874,-16.5825
7.4173,-16.5825
7.4824,-16.6951
7.6124,-16.6951
7.7424,-16.6951
7.8073,-16.5825
7.6774,-16.5825
7.5474,-16.5825
7.4824,-16.4699
7.6124,-16.4699
7.7424,-16.4699
7.8073,-16.3573
7.6774,-16.3573
7.5474,-16.3573
7.4824,-16.2447
7.6124,-16.2447
7.7424,-16.2447
7.8073,-16.1321
7.6774,-16.1321
7.7423,-16.0195
7.6124,-16.0195
7.4824,-16.0195
7.5474,-15.9069
7.6774,-15.9069
7.8073,-15.9069
7.7424,-15.7943
7.8724,-15.7943
8.0024,-15.7943
8.1324,-15.7943
8.2624,-15.7943
8.1974,-15.9069
8.0674,-15.9069
8.1323,-16.0195
8.0024,-16.0195
7.8724,-16.0195
7.9374,-16.1321
8.0674,-16.1321
8.1974,-16.1321
8.3274,-16.1321
8.2624,-16.2447
8.1324,-16.2447
8.0024,-16.2447
7.8724,-16.2447
7.9374,-16.3573
8.0674,-16.3573
8.1974,-16.3573
