x,y
-10.5314,-10.619
-10.6614,-10.619
-10.5965,-10.5064
-10.7264,-10.5064
-10.8564,-10.5064
-10.9864,-10.5064
-11.1164,-10.5064
-11.1814,-10.3938
-11.3114,-10.3938
-11.2465,-10.5064
-11.3764,-10.5064
-11.3114,-10.619
-11.2465,-10.7316
-11.3764,-10.7316
-11.3114,-10.8442
-11.2465,-10.9568
-11.3764,-10.9568
-11.4414,-11.0694
-11.3114,-11.0694
-11.2465,-11.182
-11.3764,-11.182
-11.3114,-11.2946
-11.2465,-11.4072
-11.3764,-11.4072
-11.4415,-11.2946
-11.5714,-11.2946
-11.5065,-11.4072
-11.6364,-11.4072
-11.7015,-11.2946
-11.8314,-11.2946
-11.7665,-11.4072
-11.8965,-11.4072
-12.0264,-11.4072
-12.0914,-11.2946
-12.2214,-11.2946
-12.1565,-11.4072
-12.2864,-11.4072
-12.4164,-11.4072
-12.5464,-11.4072
-12.6114,-11.2946
-12.4814,-11.2946
-12.3514,-11.2946
-12.4164,-11.182
-12.3515,-11.0694
-12.4814,-11.0694
-12.6114,-11.0694
-12.5464,-11.182
-12.6765,-11.182
-12.8064,-11.182
-12.7415,-11.0694
-12.8714,-11.0694
-12.8064,-10.9568
-12.6765,-10.9568
-12.7414,-10.8442
-12.6765,-10.7316
-12.8064,-10.7316
-12.9364,-10.7316
-12.8714,-10.619
-12.7414,-10.619
-12.6765,-10.5064
-12.8064,-10.5064
-12.9364,-10.5064
-12.8714,-10.3938
-12.7414,-10.3938
-12.6765,-10.2812
-12.8064,-10.2812
-12.9364,-10.2812
-12.8714,-10.1686
-12.7414,-10.1686
-12.6765,-10.056
-12.8064,-10.056
-12.9364,-10.056
-12.8714,-9.9434
-12.7414,-9.9434
-12.6114,-9.9434
-12.4814,-9.9434
-12.3514,-9.9434
-12.2214,-9.9434
-12.1565,-10.056
-12.2864,-10.056
-12.4164,-10.056
-12.5464,-10.056
-12.6114,-10.1686
-12.4814,-10.1686
-12.3514,-10.1686
-12.2214,-10.1686
-12.1565,-10.2812
-12.2864,-10.2812
-12.4164,-10.2812
-12.5464,-10.2812
-12.6114,-10.3938
-12.4814,-10.3938
-12.3514,-10.3938
-12.2214,-10.3938
-12.1565,-10.5064
-12.2864,-10.5064
-12.4164,-10.5064
-12.5464,-10.5064
-12.4814,-10.619
-12.6114,-10.619
-12.5464,-10.7316
-12.4164,-10.7316
-12.2864,-10.7316
-12.1565,-10.7316
-12.2214,-10.8442
-12.1565,-10.9568
-12.2864,-10.9568
-12.2215,-11.0694
-12.2864,-11.182
-12.1565,-11.182
-12.0914,-11.0694
-11.9614,-11.0694
-11.8965,-11.182
-12.0264,-11.182
-11.9614,-11.2946
-11.7665,-11.182
-11.8314,-11.0694
-11.7015,-11.0694
-11.7665,-10.9568
-11.8314,-10.8442
-11.7015,-10.8442
-11.7665,-10.7316
-11.8314,-10.619
-11.7015,-10.619
-11.7665,-10.5064
-11.8314,-10.3938
-11.7015,-10.3938
-11.7665,-10.2812
-11.8314,-10.1686
-11.7015,-10.1686
-11.7665,-10.056
-11.8314,-9.9434
-11.7015,-9.9434
-11.6365,-9.8308
-11.7665,-9.8308
-11.8314,-9.7182
-11.7015,-9.7182
-11.7665,-9.6056
-11.8965,-9.6056
-12.0264,-9.6056
-12.0914,-9.7182
-12.2214,-9.7182
-12.1565,-9.6056
-12.2864,-9.6056
-12.4164,-9.6056
-12.5464,-9.6056
-12.4814,-9.7182
-12.6114,-9.7182
-12.7414,-9.7182
-12.6765,-9.6056
-12.8064,-9.6056
-12.9364,-9.6056
-12.8714,-9.7182
-12.8064,-9.8308
-12.6764,-9.8308
-12.5464,-9.8308
-12.4164,-9.8308
-12.2864,-9.8308
-12.1565,-9.8308
-12.0914,-9.9434
-11.9614,-9.9434
-11.8965,-10.056
-12.0264,-10.056
-12.0914,-10.1686
-11.9614,-10.1686
-11.8965,-10.2812
-12.0264,-10.2812
-12.0914,-10.3938
-11.9614,-10.3938
-11.8965,-10.5064
-12.0264,-10.5064
-12.0914,-10.619
-12.2214,-10.619
-12.3514,-10.619
-12.3514,-10.8442
-12.4814,-10.8442
-12.6114,-10.8442
-12.5464,-10.9568
-12.4164,-10.9568
-12.0914,-10.8442
-11.9614,-10.8442
-11.8965,-10.9568
-12.0264,-10.9568
-12.0264,-10.7316
-11.8965,-10.7316
-11.9614,-10.619
-11.6364,-10.7316
-11.5065,-10.7316
-11.5714,-10.619
-11.4415,-10.619
-11.5065,-10.5064
-11.6364,-10.5064
-11.5714,-10.3938
-11.4415,-10.3938
-11.5065,-10.2812
-11.6364,-10.2812
-11.5714,-10.1686
-11.4415,-10.1686
-11.5065,-10.056
-11.6364,-10.056
-11.5714,-9.9434
-11.4415,-9.9434
-11.5064,-9.8308
-11.4415,-9.7182
-11.5714,-9.7182
-11.5065,-9.6056
-11.6364,-9.6056
-11.6967,-9.3996
-11.5667,-9.3996
-11.4367,-9.3996
-11.3067,-9.3996
-11.1767,-9.3996
-11.0467,-9.3996
-10.9167,-9.3996
-10.7867,-9.3996
-10.6567,-9.3996
-10.5267,-9.3996
-10.3967,-9.3996
-10.2667,-9.3996
-10.1367,-9.3996
-10.0067,-9.3996
-9.8767,-9.3996
-9.7467,-9.3996
-9.6167,-9.3996
-9.4867,-9.3996
-9.3567,-9.3996
-9.2267,-9.3996
-9.0967,-9.3996
-8.9667,-9.3996
-8.8367,-9.3996
-8.7067,-9.3996
-8.5767,-9.3996
-8.4467,-9.3996
-8.3167,-9.3996
-8.1867,-9.3996
-8.0567,-9.3996
-7.9267,-9.3996
-7.9917,-9.287
-8.1217,-9.287
-8.2517,-9.287
-8.3817,-9.287
-8.5117,-9.287
-8.6417,-9.287
-8.7717,-9.287
-8.9017,-9.287
-9.0317,-9.287
-9.1617,-9.287
-9.2917,-9.287
-9.4217,-9.287
-9.5517,-9.287
-9.6817,-9.287
-9.8117,-9.287
-9.9417,-9.287
-10.0717,-9.287
-10.2017,-9.287
-10.3317,-9.287
-10.4617,-9.287
-10.5917,-9.287
-10.7217,-9.287
-10.8517,-9.287
-10.9817,-9.287
-11.1117,-9.287
-11.2417,-9.287
-11.3717,-9.287
-11.5017,-9.287
-11.6317,-9.287
-11.7617,-9.287
-11.8917,-9.287
-12.0217,-9.287
-12.1517,-9.287
-12.2817,-9.287
-12.4117,-9.287
-12.5417,-9.287
-12.6717,-9.287
-12.8017,-9.287
-12.9317,-9.287
-12.8667,-9.3996
-12.7367,-9.3996
-12.6067,-9.3996
-12.4767,-9.3996
-12.3467,-9.3996
-12.2167,-9.3996
-12.0867,-9.3996
-11.9567,-9.3996
-11.8267,-9.3996
-11.8267,-9.1744
-11.9567,-9.1744
-12.0867,-9.1744
-12.2167,-9.1744
-12.3467,-9.1744
-12.4767,-9.1744
-12.6067,-9.1744
-12.7367,-9.1744
-12.8667,-9.1744
-12.9967,-9.1744
-12.9317,-9.0618
-12.8017,-9.0618
-12.6717,-9.0618
-12.5417,-9.0618
-12.4117,-9.0618
-12.2817,-9.0618
-12.1517,-9.0618
-12.0217,-9.0618
-11.8917,-9.0618
-11.7617,-9.0618
-11.6317,-9.0618
-11.5017,-9.0618
-11.3717,-9.0618
-11.2417,-9.0618
-11.1117,-9.0618
-10.9817,-9.0618
-10.8517,-9.0618
-10.7217,-9.0618
-10.5917,-9.0618
-10.4617,-9.0618
-10.3317,-9.0618
-10.2017,-9.0618
-10.0717,-9.0618
-9.9417,-9.0618
-9.8117,-9.0618
-9.6817,-9.0618
-9.5517,-9.0618
-9.4217,-9.0618
-9.2917,-9.0618
-9.1617,-9.0618
-9.0317,-9.0618
-8.9017,-9.0618
-8.7717,-9.0618
-8.6417,-9.0618
-8.5117,-9.0618
-8.3817,-9.0618
-8.2517,-9.0618
-8.1217,-9.0618
-7.9917,-9.0618
-8.0567,-8.9492
-8.1867,-8.9492
-8.3167,-8.9492
-8.4467,-8.9492
-8.5767,-8.9492
-8.7067,-8.9492
-8.8367,-8.9492
-8.9667,-8.9492
-9.0967,-8.9492
-9.2267,-8.9492
-9.3567,-8.9492
-9.4867,-8.9492
-9.6167,-8.9492
-9.7467,-8.9492
-9.8767,-8.9492
