x,y
10.3424,15.8711
10.4723,15.8711
10.4074,15.9837
10.4723,16.0963
10.3424,16.0963
10.4073,16.2089
10.2774,16.2089
10.1474,16.2089
10.0174,16.2089
9.8874,16.2089
9.9523,16.0963
9.8224,16.0963
9.6924,16.0963
9.5624,16.0963
9.4324,16.0963
9.4973,16.2089
9.3674,16.2089
9.2374,16.2089
9.1074,16.2089
8.9774,16.2089
8.9124,16.0963
8.7824,16.0963
8.8473,15.9837
8.7174,15.9837
8.7824,15.8711
8.8473,15.7585
8.7174,15.7585
8.7824,15.6459
8.8473,15.5333
8.7174,15.5333
8.7824,15.4207
8.8473,15.3081
8.7174,15.3081
8.7824,15.1955
8.8473,15.0829
8.7174,15.0829
8.7824,14.9703
8.8473,14.8577
8.7174,14.8577
8.7824,14.7451
8.8473,14.6325
8.7174,14.6325
8.6523,14.7451
8.5224,14.7451
8.5873,14.8577
8.4574,14.8577
8.3274,14.8577
8.3923,14.7451
8.2624,14.7451
8.1974,14.8577
8.1324,14.9703
8.2624,14.9703
8.3923,14.9703
8.3274,15.0829
8.3923,15.1955
8.2624,15.1955
8.1974,15.0829
8.0674,15.0829
8.1323,15.1955
8.0024,15.1955
8.0674,15.3081
7.9374,15.3081
8.0024,15.4207
8.1324,15.4207
8.2624,15.4207
8.3923,15.4207
8.3274,15.5333
8.3923,15.6459
8.2624,15.6459
8.1974,15.5333
8.0674,15.5333
8.1323,15.6459
8.0024,15.6459
7.8724,15.6459
7.9374,15.5333
7.9374,15.7585
8.0674,15.7585
8.1974,15.7585
8.3274,15.7585
8.3923,15.8711
8.2624,15.8711
8.1324,15.8711
8.0024,15.8711
7.8724,15.8711
7.9374,15.9837
8.0674,15.9837
8.1974,15.9837
8.3274,15.9837
8.3923,16.0963
8.2624,16.0963
8.1324,16.0963
8.0024,16.0963
8.0674,16.2089
8.1974,16.2089
8.3274,16.2089
8.3923,16.3215
8.2624,16.3215
8.1324,16.3215
8.1974,16.4341
8.3274,16.4341
8.3923,16.5467
8.2624,16.5467
8.3274,16.6593
8.3923,16.7719
8.4574,16.6593
8.5874,16.6593
8.6523,16.7719
8.5224,16.7719
8.5873,16.8845
8.4574,16.8845
8.5224,16.9971
8.6523,16.9971
8.5873,17.1097
8.6523,17.2223
8.7174,17.3349
8.8473,17.3349
8.7824,17.2223
8.8473,17.1097
8.7174,17.1097
8.7824,16.9971
8.8473,16.8845
8.7174,16.8845
8.7824,16.7719
8.8473,16.6593
8.7174,16.6593
8.7824,16.5467
8.8473,16.4341
8.7174,16.4341
8.7824,16.3215
8.8473,16.2089
8.7174,16.2089
8.6523,16.0963
8.5224,16.0963
8.5873,15.9837
8.4574,15.9837
8.5224,15.8711
8.6523,15.8711
8.5873,15.7585
8.4574,15.7585
8.5224,15.6459
8.6523,15.6459
8.5873,15.5333
8.4574,15.5333
8.5224,15.4207
8.6523,15.4207
8.5873,15.3081
8.4574,15.3081
8.3274,15.3081
8.1974,15.3081
8.5224,15.1955
8.6523,15.1955
8.5873,15.0829
8.4574,15.0829
8.5224,14.9703
8.6523,14.9703
8.9124,14.9703
9.0424,14.9703
9.1724,14.9703
9.3024,14.9703
9.4324,14.9703
9.4973,14.8577
9.3674,14.8577
9.2374,14.8577
9.1074,14.8577
8.9774,14.8577
9.0423,14.7451
8.9124,14.7451
8.9774,14.6325
9.1074,14.6325
9.2374,14.6325
9.3674,14.6325
9.4973,14.6325
9.4324,14.7451
9.5623,14.7451
9.6274,14.8577
9.7574,14.8577
9.8874,14.8577
9.9523,14.9703
9.8224,14.9703
9.6924,14.9703
9.5624,14.9703
9.6274,15.0829
9.7574,15.0829
9.8874,15.0829
10.0174,15.0829
10.1474,15.0829
10.2774,15.0829
10.4073,15.0829
10.3424,15.1955
10.4073,15.3081
10.2774,15.3081
10.1474,15.3081
10.0174,15.3081
9.8874,15.3081
9.9523,15.4207
9.8224,15.4207
9.6924,15.4207
9.5624,15.4207
9.4324,15.4207
9.4973,15.3081
9.3674,15.3081
9.2374,15.3081
9.1074,15.3081
8.9774,15.3081
9.0423,15.1955
8.9124,15.1955
8.9774,15.0829
9.1074,15.0829
9.2374,15.0829
9.3674,15.0829
9.4973,15.0829
9.4324,15.1955
9.5623,15.1955
9.6274,15.3081
9.7574,15.3081
9.8224,15.1955
9.6924,15.1955
9.9524,15.1955
10.0824,15.1955
10.2124,15.1955
10.2124,14.9703
10.3424,14.9703
10.4723,14.9703
10.4073,14.8577
10.2774,14.8577
10.1474,14.8577
10.0174,14.8577
9.9524,14.7451
10.0824,14.7451
10.2124,14.7451
10.3424,14.7451
10.4073,14.6325
10.2774,14.6325
10.1474,14.6325
10.0174,14.6325
9.8874,14.6325
9.7574,14.6325
9.6274,14.6325
9.6924,14.7451
9.8224,14.7451
9.7574,14.4192
9.8874,14.4192
10.0174,14.4192
10.1474,14.4192
10.2774,14.4192
10.4073,14.4192
10.3424,14.3066
10.4073,14.194
10.2774,14.194
10.1474,14.194
10.0174,14.194
9.8874,14.194
9.9523,14.0814
9.8224,14.0814
9.6924,14.0814
9.5624,14.0814
9.4324,14.0814
9.4973,14.194
9.3674,14.194
9.2374,14.194
9.1074,14.194
8.9774,14.194
9.0423,14.3066
8.9124,14.3066
8.7824,14.3066
8.8473,14.194
8.7174,14.194
8.7824,14.0814
8.8473,13.9688
8.7174,13.9688
8.7824,13.8562
8.8473,13.7436
8.7174,13.7436
8.7824,13.631
8.8473,13.5184
8.7824,13.4058
8.9124,13.4058
9.0424,13.4058
9.1724,13.4058
9.3024,13.4058
9.4324,13.4058
9.4973,13.5184
9.3674,13.5184
9.2374,13.5184
9.1074,13.5184
8.9774,13.5184
8.9124,13.631
9.0424,13.631
9.1724,13.631
9.3024,13.631
9.4324,13.631
9.4973,13.7436
9.3674,13.7436
9.2374,13.7436
9.1074,13.7436
8.9774,13.7436
9.0423,13.8562
8.9124,13.8562
8.9774,13.9688
9.1074,13.9688
9.2374,13.9688
9.3674,13.9688
9.4973,13.9688
9.4324,13.8562
9.5623,13.8562
9.6274,13.7436
9.7574,13.7436
9.8874,13.7436
9.9523,13.631
9.8224,13.631
9.6924,13.631
9.5624,13.631
9.6274,13.5184
9.7574,13.5184
9.8874,13.5184
9.9523,13.4058
9.8224,13.4058
9.6924,13.4058
9.5624,13.4058
10.0174,13.5184
10.1474,13.5184
10.2774,13.5184
10.4073,13.5184
10.3424,13.4058
10.4723,13.4058
10.4073,13.2932
10.2774,13.2932
10.1474,13.2932
10.0824,13.4058
10.2124,13.4058
10.2124,13.631
10.3424,13.631
10.4723,13.631
10.4073,13.7436
10.2774,13.7436
10.1474,13.7436
10.0174,13.7436
10.0824,13.8562
9.9524,13.8562
9.8224,13.8562
9.6924,13.8562
9.6274,13.9688
9.7574,13.9688
9.8874,13.9688
10.0174,13.9688
10.1474,13.9688
10.2774,13.9688
10.4073,13.9688
10.3424,14.0814
10.4723,14.0814
10.5374,14.194
10.6673,14.194
10.6024,14.3066
10.6673,14.4192
10.5374,14.4192
10.4724,14.3066
10.7324,14.3066
10.8623,14.3066
10.7974,14.194
10.9274,14.194
10.9923,14.3066
10.9274,14.4192
11.0574,14.4192
11.1874,14.4192
11.3174,14.4192
11.4473,14.4192
11.3823,14.3066
11.2524,14.3066
11.1224,14.3066
11.1874,14.194
11.2523,14.0814
11.1224,14.0814
11.1874,13.9688
11.3174,13.9688
11.4473,13.9688
11.3824,14.0814
11.4473,14.194
11.3174,14.194
11.5124,14.3066
11.6424,14.3066
11.7724,14.3066
11.9023,14.3066
11.8374,14.194
11.9023,14.0814
11.7724,14.0814
11.7074,14.194
11.5774,14.194
11.6423,14.0814
11.5124,14.0814
11.5774,13.9688
11.7074,13.9688
11.8374,13.9688
11.9023,13.8562
11.7724,13.8562
11.6424,13.8562
11.5124,13.8562
11.5774,13.7436
11.6423,13.631
11.5124,13.631
11.3824,13.631
11.4473,13.5184
11.3174,13.5184
11.1874,13.5184
