x,y
5.3028,10.1559
5.4328,10.1559
5.5628,10.1559
5.6928,10.1559
5.8228,10.1559
5.9528,10.1559
6.0828,10.1559
6.2128,10.1559
6.3428,10.1559
6.4728,10.1559
6.6028,10.1559
6.7328,10.1559
6.8628,10.1559
6.9278,10.0433
6.7978,10.0433
6.6678,10.0433
6.5378,10.0433
6.4078,10.0433
6.2778,10.0433
6.1478,10.0433
6.0178,10.0433
5.8878,10.0433
5.7578,10.0433
5.6278,10.0433
5.4978,10.0433
5.3678,10.0433
5.2378,10.0433
5.1078,10.0433
4.9778,10.0433
4.8478,10.0433
4.7178,10.0433
4.5878,10.0433
4.4578,10.0433
4.3278,10.0433
4.1978,10.0433
4.0678,10.0433
3.9378,10.0433
3.8078,10.0433
3.6778,10.0433
3.5478,10.0433
3.4178,10.0433
3.2878,10.0433
3.1578,10.0433
3.0278,10.0433
2.8978,10.0433
2.9628,9.9307
3.0928,9.9307
3.2228,9.9307
3.3528,9.9307
3.4828,9.9307
3.6128,9.9307
3.7428,9.9307
3.8728,9.9307
4.0028,9.9307
4.1328,9.9307
4.2628,9.9307
4.3928,9.9307
4.5228,9.9307
4.6528,9.9307
4.7828,9.9307
4.9128,9.9307
5.0428,9.9307
5.1728,9.9307
5.3028,9.9307
5.4328,9.9307
5.5628,9.9307
5.6928,9.9307
5.8228,9.9307
5.9528,9.9307
6.0828,9.9307
6.2128,9.9307
6.3428,9.9307
6.4728,9.9307
6.6028,9.9307
6.7328,9.9307
6.8628,9.9307
6.7978,9.8181
6.6678,9.8181
6.5378,9.8181
6.4078,9.8181
6.2778,9.8181
6.1478,9.8181
6.0178,9.8181
5.8878,9.8181
5.7578,9.8181
5.6278,9.8181
5.4978,9.8181
5.3678,9.8181
5.2378,9.8181
5.1078,9.8181
4.9778,9.8181
4.8478,9.8181
4.7178,9.8181
4.5878,9.8181
4.4578,9.8181
4.3278,9.8181
4.1978,9.8181
4.0678,9.8181
3.9378,9.8181
3.8078,9.8181
3.6778,9.8181
3.5478,9.8181
3.4178,9.8181
3.2878,9.8181
3.1578,9.8181
3.0278,9.8181
2.8978,9.8181
2.9628,9.7055
2.8328,9.7055
2.8978,9.5929
3.0278,9.5929
3.1578,9.5929
3.2878,9.5929
3.4178,9.5929
3.5478,9.5929
3.6778,9.5929
3.8078,9.5929
3.9378,9.5929
4.0678,9.5929
4.1978,9.5929
4.3278,9.5929
4.4578,9.5929
4.5878,9.5929
4.7178,9.5929
4.8478,9.5929
4.9778,9.5929
5.1078,9.5929
5.2378,9.5929
5.3678,9.5929
5.4978,9.5929
5.6278,9.5929
5.7578,9.5929
5.8878,9.5929
6.0178,9.5929
6.1478,9.5929
6.2778,9.5929
6.4078,9.5929
6.5378,9.5929
6.6678,9.5929
6.7978,9.5929
6.9278,9.5929
6.8628,9.4803
6.7328,9.4803
6.6028,9.4803
6.4728,9.4803
6.3428,9.4803
6.2128,9.4803
6.0828,9.4803
5.9528,9.4803
5.8228,9.4803
5.6928,9.4803
5.5628,9.4803
5.4328,9.4803
5.3028,9.4803
5.1728,9.4803
5.0428,9.4803
4.9128,9.4803
4.7828,9.4803
4.6528,9.4803
4.5228,9.4803
4.3928,9.4803
4.2628,9.4803
4.1328,9.4803
4.0028,9.4803
3.8728,9.4803
3.7428,9.4803
3.6128,9.4803
3.4828,9.4803
3.3528,9.4803
3.2228,9.4803
3.0928,9.4803
2.9628,9.4803
2.8328,9.4803
2.8978,9.3677
3.0278,9.3677
3.1578,9.3677
3.2878,9.3677
3.4178,9.3677
3.5478,9.3677
3.6778,9.3677
3.8078,9.3677
3.9378,9.3677
4.0678,9.3677
4.1978,9.3677
4.3278,9.3677
4.4578,9.3677
4.5878,9.3677
4.7178,9.3677
4.8478,9.3677
4.9778,9.3677
5.1078,9.3677
5.2378,9.3677
5.3678,9.3677
5.4978,9.3677
5.6278,9.3677
5.7578,9.3677
5.8878,9.3677
6.0178,9.3677
6.1478,9.3677
6.2778,9.3677
6.4078,9.3677
6.5378,9.3677
6.6678,9.3677
6.7978,9.3677
6.9278,9.3677
6.8628,9.2551
6.7328,9.2551
6.6028,9.2551
6.4728,9.2551
6.3428,9.2551
6.2128,9.2551
6.0828,9.2551
5.9528,9.2551
5.8228,9.2551
5.6928,9.2551
5.5628,9.2551
5.4328,9.2551
5.3028,9.2551
5.1728,9.2551
5.0428,9.2551
4.9128,9.2551
4.7828,9.2551
4.6528,9.2551
4.5228,9.2551
4.3928,9.2551
4.2628,9.2551
4.1328,9.2551
4.0028,9.2551
3.8728,9.2551
3.7428,9.2551
3.6128,9.2551
3.4828,9.2551
3.3528,9.2551
3.2228,9.2551
3.0928,9.2551
2.9628,9.2551
2.8328,9.2551
2.7678,9.3677
2.7678,9.1425
2.8978,9.1425
3.0278,9.1425
3.1578,9.1425
3.2878,9.1425
3.4178,9.1425
3.5478,9.1425
3.6778,9.1425
3.8078,9.1425
3.9378,9.1425
4.0678,9.1425
4.1978,9.1425
4.3278,9.1425
4.4578,9.1425
4.5878,9.1425
4.7178,9.1425
4.8478,9.1425
4.9778,9.1425
5.1078,9.1425
5.2378,9.1425
5.3678,9.1425
5.4978,9.1425
5.6278,9.1425
5.7578,9.1425
5.8878,9.1425
6.0178,9.1425
6.1478,9.1425
6.2778,9.1425
6.4078,9.1425
6.5378,9.1425
6.6678,9.1425
6.7978,9.1425
6.9278,9.1425
7.0061,9.2551
7.1361,9.2551
7.2661,9.2551
7.3961,9.2551
7.5261,9.2551
7.6561,9.2551
7.7861,9.2551
7.8511,9.3677
7.7211,9.3677
7.5911,9.3677
7.4611,9.3677
7.3311,9.3677
7.2011,9.3677
7.0711,9.3677
7.1361,9.4803
7.0061,9.4803
7.0711,9.5929
7.2011,9.5929
7.3311,9.5929
7.4611,9.5929
7.5911,9.5929
7.7211,9.5929
7.6561,9.4803
7.7861,9.4803
7.7861,9.7055
7.6561,9.7055
7.5261,9.7055
7.3961,9.7055
7.2661,9.7055
7.1361,9.7055
7.0061,9.7055
7.0711,9.8181
7.2011,9.8181
7.3311,9.8181
