x,y
-6.812,17.6167
-6.942,17.6167
-7.072,17.6167
-7.202,17.6167
-7.332,17.6167
-7.462,17.6167
-7.592,17.6167
-7.722,17.6167
-7.852,17.6167
-7.982,17.6167
-8.112,17.6167
-8.242,17.6167
-8.372,17.6167
-8.502,17.6167
-8.632,17.6167
-8.697,17.7293
-8.567,17.7293
-8.437,17.7293
-8.307,17.7293
-8.177,17.7293
-8.047,17.7293
-7.917,17.7293
-7.787,17.7293
-7.657,17.7293
-7.527,17.7293
-7.397,17.7293
-7.267,17.7293
-7.137,17.7293
-7.007,17.7293
-6.877,17.7293
-6.747,17.7293
-6.617,17.7293
-6.487,17.7293
-6.357,17.7293
-6.227,17.7293
-6.097,17.7293
-5.967,17.7293
-5.837,17.7293
-5.707,17.7293
-5.577,17.7293
-5.447,17.7293
-5.317,17.7293
-5.382,17.6167
-5.512,17.6167
-5.642,17.6167
-5.772,17.6167
-5.902,17.6167
-6.032,17.6167
-6.162,17.6167
-6.292,17.6167
-6.422,17.6167
-6.552,17.6167
-6.682,17.6167
-6.747,17.5041
-6.617,17.5041
-6.487,17.5041
-6.357,17.5041
-6.227,17.5041
-6.097,17.5041
-5.967,17.5041
-5.837,17.5041
-5.707,17.5041
-5.577,17.5041
-5.447,17.5041
-5.317,17.5041
-5.382,17.3915
-5.252,17.3915
-5.317,17.2789
-5.447,17.2789
-5.577,17.2789
-5.707,17.2789
-5.837,17.2789
-5.967,17.2789
-6.097,17.2789
-6.227,17.2789
-6.357,17.2789
-6.487,17.2789
-6.617,17.2789
-6.747,17.2789
-6.877,17.2789
-7.007,17.2789
-7.137,17.2789
-7.267,17.2789
-7.397,17.2789
-7.527,17.2789
-7.657,17.2789
-7.787,17.2789
-7.917,17.2789
-8.047,17.2789
-8.177,17.2789
-8.307,17.2789
-8.437,17.2789
-8.567,17.2789
-8.697,17.2789
-8.632,17.3915
-8.502,17.3915
-8.372,17.3915
-8.242,17.3915
-8.112,17.3915
-7.982,17.3915
-7.852,17.3915
-7.722,17.3915
-7.592,17.3915
-7.462,17.3915
-7.332,17.3915
-7.202,17.3915
-7.072,17.3915
-6.942,17.3915
-6.812,17.3915
-6.682,17.3915
-6.552,17.3915
-6.422,17.3915
-6.292,17.3915
-6.162,17.3915
-6.032,17.3915
-5.902,17.3915
-5.772,17.3915
-5.642,17.3915
-5.512,17.3915
-5.512,17.1663
-5.382,17.1663
-5.252,17.1663
-5.317,17.0537
-5.447,17.0537
-5.577,17.0537
-5.707,17.0537
-5.837,17.0537
-5.967,17.0537
-6.097,17.0537
-6.227,17.0537
-6.357,17.0537
-6.487,17.0537
-6.617,17.0537
-6.747,17.0537
-6.877,17.0537
-7.007,17.0537
-7.137,17.0537
-7.267,17.0537
-7.397,17.0537
-7.527,17.0537
-7.657,17.0537
-7.787,17.0537
-7.917,17.0537
-8.047,17.0537
-8.177,17.0537
-8.307,17.0537
-8.437,17.0537
-8.567,17.0537
-8.697,17.0537
-8.632,17.1663
-8.502,17.1663
-8.372,17.1663
-8.242,17.1663
-8.112,17.1663
-7.982,17.1663
-7.852,17.1663
-7.722,17.1663
-7.592,17.1663
-7.462,17.1663
-7.332,17.1663
-7.202,17.1663
-7.072,17.1663
-6.942,17.1663
-6.812,17.1663
-6.682,17.1663
-6.552,17.1663
-6.422,17.1663
-6.292,17.1663
-6.162,17.1663
-6.032,17.1663
-5.902,17.1663
-5.772,17.1663
-5.642,17.1663
-5.642,16.9411
-5.772,16.9411
-5.902,16.9411
-6.032,16.9411
-6.162,16.9411
-6.292,16.9411
-6.422,16.9411
-6.552,16.9411
-6.682,16.9411
-6.812,16.9411
-6.942,16.9411
-7.072,16.9411
-7.202,16.9411
-7.332,16.9411
-7.462,16.9411
-7.592,16.9411
-7.722,16.9411
-7.852,16.9411
-7.982,16.9411
-8.112,16.9411
-8.242,16.9411
-8.372,16.9411
-8.502,16.9411
-8.632,16.9411
-8.567,16.8285
-8.697,16.8285
-8.632,16.7159
-8.502,16.7159
-8.372,16.7159
-8.242,16.7159
-8.112,16.7159
-7.982,16.7159
-7.852,16.7159
-7.722,16.7159
-7.592,16.7159
-7.462,16.7159
-7.332,16.7159
-7.202,16.7159
-7.072,16.7159
-6.942,16.7159
-6.812,16.7159
-6.682,16.7159
-6.552,16.7159
-6.422,16.7159
-6.292,16.7159
-6.162,16.7159
-6.032,16.7159
-5.902,16.7159
-5.772,16.7159
-5.642,16.7159
-5.512,16.7159
-5.382,16.7159
-5.252,16.7159
-5.317,16.8285
-5.447,16.8285
-5.577,16.8285
-5.707,16.8285
-5.837,16.8285
-5.967,16.8285
-6.097,16.8285
-6.227,16.8285
-6.357,16.8285
-6.487,16.8285
-6.617,16.8285
-6.747,16.8285
-6.877,16.8285
-7.007,16.8285
-7.137,16.8285
-7.267,16.8285
-7.397,16.8285
-7.527,16.8285
-7.657,16.8285
-7.787,16.8285
-7.917,16.8285
-8.047,16.8285
-8.177,16.8285
-8.307,16.8285
-8.437,16.8285
-8.437,16.6033
-8.307,16.6033
-8.177,16.6033
-8.047,16.6033
-7.917,16.6033
-7.787,16.6033
-7.657,16.6033
-7.527,16.6033
-7.397,16.6033
-7.267,16.6033
-7.137,16.6033
-7.007,16.6033
-6.877,16.6033
-6.747,16.6033
-6.617,16.6033
-6.487,16.6033
-6.357,16.6033
-6.227,16.6033
