x,y
-11.1681,16.3819
-11.0381,16.3819
-10.9081,16.3819
-10.7781,16.3819
-10.648,16.3819
-10.518,16.3819
-10.518,16.5319
-10.648,16.5319
-10.648,16.6619
-10.648,16.7919
-10.518,16.7919
-10.518,16.6619
-10.364,16.688
-10.364,16.558
-10.364,16.428
-10.2514,16.493
-10.2514,16.363
-10.1388,16.428
-10.1388,16.558
-10.1388,16.688
-10.1388,16.818
-10.1388,16.948
-10.1388,17.078
-10.1388,17.208
-10.1388,17.338
-10.1388,17.468
-10.1388,17.598
-10.1388,17.728
-10.2514,17.663
-10.2514,17.533
-10.2514,17.403
-10.2514,17.273
-10.2514,17.143
-10.2514,17.013
-10.2514,16.883
-10.2514,16.753
-10.2514,16.623
-10.364,16.818
-10.364,16.948
-10.364,17.078
-10.364,17.208
-10.364,17.338
-10.364,17.468
-10.364,17.598
-10.364,17.728
-10.4766,17.663
-10.5892,17.728
-10.7018,17.663
-10.8144,17.728
-10.927,17.663
-11.0396,17.728
-11.1522,17.663
-11.2648,17.728
-11.3774,17.663
-11.49,17.728
-11.6026,17.663
-11.7152,17.728
-11.8278,17.663
-11.9404,17.728
-12.053,17.663
-12.1656,17.728
-12.2782,17.663
-12.3908,17.728
-12.5034,17.663
-12.616,17.728
-12.7286,17.663
-12.8412,17.728
-12.9538,17.663
-13.0664,17.728
-12.9449,17.9686
-12.8323,17.9036
-12.7197,17.9686
-12.6071,17.9036
-12.4945,17.9686
-12.3819,17.9036
-12.2693,17.9686
-12.1567,17.9036
-12.0441,17.9686
-11.9315,17.9036
-11.8189,17.9686
-11.7063,17.9036
-11.5937,17.9686
-11.4811,17.9036
-11.3685,17.9686
-11.2559,17.9036
-11.1433,17.9686
-11.0307,17.9036
-10.9181,17.9686
-10.8055,17.9036
-10.6929,17.9686
-10.5803,17.9036
-10.4677,17.9686
-10.4664,18.1407
-10.5314,18.2533
-10.6614,18.2533
-10.5965,18.1407
-10.7264,18.1407
-10.8564,18.1407
-10.9864,18.1407
-11.1164,18.1407
-11.1814,18.2533
-11.3114,18.2533
-11.2465,18.1407
-11.3764,18.1407
-11.4415,18.2533
-11.5714,18.2533
-11.5065,18.1407
-11.6364,18.1407
-11.7015,18.2533
-11.8314,18.2533
-11.7665,18.3659
-11.8314,18.4785
-11.7015,18.4785
-11.7665,18.5911
-11.8314,18.7037
-11.7015,18.7037
-11.7665,18.8163
-11.8314,18.9289
-11.7015,18.9289
-11.7665,19.0415
-11.8965,19.0415
-12.0264,19.0415
-12.0914,18.9289
-12.2214,18.9289
-12.1565,18.8163
-12.2864,18.8163
-12.4164,18.8163
-12.5464,18.8163
-12.6114,18.7037
-12.4814,18.7037
-12.3514,18.7037
-12.2214,18.7037
-12.1565,18.5911
-12.2864,18.5911
-12.4164,18.5911
-12.5464,18.5911
-12.4814,18.4785
-12.6114,18.4785
-12.7414,18.4785
-12.6765,18.5911
-12.8064,18.5911
-12.9364,18.5911
-12.8715,18.7037
-12.9364,18.8163
-12.8064,18.8163
-12.6765,18.8163
-12.7414,18.7037
-12.7414,18.9289
-12.6765,19.0415
-12.8064,19.0415
-12.9364,19.0415
-12.8714,18.9289
-12.8714,19.1541
-12.7414,19.1541
-12.6114,19.1541
-12.4814,19.1541
-12.3514,19.1541
-12.4164,19.0415
-12.2864,19.0415
-12.1565,19.0415
-12.3514,18.9289
-12.4814,18.9289
-12.6114,18.9289
-12.5464,19.0415
-12.0264,18.8163
-11.8965,18.8163
-11.9614,18.7037
-11.8965,18.5911
-12.0264,18.5911
-12.0914,18.7037
-12.0914,18.4785
-12.2214,18.4785
-12.1565,18.3659
-12.2864,18.3659
-12.4164,18.3659
-12.5464,18.3659
-12.4814,18.2533
-12.6114,18.2533
-12.7414,18.2533
-12.6765,18.1407
-12.8064,18.1407
-12.9364,18.1407
-12.8714,18.2533
-12.8064,18.3659
-12.6765,18.3659
-12.8714,18.4785
-12.9364,18.3659
-12.5464,18.1407
-12.4164,18.1407
-12.2864,18.1407
-12.1565,18.1407
-12.2214,18.2533
-12.0914,18.2533
-11.9614,18.2533
-11.8965,18.1407
-12.0264,18.1407
-12.0264,18.3659
-11.8965,18.3659
-11.9614,18.4785
-11.6364,18.3659
-11.5065,18.3659
-11.5714,18.4785
-11.4415,18.4785
-11.5065,18.5911
-11.6364,18.5911
-11.5714,18.7037
-11.5065,18.8163
-11.6364,18.8163
-11.5714,18.9289
-11.4415,18.9289
-11.5065,19.0415
-11.6364,19.0415
-11.3764,19.0415
-11.3114,18.9289
-11.2465,18.8163
-11.3764,18.8163
-11.3114,18.7037
-11.2465,18.5911
-11.3764,18.5911
-11.3114,18.4785
-11.2465,18.3659
-11.3764,18.3659
-11.1814,18.4785
-11.0514,18.4785
-10.9214,18.4785
-10.7914,18.4785
-10.6614,18.4785
-10.5965,18.5911
-10.7264,18.5911
-10.8564,18.5911
-10.7915,18.7037
-10.9214,18.7037
-11.0514,18.7037
-11.1814,18.7037
-11.1164,18.8163
-10.9864,18.8163
-10.8564,18.8163
-10.7264,18.8163
-10.5965,18.8163
-10.6614,18.7037
-10.5315,18.7037
-10.4664,18.8163
-10.5314,18.9289
-10.6614,18.9289
-10.7914,18.9289
-10.9214,18.9289
-11.0514,18.9289
-11.1814,18.9289
-11.4414,18.7037
-11.1164,18.5911
-10.9864,18.5911
-10.9864,18.3659
-10.8564,18.3659
-10.7264,18.3659
-10.5965,18.3659
-10.5314,18.4785
-10.4664,18.3659
-10.4664,18.5911
-10.2077,18.5911
-10.0777,18.5911
-9.9477,18.5911
-9.8177,18.5911
-9.6877,18.5911
-9.5577,18.5911
-9.4277,18.5911
-9.4927,18.4785
-9.6227,18.4785
-9.7527,18.4785
-9.8827,18.4785
-10.0127,18.4785
-10.1427,18.4785
-10.0777,18.3659
-9.9477,18.3659
-9.8177,18.3659
-9.6877,18.3659
-9.5577,18.3659
-9.4277,18.3659
-9.3627,18.2533
-9.4927,18.2533
-9.6227,18.2533
-9.7527,18.2533
-9.8827,18.2533
-10.0127,18.2533
-10.1427,18.2533
-10.0777,18.1407
-9.9477,18.1407
-9.8177,18.1407
-9.6877,18.1407
-9.5577,18.1407
-9.4277,18.1407
-9.2977,18.1407
-9.3154,17.9686
-9.428,17.9036
-9.5406,17.9686
-9.6532,17.9036
-9.7658,17.9686
-9.8784,17.9036
-9.991,17.9686
-10.1036,17.9036
-10.2162,17.9686
-10.2077,18.1407
-10.2077,18.3659
-10.1427,18.7037
-10.0127,18.7037
-9.8827,18.7037
-9.7527,18.7037
-9.6227,18.7037
-9.4927,18.7037
-9.5577,18.8163
-9.6877,18.8163
-9.8177,18.8163
-9.9477,18.8163
-10.0777,18.8163
-10.2077,18.8163
-10.7914,18.2533
-10.9214,18.2533
-11.0514,18.2533
-11.1164,18.3659
-11.7665,18.1407
-12.3514,18.2533
-12.3514,18.4785
-11.9614,18.9289
-11.9613,17.4619
-11.8313,17.4619
-11.6883,17.4619
-11.5583,17.4619
-11.4282,17.4619
-11.2983,17.4619
-11.1681,17.4619
-11.1681,17.3319
-11.0381,17.3319
-11.0381,17.4619
-10.9081,17.4619
-10.7781,17.4619
-10.648,17.4619
-10.518,17.4619
-10.518,17.3119
-10.648,17.3119
-10.648,17.1819
-10.518,17.1819
-10.518,17.0519
-10.518,16.9219
-10.648,16.9219
-10.648,17.0519
-10.7781,17.0519
-10.7781,17.1819
-10.9081,17.1819
-10.9081,17.0519
-10.9081,16.9219
-10.7781,16.9219
-10.7781,16.7919
-10.9081,16.7919
-10.9081,16.6619
-10.9081,16.5319
-10.7781,16.5319
-10.7781,16.6619
-11.0381,16.643
-11.1681,16.643
-11.2983,16.6619
-11.4282,16.6619
-11.4282,16.5319
-11.2983,16.5319
-11.2983,16.3819
-11.4282,16.3819
-11.5583,16.3819
-11.6883,16.3819
-11.8313,16.3819
-11.9613,16.3819
-12.0913,16.3819
-12.2213,16.3819
-12.3514,16.3819
-12.4814,16.3819
-12.6115,16.3819
-12.7415,16.3819
-12.8716,16.3819
-13.0016,16.3819
-13.0016,16.5319
-12.8716,16.5319
-12.8716,16.6619
-12.8716,16.7919
-13.0016,16.7919
-13.0016,16.6619
-13.0016,16.9219
-13.0016,17.0519
-12.8716,17.0519
-12.8716,17.1819
-13.0016,17.1819
-13.0016,17.3119
-12.8716,17.3119
-12.7415,17.3119
-12.6115,17.3119
-12.6115,17.1819
-12.6115,17.0519
-12.6115,16.9219
-12.7415,16.9219
-12.7415,17.0519
-12.7415,17.1819
-12.4814,17.1819
-12.4814,17.0519
-12.4814,16.9219
-12.3514,16.9219
-12.3514,17.0519
-12.3514,17.1819
-12.2213,17.1819
-12.0913,17.1819
-12.0913,17.0519
-12.2213,17.0519
-12.2213,16.9219
-12.0913,16.9219
-11.9613,16.9219
-11.9613,17.0519
-11.8313,17.0519
-11.8313,17.1819
-11.9613,17.1819
-11.9613,17.3119
-11.8313,17.3119
-11.6883,17.3119
-11.5583,17.3119
-11.5583,17.1819
-11.5583,17.0519
-11.5583,16.9219
-11.6883,16.9219
-11.6883,17.0519
-11.6883,17.1819
-11.4282,17.1819
-11.2983,17.1819
-11.2983,17.0519
-11.4282,17.0519
-11.4282,16.9219
-11.2983,16.9219
-11.2983,16.7919
-11.4282,16.7919
-11.5583,16.7919
