x,y
-7.414,-14.0876
-7.284,-14.0876
-7.154,-14.0876
-7.024,-14.0876
-6.894,-14.0876
-6.764,-14.0876
-6.634,-14.0876
-6.504,-14.0876
-6.374,-14.0876
-6.244,-14.0876
-6.114,-14.0876
-5.984,-14.0876
-5.854,-14.0876
-5.724,-14.0876
-5.594,-14.0876
-5.464,-14.0876
-5.334,-14.0876
-5.204,-14.0876
-5.139,-13.975
-5.269,-13.975
-5.399,-13.975
-5.529,-13.975
-5.659,-13.975
-5.789,-13.975
-5.919,-13.975
-6.049,-13.975
-6.179,-13.975
-6.309,-13.975
-6.439,-13.975
-6.569,-13.975
-6.699,-13.975
-6.829,-13.975
-6.959,-13.975
-7.089,-13.975
-7.219,-13.975
-7.349,-13.975
-7.479,-13.975
-7.414,-13.8624
-7.284,-13.8624
-7.154,-13.8624
-7.024,-13.8624
-6.894,-13.8624
-6.764,-13.8624
-6.634,-13.8624
-6.504,-13.8624
-6.374,-13.8624
-6.244,-13.8624
-6.114,-13.8624
-5.984,-13.8624
-5.854,-13.8624
-5.724,-13.8624
-5.594,-13.8624
-5.464,-13.8624
-5.334,-13.8624
-5.204,-13.8624
-5.139,-13.7498
-5.269,-13.7498
-5.399,-13.7498
-5.529,-13.7498
-5.659,-13.7498
-5.789,-13.7498
-5.919,-13.7498
-6.049,-13.7498
-6.179,-13.7498
-6.309,-13.7498
-6.439,-13.7498
-6.569,-13.7498
-6.699,-13.7498
-6.829,-13.7498
-6.959,-13.7498
-7.089,-13.7498
-7.219,-13.7498
-7.349,-13.7498
-7.479,-13.7498
-7.414,-13.6372
-7.284,-13.6372
-7.154,-13.6372
-7.024,-13.6372
-6.894,-13.6372
-6.764,-13.6372
-6.634,-13.6372
-6.504,-13.6372
-6.374,-13.6372
-6.244,-13.6372
-6.114,-13.6372
-5.984,-13.6372
-5.854,-13.6372
-5.724,-13.6372
-5.594,-13.6372
-5.464,-13.6372
-5.334,-13.6372
-5.204,-13.6372
-5.074,-13.6372
-5.139,-13.5246
-5.269,-13.5246
-5.399,-13.5246
-5.529,-13.5246
-5.659,-13.5246
-5.789,-13.5246
-5.919,-13.5246
-6.049,-13.5246
-6.179,-13.5246
-6.309,-13.5246
-6.439,-13.5246
-6.569,-13.5246
-6.699,-13.5246
-6.829,-13.5246
-6.959,-13.5246
-7.089,-13.5246
-7.219,-13.5246
-7.349,-13.5246
-7.479,-13.5246
-7.414,-13.412
-7.284,-13.412
-7.154,-13.412
-7.024,-13.412
-6.894,-13.412
-6.764,-13.412
-6.634,-13.412
-6.504,-13.412
-6.374,-13.412
-6.244,-13.412
-6.114,-13.412
-5.984,-13.412
-5.854,-13.412
-5.724,-13.412
-5.594,-13.412
-5.464,-13.412
-5.334,-13.412
-5.204,-13.412
-5.074,-13.412
-5.009,-13.2994
-5.139,-13.2994
-5.269,-13.2994
-5.399,-13.2994
-5.529,-13.2994
-5.659,-13.2994
-5.789,-13.2994
-5.919,-13.2994
-6.049,-13.2994
-6.179,-13.2994
-6.309,-13.2994
-6.439,-13.2994
-6.569,-13.2994
-6.699,-13.2994
-6.829,-13.2994
-6.959,-13.2994
-7.089,-13.2994
-7.219,-13.2994
-7.349,-13.2994
-7.479,-13.2994
-7.414,-13.1868
-7.284,-13.1868
-7.154,-13.1868
-7.024,-13.1868
