x,y
4.6633,-10.8502
4.5333,-10.8502
4.4033,-10.8502
4.2695,-10.8502
4.13,-10.8502
4.0,-10.8502
3.87,-10.8502
3.74,-10.8502
3.61,-10.8502
3.48,-10.8502
3.35,-10.8502
3.22,-10.8502
3.09,-10.8502
2.96,-10.8502
2.83,-10.8502
2.7,-10.8502
2.57,-10.8502
2.44,-10.8502
2.31,-10.8502
2.18,-10.8502
2.245,-10.5124
2.375,-10.5124
2.505,-10.5124
2.635,-10.5124
2.765,-10.5124
2.895,-10.5124
3.025,-10.5124
3.155,-10.5124
3.285,-10.5124
3.415,-10.5124
3.545,-10.5124
3.675,-10.5124
3.805,-10.5124
3.935,-10.5124
4.065,-10.5124
4.195,-10.5124
4.2695,-10.625
4.3383,-10.5124
4.4683,-10.5124
4.5983,-10.5124
4.7283,-10.5124
4.8583,-10.5124
4.9883,-10.5124
5.1183,-10.5124
5.2483,-10.5124
5.3783,-10.5124
5.5083,-10.5124
5.6383,-10.5124
5.7683,-10.5124
5.8983,-10.5124
6.0283,-10.5124
6.1583,-10.5124
6.2883,-10.5124
6.4183,-10.5124
6.5483,-10.5124
6.6783,-10.5124
6.8083,-10.5124
6.9383,-10.5124
7.0128,-10.625
7.0816,-10.5124
7.2116,-10.5124
7.1294,-10.3416
6.9994,-10.3416
6.8694,-10.3416
6.7394,-10.3416
6.6094,-10.3416
6.4794,-10.3416
6.3494,-10.3416
6.2194,-10.3416
6.0894,-10.3416
5.9594,-10.3416
5.8294,-10.3416
5.6994,-10.3416
5.5694,-10.3416
5.4394,-10.3416
5.3094,-10.3416
5.1794,-10.3416
5.0494,-10.3416
4.9194,-10.3416
4.7894,-10.3416
4.6594,-10.3416
4.5294,-10.3416
4.3994,-10.3416
4.4644,-10.229
4.5944,-10.229
4.7244,-10.229
4.8544,-10.229
4.9844,-10.229
5.1144,-10.229
5.2444,-10.229
5.3744,-10.229
5.5044,-10.229
5.6344,-10.229
5.7644,-10.229
5.8944,-10.229
6.0244,-10.229
6.1544,-10.229
6.2844,-10.229
6.4144,-10.229
6.5444,-10.229
6.6744,-10.229
6.8044,-10.229
6.9344,-10.229
7.0644,-10.229
7.1944,-10.229
7.1294,-10.1164
6.9994,-10.1164
6.8694,-10.1164
6.7394,-10.1164
6.6094,-10.1164
6.4794,-10.1164
6.3494,-10.1164
6.2194,-10.1164
6.0894,-10.1164
5.9594,-10.1164
5.8294,-10.1164
5.6994,-10.1164
5.5694,-10.1164
5.4394,-10.1164
5.3094,-10.1164
5.1794,-10.1164
5.0494,-10.1164
4.9194,-10.1164
4.7894,-10.1164
4.6594,-10.1164
4.5294,-10.1164
4.3994,-10.1164
4.3344,-10.229
4.1845,-10.1164
4.0545,-10.1164
3.9245,-10.1164
3.7945,-10.1164
3.6645,-10.1164
3.5345,-10.1164
3.4045,-10.1164
3.2745,-10.1164
3.1445,-10.1164
3.0145,-10.1164
2.8845,-10.1164
2.7545,-10.1164
2.6245,-10.1164
2.4945,-10.1164
2.3645,-10.1164
2.2345,-10.1164
2.1695,-10.229
2.2995,-10.229
2.4295,-10.229
2.5595,-10.229
2.6895,-10.229
2.8195,-10.229
2.9495,-10.229
3.0795,-10.229
3.2095,-10.229
3.3395,-10.229
3.4695,-10.229
3.5995,-10.229
3.7295,-10.229
3.8595,-10.229
3.9895,-10.229
4.1195,-10.229
4.1845,-10.3416
4.0545,-10.3416
3.9245,-10.3416
3.7945,-10.3416
3.6645,-10.3416
3.5345,-10.3416
3.4045,-10.3416
3.2745,-10.3416
3.1445,-10.3416
3.0145,-10.3416
2.8845,-10.3416
2.7545,-10.3416
2.6245,-10.3416
2.4945,-10.3416
2.3645,-10.3416
2.2345,-10.3416
2.2995,-10.0038
2.1695,-10.0038
2.2345,-9.8912
2.3645,-9.8912
2.4945,-9.8912
2.6245,-9.8912
2.7545,-9.8912
2.8845,-9.8912
3.0145,-9.8912
3.1445,-9.8912
3.2745,-9.8912
3.4045,-9.8912
3.5345,-9.8912
3.6645,-9.8912
3.7945,-9.8912
3.9245,-9.8912
4.0545,-9.8912
4.1845,-9.8912
4.1195,-9.7786
3.9895,-9.7786
3.8595,-9.7786
3.7295,-9.7786
3.5995,-9.7786
3.4695,-9.7786
3.3395,-9.7786
3.2095,-9.7786
3.0795,-9.7786
2.9495,-9.7786
2.8195,-9.7786
2.6895,-9.7786
2.5595,-9.7786
2.4295,-9.7786
2.2995,-9.7786
2.1695,-9.7786
2.2345,-9.666
