x,y
5.839,-21.6934
5.969,-21.6934
6.099,-21.6934
6.229,-21.6934
6.359,-21.6934
6.489,-21.6934
6.619,-21.6934
6.749,-21.6934
6.879,-21.6934
7.0128,-21.6934
7.1523,-21.6934
7.2823,-21.6934
7.4123,-21.6934
7.5423,-21.6934
7.6723,-21.6934
7.8023,-21.6934
7.9323,-21.6934
8.0623,-21.6934
8.1923,-21.6934
8.1273,-22.0312
7.9973,-22.0312
7.8673,-22.0312
7.7373,-22.0312
7.6073,-22.0312
7.4773,-22.0312
7.3473,-22.0312
7.2173,-22.0312
7.0873,-22.0312
7.0128,-21.9186
6.944,-22.0312
6.814,-22.0312
6.684,-22.0312
6.554,-22.0312
6.424,-22.0312
6.294,-22.0312
6.164,-22.0312
6.034,-22.0312
5.904,-22.0312
5.774,-22.0312
5.644,-22.0312
5.514,-22.0312
5.384,-22.0312
5.254,-22.0312
5.124,-22.0312
4.994,-22.0312
4.864,-22.0312
4.734,-22.0312
4.604,-22.0312
4.474,-22.0312
4.344,-22.0312
4.2695,-21.9186
4.2007,-22.0312
4.0707,-22.0312
3.9407,-22.0312
3.8107,-22.0312
3.6807,-22.0312
3.5507,-22.0312
3.4207,-22.0312
3.4828,-22.185
3.6128,-22.185
3.7428,-22.185
3.8728,-22.185
4.0028,-22.185
4.1328,-22.185
4.2628,-22.185
4.3928,-22.185
4.5228,-22.185
4.6528,-22.185
4.7828,-22.185
4.9128,-22.185
5.0428,-22.185
5.1728,-22.185
5.3028,-22.185
5.4328,-22.185
5.5628,-22.185
5.6928,-22.185
5.8228,-22.185
5.9528,-22.185
6.0828,-22.185
6.2128,-22.185
6.3428,-22.185
6.4728,-22.185
6.6028,-22.185
6.7328,-22.185
6.8628,-22.185
6.7978,-22.2976
6.6678,-22.2976
6.5378,-22.2976
6.4078,-22.2976
6.2778,-22.2976
6.1478,-22.2976
6.0178,-22.2976
5.8878,-22.2976
5.7578,-22.2976
5.6278,-22.2976
5.4978,-22.2976
5.3678,-22.2976
5.2378,-22.2976
5.1078,-22.2976
4.9778,-22.2976
4.8478,-22.2976
4.7178,-22.2976
4.5878,-22.2976
4.4578,-22.2976
4.3278,-22.2976
4.1978,-22.2976
4.0678,-22.2976
3.9378,-22.2976
3.8078,-22.2976
3.6778,-22.2976
3.5478,-22.2976
3.4178,-22.2976
3.4828,-22.4102
3.6128,-22.4102
3.7428,-22.4102
3.8728,-22.4102
4.0028,-22.4102
4.1328,-22.4102
4.2628,-22.4102
4.3928,-22.4102
4.5228,-22.4102
4.6528,-22.4102
4.7828,-22.4102
4.9128,-22.4102
5.0428,-22.4102
5.1728,-22.4102
5.3028,-22.4102
5.4328,-22.4102
5.5628,-22.4102
5.6928,-22.4102
5.8228,-22.4102
5.9528,-22.4102
6.0828,-22.4102
6.2128,-22.4102
6.3428,-22.4102
6.4728,-22.4102
6.6028,-22.4102
6.7328,-22.4102
6.8628,-22.4102
6.9278,-22.5228
6.7978,-22.5228
6.6678,-22.5228
6.5378,-22.5228
6.4078,-22.5228
6.2778,-22.5228
6.1478,-22.5228
6.0178,-22.5228
5.8878,-22.5228
5.7578,-22.5228
5.6278,-22.5228
5.4978,-22.5228
5.3678,-22.5228
5.2378,-22.5228
5.1078,-22.5228
4.9778,-22.5228
4.8478,-22.5228
4.7178,-22.5228
4.5878,-22.5228
4.4578,-22.5228
4.3278,-22.5228
4.1978,-22.5228
4.0678,-22.5228
3.9378,-22.5228
3.8078,-22.5228
3.6778,-22.5228
3.5478,-22.5228
3.4178,-22.5228
3.4828,-22.6354
3.6128,-22.6354
3.7428,-22.6354
3.8728,-22.6354
4.0028,-22.6354
4.1328,-22.6354
4.2628,-22.6354
4.3928,-22.6354
4.5228,-22.6354
4.6528,-22.6354
4.7828,-22.6354
4.9128,-22.6354
5.0428,-22.6354
5.1728,-22.6354
5.3028,-22.6354
5.4328,-22.6354
5.5628,-22.6354
5.6928,-22.6354
5.8228,-22.6354
5.9528,-22.6354
6.0828,-22.6354
6.2128,-22.6354
6.3428,-22.6354
6.4728,-22.6354
6.6028,-22.6354
6.7328,-22.6354
6.8628,-22.6354
6.9278,-22.748
6.7978,-22.748
6.6678,-22.748
6.5378,-22.748
6.4078,-22.748
6.2778,-22.748
6.1478,-22.748
6.0178,-22.748
5.8878,-22.748
5.7578,-22.748
5.6278,-22.748
5.4978,-22.748
5.3678,-22.748
5.2378,-22.748
5.1078,-22.748
4.9778,-22.748
4.8478,-22.748
4.7178,-22.748
4.5878,-22.748
4.4578,-22.748
4.3278,-22.748
4.1978,-22.748
4.0678,-22.748
3.9378,-22.748
3.8078,-22.748
3.6778,-22.748
3.5478,-22.748
3.4178,-22.748
3.4828,-22.8606
3.6128,-22.8606
3.7428,-22.8606
3.8728,-22.8606
4.0028,-22.8606
4.1328,-22.8606
4.2628,-22.8606
4.3928,-22.8606
4.5228,-22.8606
4.6528,-22.8606
4.7828,-22.8606
4.9128,-22.8606
5.0428,-22.8606
5.1728,-22.8606
5.3028,-22.8606
5.4328,-22.8606
5.5628,-22.8606
5.6928,-22.8606
5.8228,-22.8606
5.9528,-22.8606
6.0828,-22.8606
6.2128,-22.8606
6.3428,-22.8606
6.4728,-22.8606
6.6028,-22.8606
6.7328,-22.8606
6.8628,-22.8606
6.9278,-22.9732
6.7978,-22.9732
6.6678,-22.9732
6.5378,-22.9732
6.4078,-22.9732
6.2778,-22.9732
6.1478,-22.9732
6.0178,-22.9732
5.8878,-22.9732
5.7578,-22.9732
5.6278,-22.9732
5.4978,-22.9732
5.3678,-22.9732
5.2378,-22.9732
5.1078,-22.9732
4.9778,-22.9732
4.8478,-22.9732
4.7178,-22.9732
4.5878,-22.9732
4.4578,-22.9732
4.3278,-22.9732
4.1978,-22.9732
4.0678,-22.9732
3.9378,-22.9732
3.8078,-22.9732
3.6778,-22.9732
3.5478,-22.9732
