x,y
6.5724,18.1112
6.7024,18.1112
6.8324,18.1112
6.9624,18.1112
7.0924,18.1112
7.2224,18.1112
7.3523,18.1112
7.2874,18.2238
7.4173,18.2238
7.3523,18.3364
7.2224,18.3364
7.0924,18.3364
6.9624,18.3364
6.8324,18.3364
6.7024,18.3364
6.5724,18.3364
6.5074,18.2238
6.3774,18.2238
6.4423,18.1112
6.3774,17.9986
6.4423,17.886
6.3774,17.7734
6.2474,17.7734
6.3123,17.886
6.2474,17.9986
6.3123,18.1112
6.2474,18.2238
6.3123,18.3364
6.2474,18.449
6.3123,18.5616
6.2474,18.6742
6.3123,18.7868
6.2474,18.8994
6.3123,19.012
6.2474,19.1246
6.1174,19.1246
6.1823,19.2372
6.0524,19.2372
5.9224,19.2372
5.7924,19.2372
5.8573,19.3498
5.7274,19.3498
5.5974,19.3498
5.6623,19.2372
5.5324,19.2372
5.4024,19.2372
5.4674,19.3498
5.3374,19.3498
5.2074,19.3498
5.2723,19.2372
5.1424,19.2372
5.0124,19.2372
4.8824,19.2372
4.7524,19.2372
4.6224,19.2372
4.6874,19.1246
4.8174,19.1246
4.9474,19.1246
5.0774,19.1246
5.2074,19.1246
5.2723,19.012
5.1424,19.012
5.0124,19.012
4.8824,19.012
4.7524,19.012
4.6224,19.012
4.4924,19.012
4.5573,18.8994
4.4274,18.8994
4.3624,19.012
4.4274,19.1246
4.5573,19.1246
4.6874,18.8994
4.8174,18.8994
4.9474,18.8994
5.0774,18.8994
5.2074,18.8994
5.2723,18.7868
5.1424,18.7868
5.0124,18.7868
4.8824,18.7868
4.7524,18.7868
4.6224,18.7868
4.4924,18.7868
4.5573,18.6742
4.4274,18.6742
4.3624,18.7868
4.2973,18.8994
4.1674,18.8994
4.2323,18.7868
4.1024,18.7868
4.1674,18.6742
4.2973,18.6742
4.2323,18.5616
4.1024,18.5616
4.1674,18.449
4.2973,18.449
4.2323,18.3364
4.1024,18.3364
4.1674,18.2238
4.2973,18.2238
4.2323,18.1112
4.1024,18.1112
4.1674,17.9986
4.2973,17.9986
4.2323,17.886
4.1674,17.7734
4.2973,17.7734
4.3624,17.886
4.4924,17.886
4.5573,17.9986
4.4274,17.9986
4.3624,18.1112
4.4924,18.1112
4.5573,18.2238
4.4274,18.2238
4.3624,18.3364
4.4924,18.3364
4.5573,18.449
4.4274,18.449
4.3624,18.5616
4.4924,18.5616
4.6224,18.5616
4.7524,18.5616
4.8824,18.5616
5.0124,18.5616
5.1424,18.5616
5.2723,18.5616
5.2074,18.449
5.2723,18.3364
5.1424,18.3364
5.0124,18.3364
4.8824,18.3364
4.7524,18.3364
4.6224,18.3364
4.6874,18.449
4.8174,18.449
4.9474,18.449
5.0774,18.449
5.0774,18.6742
4.9474,18.6742
4.8174,18.6742
4.6874,18.6742
4.6874,18.2238
4.8174,18.2238
4.9474,18.2238
5.0774,18.2238
5.2074,18.2238
5.2723,18.1112
5.1424,18.1112
5.0124,18.1112
4.8824,18.1112
4.7524,18.1112
4.6224,18.1112
4.6874,17.9986
4.8174,17.9986
4.9474,17.9986
5.0774,17.9986
5.2074,17.9986
5.2723,17.886
5.1424,17.886
5.0124,17.886
4.8824,17.886
4.7524,17.886
4.6224,17.886
4.6874,17.7734
4.8174,17.7734
4.9474,17.7734
5.0774,17.7734
5.2074,17.7734
5.3374,17.7734
5.4674,17.7734
5.5974,17.7734
5.7274,17.7734
5.8573,17.7734
5.7924,17.886
5.9223,17.886
5.8573,17.9986
5.7274,17.9986
5.5974,17.9986
5.4674,17.9986
5.3374,17.9986
5.4024,18.1112
5.5324,18.1112
5.6624,18.1112
5.7924,18.1112
5.9223,18.1112
5.8573,18.2238
5.7274,18.2238
5.5974,18.2238
5.4674,18.2238
5.3374,18.2238
5.4024,18.3364
5.5324,18.3364
5.6624,18.3364
5.7924,18.3364
5.9223,18.3364
5.8573,18.449
5.7274,18.449
5.5974,18.449
5.4674,18.449
5.3374,18.449
5.4024,18.5616
5.5324,18.5616
5.6624,18.5616
5.7924,18.5616
5.9223,18.5616
5.8573,18.6742
5.7274,18.6742
5.5974,18.6742
5.4674,18.6742
5.3374,18.6742
5.2074,18.6742
5.4024,18.7868
5.5324,18.7868
5.6624,18.7868
5.7924,18.7868
5.9223,18.7868
5.8573,18.8994
5.7274,18.8994
5.5974,18.8994
5.4674,18.8994
5.3374,18.8994
5.4024,19.012
5.5324,19.012
5.6624,19.012
5.7924,19.012
5.9223,19.012
5.8573,19.1246
5.7274,19.1246
5.5974,19.1246
5.4674,19.1246
5.3374,19.1246
5.0774,19.3498
4.9474,19.3498
4.8174,19.3498
5.0124,19.4624
5.1424,19.4624
5.2723,19.4624
5.2074,19.575
5.3374,19.575
5.4674,19.575
5.5974,19.575
5.7274,19.575
5.8573,19.575
5.7924,19.4624
5.9223,19.4624
5.9874,19.575
6.1174,19.575
6.1823,19.4624
6.0524,19.4624
5.9874,19.3498
6.1174,19.3498
6.2474,19.3498
6.3123,19.4624
6.2474,19.575
6.3123,19.6876
6.2474,19.8002
6.3123,19.9128
6.2474,20.0254
6.3123,20.138
6.1823,20.138
6.1174,20.0254
6.1823,19.9128
6.0524,19.9128
5.9874,20.0254
5.9223,19.9128
5.7924,19.9128
5.8573,19.8002
5.7274,19.8002
5.5974,19.8002
5.6624,19.6876
5.5324,19.6876
5.4024,19.6876
5.4024,19.4624
5.5324,19.4624
5.6624,19.4624
5.7924,19.6876
5.9223,19.6876
5.9874,19.8002
6.1174,19.8002
6.1823,19.6876
6.0524,19.6876
6.3774,19.575
6.4423,19.4624
6.3774,19.3498
6.4423,19.2372
6.3124,19.2372
6.3774,19.1246
6.4423,19.012
6.3774,18.8994
6.4423,18.7868
6.3774,18.6742
6.4423,18.5616
6.3774,18.449
6.4423,18.3364
6.5074,18.449
6.6374,18.449
6.7674,18.449
6.8974,18.449
7.0274,18.449
7.1574,18.449
7.2874,18.449
7.4173,18.449
7.3523,18.5616
7.2224,18.5616
7.0924,18.5616
6.9624,18.5616
6.8324,18.5616
6.7024,18.5616
6.5724,18.5616
6.6374,18.6742
6.7674,18.6742
6.8974,18.6742
7.0274,18.6742
7.1574,18.6742
7.2874,18.6742
7.4173,18.6742
7.3523,18.7868
7.2224,18.7868
7.0924,18.7868
6.9624,18.7868
6.8324,18.7868
6.7024,18.7868
6.5724,18.7868
6.5074,18.6742
6.5074,18.8994
6.6374,18.8994
6.7674,18.8994
6.8974,18.8994
7.0274,18.8994
7.1574,18.8994
7.2874,18.8994
7.4173,18.8994
7.3523,19.012
7.2224,19.012
7.0924,19.012
6.9624,19.012
6.8324,19.012
6.7024,19.012
6.5724,19.012
6.5074,19.1246
6.6374,19.1246
6.7674,19.1246
6.8974,19.1246
7.0274,19.1246
7.1574,19.1246
7.2874,19.1246
7.4173,19.1246
7.3524,19.2372
7.4173,19.3498
7.2874,19.3498
7.3523,19.4624
7.2224,19.4624
7.0924,19.4624
6.9624,19.4624
6.8324,19.4624
6.7024,19.4624
6.5724,19.4624
6.6374,19.575
6.7674,19.575
6.8974,19.575
7.0274,19.575
7.1574,19.575
7.2874,19.575
7.4173,19.575
7.3523,19.6876
7.2224,19.6876
7.0924,19.6876
6.9624,19.6876
6.8324,19.6876
6.7024,19.6876
6.5724,19.6876
6.5074,19.8002
6.3774,19.8002
6.4423,19.6876
6.5074,19.575
6.5074,19.3498
6.6374,19.3498
6.7674,19.3498
6.8974,19.3498
7.0274,19.3498
7.1574,19.3498
7.0924,19.2372
6.9624,19.2372
6.8324,19.2372
6.7024,19.2372
6.5724,19.2372
6.1823,19.012
6.0524,19.012
5.9874,19.1246
5.9874,18.8994
6.1174,18.8994
6.1823,18.7868
6.0524,18.7868
5.9874,18.6742
6.1174,18.6742
6.1823,18.5616
6.0524,18.5616
5.9874,18.449
6.1174,18.449
6.1823,18.3364
6.0524,18.3364
5.9874,18.2238
6.1174,18.2238
6.1823,18.1112
6.0524,18.1112
5.9874,17.9986
6.1174,17.9986
6.1823,17.886
6.0524,17.886
5.9874,17.7734
6.1174,17.7734
6.1174,17.5601
6.1823,17.4475
6.0524,17.4475
5.9874,17.5601
5.9223,17.4475
5.7924,17.4475
5.8573,17.5601
5.7274,17.5601
5.5974,17.5601
5.4674,17.5601
5.3374,17.5601
5.2074,17.5601
5.2723,17.4475
5.1424,17.4475
5.0124,17.4475
4.8824,17.4475
4.7524,17.4475
4.6224,17.4475
4.4924,17.4475
4.5573,17.5601
4.4274,17.5601
4.3624,17.4475
4.4274,17.3349
4.5573,17.3349
4.4924,17.2223
4.5573,17.1097
4.4274,17.1097
4.4924,16.9971
4.5573,16.8845
4.6224,16.7719
4.6873,16.6593
4.6224,16.5467
4.7524,16.5467
4.8824,16.5467
5.0124,16.5467
5.1424,16.5467
5.2723,16.5467
5.2074,16.4341
5.2723,16.3215
5.1424,16.3215
5.0124,16.3215
4.8824,16.3215
4.7524,16.3215
4.6874,16.4341
4.8174,16.4341
4.9474,16.4341
5.0774,16.4341
5.0774,16.2089
5.2074,16.2089
5.3374,16.2089
5.4674,16.2089
5.5974,16.2089
5.7274,16.2089
5.8573,16.2089
5.7924,16.0963
5.9223,16.0963
5.9874,16.2089
6.1174,16.2089
6.1823,16.0963
6.0524,16.0963
6.2474,16.2089
6.3123,16.3215
6.2474,16.4341
6.3123,16.5467
6.2474,16.6593
6.3123,16.7719
6.2474,16.8845
6.3123,16.9971
6.2474,17.1097
6.3123,17.2223
6.2474,17.3349
6.3123,17.4475
6.2474,17.5601
6.3774,17.5601
6.4423,17.4475
6.3774,17.3349
6.4423,17.2223
6.3774,17.1097
6.4423,16.9971
6.3774,16.8845
6.4423,16.7719
6.3774,16.6593
6.4423,16.5467
6.3774,16.4341
6.4423,16.3215
6.3774,16.2089
6.4423,16.0963
6.3123,16.0963
6.5074,15.9837
6.6374,15.9837
6.7674,15.9837
6.8974,15.9837
7.0274,15.9837
7.1574,15.9837
7.2874,15.9837
7.4173,15.9837
7.3523,16.0963
7.2224,16.0963
7.0924,16.0963
6.9624,16.0963
6.8324,16.0963
6.7024,16.0963
6.5724,16.0963
6.5074,16.2089
6.6374,16.2089
6.7674,16.2089
6.8974,16.2089
7.0274,16.2089
7.1574,16.2089
7.2874,16.2089
7.4173,16.2089
7.3523,16.3215
7.2224,16.3215
7.0924,16.3215
6.9624,16.3215
6.8324,16.3215
6.7024,16.3215
6.5724,16.3215
6.6374,16.4341
6.7674,16.4341
6.8974,16.4341
7.0274,16.4341
7.1574,16.4341
7.2874,16.4341
7.4173,16.4341
7.3523,16.5467
7.2224,16.5467
7.0924,16.5467
6.9624,16.5467
6.8324,16.5467
6.7024,16.5467
6.5724,16.5467
6.6374,16.6593
6.7674,16.6593
6.8974,16.6593
7.0274,16.6593
7.1574,16.6593
7.2874,16.6593
7.3523,16.7719
7.2224,16.7719
7.0924,16.7719
6.9624,16.7719
6.8324,16.7719
6.7024,16.7719
6.5724,16.7719
6.5074,16.6593
6.5074,16.8845
6.6374,16.8845
6.7674,16.8845
6.8974,16.8845
7.0274,16.8845
7.1574,16.8845
7.2874,16.8845
7.4173,16.8845
7.3523,16.9971
7.2224,16.9971
7.0924,16.9971
6.9624,16.9971
6.8324,16.9971
6.7024,16.9971
6.5724,16.9971
6.5074,17.1097
6.6374,17.1097
6.7674,17.1097
6.8974,17.1097
7.0274,17.1097
7.1574,17.1097
7.2874,17.1097
7.4173,17.1097
7.3523,17.2223
7.2224,17.2223
7.0924,17.2223
6.9624,17.2223
6.8324,17.2223
6.7024,17.2223
6.5724,17.2223
6.5074,17.3349
6.6374,17.3349
6.7674,17.3349
6.8974,17.3349
7.0274,17.3349
7.1574,17.3349
7.2874,17.3349
7.4173,17.3349
7.3523,17.4475
7.2224,17.4475
7.0924,17.4475
6.9624,17.4475
6.8324,17.4475
6.7024,17.4475
6.5724,17.4475
6.5074,17.5601
6.6374,17.5601
6.7674,17.5601
6.8974,17.5601
7.0274,17.5601
7.1574,17.5601
7.2874,17.5601
7.4173,17.5601
7.4824,17.4475
7.6124,17.4475
7.7424,17.4475
7.8073,17.5601
7.6774,17.5601
7.5474,17.5601
7.5474,17.7734
7.6774,17.7734
7.8073,17.7734
7.7424,17.886
7.8073,17.9986
7.6774,17.9986
7.5474,17.9986
7.4824,17.886
7.6124,17.886
7.6124,18.1112
7.4824,18.1112
7.5474,18.2238
7.6774,18.2238
7.8073,18.2238
7.7424,18.3364
7.8073,18.449
7.6774,18.449
7.5474,18.449
7.4824,18.5616
7.6124,18.5616
7.7424,18.5616
7.8073,18.6742
7.6774,18.6742
7.5474,18.6742
7.4824,18.7868
7.6124,18.7868
7.7424,18.7868
7.8073,18.8994
7.6774,18.8994
7.5474,18.8994
7.4824,19.012
7.6124,19.012
7.7424,19.012
7.8073,19.1246
7.6774,19.1246
7.7423,19.2372
7.6124,19.2372
7.4824,19.2372
7.5474,19.3498
7.6774,19.3498
7.8073,19.3498
7.7424,19.4624
7.8073,19.575
7.6774,19.575
7.5474,19.575
7.4824,19.6876
7.6124,19.6876
7.7424,19.6876
7.8073,19.8002
7.6774,19.8002
7.5474,19.8002
7.4824,19.9128
7.6124,19.9128
7.7424,19.9128
7.8073,20.0254
7.6774,20.0254
7.5474,20.0254
7.4824,20.138
7.6124,20.138
7.7424,20.138
7.8073,20.2506
7.6774,20.2506
7.5474,20.2506
7.4824,20.3632
7.6124,20.3632
7.7424,20.3632
7.5474,20.4758
7.4824,20.5884
7.4173,20.701
7.2874,20.701
7.3523,20.5884
7.2224,20.5884
7.0924,20.5884
7.0274,20.4758
6.8974,20.4758
6.9624,20.3632
7.0924,20.3632
7.2224,20.3632
7.3523,20.3632
7.2874,20.4758
7.4173,20.4758
7.4173,20.2506
7.2874,20.2506
7.3523,20.138
7.2224,20.138
7.0924,20.138
6.9624,20.138
6.8324,20.138
6.7024,20.138
6.5724,20.138
6.6374,20.2506
6.7674,20.2506
6.8974,20.2506
7.0274,20.2506
7.1574,20.2506
7.1574,20.0254
7.0274,20.0254
6.8974,20.0254
6.7674,20.0254
6.6374,20.0254
6.5074,20.0254
6.3774,20.0254
6.4423,20.138
6.3774,20.2506
6.5074,20.2506
6.7024,20.3632
6.8324,20.3632
7.1574,20.4758
7.2874,20.0254
7.4173,20.0254
7.3523,19.9128
7.2224,19.9128
7.0924,19.9128
6.9624,19.9128
6.8324,19.9128
6.7024,19.9128
6.5724,19.9128
6.6374,19.8002
6.7674,19.8002
6.8974,19.8002
7.0274,19.8002
7.1574,19.8002
7.2874,19.8002
7.4173,19.8002
7.4824,19.4624
7.6124,19.4624
7.8724,19.4624
8.0024,19.4624
8.1324,19.4624
8.2624,19.4624
8.3923,19.4624
8.3274,19.3498
8.4574,19.3498
8.5873,19.3498
8.5224,19.2372
8.6523,19.2372
8.5873,19.1246
8.4574,19.1246
8.3274,19.1246
8.3923,19.012
8.2624,19.012
8.1324,19.012
8.0024,19.012
7.8724,19.012
7.9374,19.1246
8.0674,19.1246
8.1974,19.1246
8.2624,19.2372
8.1324,19.2372
8.0024,19.2372
7.9374,19.3498
8.0674,19.3498
8.1974,19.3498
8.3924,19.2372
8.5224,19.4624
8.3274,19.575
8.1974,19.575
8.0674,19.575
7.9374,19.575
8.0024,19.6876
7.8724,19.6876
7.9374,19.8002
8.0674,19.8002
8.1974,19.8002
8.1324,19.6876
8.2624,19.6876
8.1324,19.9128
8.0024,19.9128
7.8724,19.9128
7.9374,20.0254
7.8724,20.138
7.8723,19.2372
7.5474,19.1246
7.2224,19.2372
7.9374,18.8994
8.0674,18.8994
8.1974,18.8994
8.3274,18.8994
8.3923,18.7868
8.2624,18.7868
8.1324,18.7868
8.0024,18.7868
7.8724,18.7868
7.9374,18.6742
8.0674,18.6742
8.1974,18.6742
8.3274,18.6742
8.3923,18.5616
8.2624,18.5616
8.1324,18.5616
8.0024,18.5616
7.8724,18.5616
7.9374,18.449
8.0674,18.449
8.1974,18.449
8.3274,18.449
8.3923,18.3364
8.2624,18.3364
8.1324,18.3364
8.0024,18.3364
7.8724,18.3364
7.9374,18.2238
8.0674,18.2238
8.1974,18.2238
8.3274,18.2238
8.3923,18.1112
8.2624,18.1112
8.1324,18.1112
8.0024,18.1112
7.8724,18.1112
7.7424,18.1112
7.9374,17.9986
8.0674,17.9986
8.1974,17.9986
8.3274,17.9986
8.3923,17.886
8.2624,17.886
8.1324,17.886
8.0024,17.886
7.8724,17.886
7.9374,17.7734
8.0674,17.7734
8.1974,17.7734
8.3274,17.7734
8.4574,17.7734
8.5873,17.7734
8.5224,17.886
8.6523,17.886
8.5873,17.9986
8.4574,17.9986
8.5224,18.1112
8.6523,18.1112
8.5873,18.2238
8.4574,18.2238
8.5224,18.3364
8.6523,18.3364
8.5873,18.449
8.4574,18.449
8.5224,18.5616
8.6523,18.5616
8.5873,18.6742
8.4574,18.6742
8.5224,18.7868
8.6523,18.7868
8.5873,18.8994
8.4574,18.8994
8.5224,19.012
8.6523,19.012
8.7174,19.1246
8.7824,19.012
8.8473,18.8994
8.7174,18.8994
8.7824,18.7868
8.8473,18.6742
8.7174,18.6742
8.7824,18.5616
8.8473,18.449
8.7174,18.449
8.7824,18.3364
8.8473,18.2238
8.7174,18.2238
8.7824,18.1112
8.8473,17.9986
8.7174,17.9986
8.7824,17.886
8.8473,17.7734
8.7174,17.7734
8.7174,17.5601
8.6523,17.4475
8.5224,17.4475
8.5873,17.5601
8.4574,17.5601
8.3274,17.5601
8.3923,17.4475
8.2624,17.4475
8.1324,17.4475
8.0024,17.4475
7.8724,17.4475
7.9374,17.5601
8.0674,17.5601
8.1974,17.5601
8.1974,17.3349
8.3274,17.3349
8.3923,17.2223
8.2624,17.2223
8.1324,17.2223
8.0024,17.2223
7.8724,17.2223
7.7424,17.2223
7.8073,17.1097
7.6774,17.1097
7.5474,17.1097
7.4824,17.2223
7.6124,17.2223
7.6774,17.3349
7.8073,17.3349
7.9374,17.3349
8.0674,17.3349
8.0674,17.1097
7.9374,17.1097
8.0024,16.9971
7.8724,16.9971
7.7424,16.9971
7.8073,16.8845
7.6774,16.8845
7.5474,16.8845
7.4824,16.7719
7.5473,16.6593
7.4174,16.6593
7.4824,16.5467
7.6124,16.5467
7.7424,16.5467
7.8073,16.4341
7.6774,16.4341
7.5474,16.4341
7.4824,16.3215
7.6124,16.3215
7.7424,16.3215
7.8073,16.2089
7.6774,16.2089
7.5474,16.2089
7.4824,16.0963
7.6124,16.0963
7.7424,16.0963
7.8724,16.0963
7.8074,15.9837
7.6774,15.9837
7.5474,15.9837
7.4824,15.8711
7.6124,15.8711
7.7424,15.8711
7.9374,16.2089
8.0024,16.3215
7.8724,16.3215
7.9374,16.4341
8.0674,16.4341
8.0024,16.5467
7.8724,16.5467
7.8074,16.6593
7.9374,16.6593
8.0674,16.6593
8.1974,16.6593
8.2624,16.7719
8.1324,16.7719
8.0024,16.7719
7.8724,16.7719
7.7424,16.7719
7.6124,16.7719
7.6774,16.6593
7.9374,16.8845
8.0674,16.8845
8.1974,16.8845
8.3274,16.8845
8.3923,16.9971
8.2624,16.9971
8.1324,16.9971
8.1974,17.1097
8.3274,17.1097
8.4574,17.1097
8.5224,17.2223
8.5873,17.3349
8.4574,17.3349
8.9124,17.886
9.0424,17.886
9.1074,17.9986
8.9774,17.9986
8.9124,18.1112
9.0424,18.1112
9.1724,18.1112
9.1074,18.2238
9.2374,18.2238
9.1724,18.3364
9.0424,18.3364
8.9124,18.3364
8.9774,18.2238
8.9774,18.449
9.1074,18.449
9.2374,18.449
9.3674,18.449
9.3024,18.3364
9.1724,18.5616
9.0424,18.5616
8.9124,18.5616
8.9774,18.6742
9.1074,18.6742
9.0424,18.7868
8.9124,18.7868
8.9774,18.8994
8.9124,19.012
7.6124,18.3364
7.4824,18.3364
7.1574,18.2238
7.0274,18.2238
6.8974,18.2238
6.7674,18.2238
6.6374,18.2238
6.6374,17.9986
6.7674,17.9986
6.8974,17.9986
7.0274,17.9986
7.1574,17.9986
7.2874,17.9986
7.4173,17.9986
7.3523,17.886
7.2224,17.886
7.0924,17.886
6.9624,17.886
6.8324,17.886
6.7024,17.886
6.5724,17.886
6.5074,17.9986
6.5074,17.7734
6.6374,17.7734
6.7674,17.7734
6.8974,17.7734
7.0274,17.7734
7.1574,17.7734
7.2874,17.7734
7.4173,17.7734
7.5474,17.3349
7.4824,16.9971
7.6124,16.9971
8.1324,16.5467
7.3523,15.8711
7.2224,15.8711
6.5074,16.4341
6.1823,16.3215
6.0524,16.3215
5.9874,16.4341
6.1174,16.4341
6.1823,16.5467
6.0524,16.5467
5.9874,16.6593
5.8574,16.6593
5.9223,16.7719
5.7924,16.7719
5.8573,16.8845
5.7274,16.8845
5.5974,16.8845
5.4674,16.8845
5.3374,16.8845
5.2074,16.8845
5.2723,16.9971
5.1424,16.9971
5.0124,16.9971
4.8824,16.9971
4.7524,16.9971
4.6224,16.9971
4.6874,17.1097
4.8174,17.1097
4.9474,17.1097
5.0774,17.1097
5.2074,17.1097
5.2723,17.2223
5.1424,17.2223
5.0124,17.2223
4.8824,17.2223
4.7524,17.2223
4.6224,17.2223
4.6874,17.3349
4.8174,17.3349
4.9474,17.3349
5.0774,17.3349
5.2074,17.3349
5.3374,17.3349
5.4674,17.3349
5.5974,17.3349
5.7274,17.3349
5.8573,17.3349
5.7924,17.2223
5.9223,17.2223
5.8573,17.1097
5.7274,17.1097
5.5974,17.1097
5.4674,17.1097
5.3374,17.1097
5.4024,16.9971
5.5324,16.9971
5.6624,16.9971
5.7924,16.9971
5.9223,16.9971
5.9874,17.1097
6.1174,17.1097
6.1823,16.9971
6.0524,16.9971
5.9874,16.8845
6.1174,16.8845
6.1823,16.7719
6.0524,16.7719
6.1174,16.6593
5.9223,16.5467
5.7924,16.5467
5.8573,16.4341
5.7274,16.4341
5.5974,16.4341
5.4674,16.4341
5.3374,16.4341
5.4024,16.5467
5.5324,16.5467
5.6624,16.5467
5.7273,16.6593
