x,y
5.9223,13.8562
5.7924,13.8562
5.8573,13.7436
5.7274,13.7436
5.5974,13.7436
5.4674,13.7436
5.3374,13.7436
5.2074,13.7436
5.2723,13.8562
5.2074,13.9688
5.2723,14.0814
5.1424,14.0814
5.0124,14.0814
4.8824,14.0814
4.7524,14.0814
4.6224,14.0814
4.4924,14.0814
4.5573,14.194
4.4274,14.194
4.4923,14.3066
4.3624,14.3066
4.2324,14.3066
4.2973,14.194
4.1674,14.194
4.2323,14.0814
4.1024,14.0814
4.1674,13.9688
4.2973,13.9688
4.2324,13.8562
4.2973,13.7436
4.1674,13.7436
4.2323,13.631
4.1024,13.631
4.1674,13.5184
4.2973,13.5184
4.2323,13.4058
4.1024,13.4058
4.1674,13.2932
4.2973,13.2932
4.2323,13.1806
4.1024,13.1806
4.1674,13.068
4.2323,12.9554
4.1024,12.9554
4.1674,12.8428
4.2973,12.8428
4.2323,12.7302
4.1024,12.7302
4.1674,12.6176
4.2323,12.505
4.1024,12.505
4.0374,12.6176
3.9074,12.6176
3.9723,12.505
3.8424,12.505
3.7124,12.505
3.7773,12.6176
3.6474,12.6176
3.5174,12.6176
3.3874,12.6176
3.4524,12.505
3.5824,12.505
3.6474,12.3924
3.7774,12.3924
3.9074,12.3924
4.0374,12.3924
4.1674,12.3924
4.2973,12.3924
4.2323,12.2798
4.3624,12.2798
4.4924,12.2798
4.5573,12.3924
4.4274,12.3924
4.3624,12.505
4.4924,12.505
4.5573,12.6176
4.4274,12.6176
4.2974,12.6176
4.3624,12.7302
4.4924,12.7302
4.5573,12.8428
4.4274,12.8428
4.3624,12.9554
4.4924,12.9554
4.5573,13.068
4.4274,13.068
4.2974,13.068
4.3624,13.1806
4.4924,13.1806
4.5573,13.2932
4.4274,13.2932
4.3624,13.4058
4.4924,13.4058
4.5573,13.5184
4.4274,13.5184
4.3624,13.631
4.4924,13.631
4.5573,13.7436
4.4274,13.7436
4.4923,13.8562
4.3624,13.8562
4.4274,13.9688
4.5573,13.9688
4.6224,13.8562
4.7524,13.8562
4.8824,13.8562
5.0124,13.8562
5.1423,13.8562
5.0774,13.7436
4.9474,13.7436
4.8174,13.7436
4.6874,13.7436
4.7524,13.631
4.6224,13.631
4.6874,13.5184
4.8174,13.5184
4.9474,13.5184
5.0774,13.5184
5.2074,13.5184
5.2723,13.631
5.1424,13.631
5.0124,13.631
4.8824,13.631
4.8824,13.4058
4.7524,13.4058
4.6224,13.4058
4.6874,13.2932
4.8174,13.2932
4.9474,13.2932
5.0774,13.2932
5.2074,13.2932
5.2723,13.4058
5.1424,13.4058
5.0124,13.4058
5.0124,13.1806
5.1424,13.1806
5.2723,13.1806
5.2074,13.068
5.2723,12.9554
5.1424,12.9554
5.0124,12.9554
4.8824,12.9554
4.7524,12.9554
4.6224,12.9554
4.6874,12.8428
4.8174,12.8428
4.9474,12.8428
5.0774,12.8428
5.2074,12.8428
5.2723,12.7302
5.1424,12.7302
5.0124,12.7302
4.8824,12.7302
4.7524,12.7302
4.6224,12.7302
4.6874,12.6176
4.8174,12.6176
4.9474,12.6176
5.0774,12.6176
5.2074,12.6176
5.2723,12.505
5.1424,12.505
5.0124,12.505
4.8824,12.505
4.7524,12.505
4.6224,12.505
4.6874,12.3924
4.8174,12.3924
4.9474,12.3924
5.0774,12.3924
5.2074,12.3924
5.2723,12.2798
5.1424,12.2798
5.0124,12.2798
4.8824,12.2798
4.7524,12.2798
4.6224,12.2798
4.8174,12.1672
4.9474,12.1672
5.0774,12.1672
5.2074,12.1672
5.3374,12.1672
5.4674,12.1672
5.5974,12.1672
5.7274,12.1672
5.8573,12.1672
5.7924,12.0546
5.9223,12.0546
5.9874,12.1672
6.1174,12.1672
6.1823,12.0546
6.0524,12.0546
6.1174,11.942
6.2474,11.942
6.3123,12.0546
