x,y
10.4073,-14.7809
10.2774,-14.7809
10.1474,-14.7809
10.0174,-14.7809
9.8874,-14.7809
9.9523,-14.8935
9.8224,-14.8935
9.6924,-14.8935
9.5624,-14.8935
9.4324,-14.8935
9.4973,-14.7809
9.3674,-14.7809
9.2374,-14.7809
9.1074,-14.7809
8.9774,-14.7809
8.9124,-14.8935
8.7824,-14.8935
8.8473,-14.7809
8.7174,-14.7809
8.6523,-14.8935
8.5224,-14.8935
8.5873,-14.7809
8.4574,-14.7809
8.3274,-14.7809
8.3923,-14.8935
8.4574,-15.0061
8.5873,-15.0061
8.5224,-15.1187
8.6523,-15.1187
8.5873,-15.2313
8.4574,-15.2313
8.5224,-15.3439
8.6523,-15.3439
8.5873,-15.4565
8.4574,-15.4565
8.5224,-15.5691
8.6523,-15.5691
8.5873,-15.6817
8.4574,-15.6817
8.5224,-15.7943
8.6523,-15.7943
8.5873,-15.9069
8.4574,-15.9069
8.5224,-16.0195
8.6523,-16.0195
8.5873,-16.1321
8.4574,-16.1321
8.3923,-16.0195
8.3923,-15.7943
8.3923,-15.5691
8.3923,-15.3439
8.3923,-15.1187
8.7174,-15.2313
8.8473,-15.2313
8.7824,-15.1187
8.8473,-15.0061
8.7174,-15.0061
8.9124,-15.1187
9.0424,-15.1187
9.1724,-15.1187
9.3024,-15.1187
9.4324,-15.1187
9.4973,-15.2313
9.3674,-15.2313
9.2374,-15.2313
9.1074,-15.2313
8.9774,-15.2313
8.9124,-15.3439
8.7824,-15.3439
8.8473,-15.4565
8.7174,-15.4565
8.7824,-15.5691
8.8473,-15.6817
8.7174,-15.6817
8.7824,-15.7943
8.8473,-15.9069
8.7174,-15.9069
8.7824,-16.0195
8.8473,-16.1321
8.7174,-16.1321
8.7824,-16.2447
8.9124,-16.2447
9.0424,-16.2447
9.1724,-16.2447
9.3024,-16.2447
9.4324,-16.2447
9.4973,-16.3573
9.3674,-16.3573
9.2374,-16.3573
9.1074,-16.3573
9.1074,-16.1321
9.2374,-16.1321
9.3674,-16.1321
9.4973,-16.1321
9.4324,-16.0195
9.5623,-16.0195
9.4973,-15.9069
9.3674,-15.9069
9.2374,-15.9069
9.1074,-15.9069
8.9774,-15.9069
9.0423,-16.0195
8.9124,-16.0195
8.9774,-16.1321
9.1724,-16.0195
9.3024,-16.0195
9.3024,-15.7943
9.4324,-15.7943
9.5624,-15.7943
9.6924,-15.7943
9.8224,-15.7943
9.9523,-15.7943
9.8874,-15.9069
9.7574,-15.9069
9.6274,-15.9069
9.6924,-16.0195
9.8224,-16.0195
9.9524,-16.0195
10.0824,-16.0195
10.2124,-16.0195
10.3424,-16.0195
10.4073,-16.1321
10.2774,-16.1321
10.1474,-16.1321
10.0174,-16.1321
9.8874,-16.1321
9.9523,-16.2447
9.8224,-16.2447
9.6924,-16.2447
9.5624,-16.2447
9.6274,-16.3573
9.7574,-16.3573
9.8874,-16.3573
9.9523,-16.4699
9.8224,-16.4699
9.6924,-16.4699
9.5624,-16.4699
9.4324,-16.4699
9.6274,-16.1321
9.7574,-16.1321
10.0824,-16.2447
10.2124,-16.2447
10.3424,-16.2447
10.4723,-16.2447
