x,y
-3.1127,-15.0061
-3.2426,-15.0061
-3.1777,-15.1187
-3.3076,-15.1187
-3.2426,-15.2313
-3.1127,-15.2313
-3.1777,-15.3439
-3.3076,-15.3439
-3.2426,-15.4565
-3.1127,-15.4565
-3.1777,-15.5691
-3.3076,-15.5691
-3.2427,-15.6817
-3.3726,-15.6817
-3.3076,-15.7943
-3.1777,-15.7943
-3.2426,-15.9069
-3.1127,-15.9069
-3.1776,-16.0195
-3.1127,-16.1321
-3.2426,-16.1321
-3.1777,-16.2447
-3.3076,-16.2447
-3.2426,-16.3573
-3.1127,-16.3573
-3.1777,-16.4699
-3.3076,-16.4699
-3.2426,-16.5825
-3.1127,-16.5825
-3.1777,-16.6951
-3.3076,-16.6951
-3.2426,-16.8077
-3.1127,-16.8077
-3.1777,-16.9203
-3.3076,-16.9203
-3.2426,-17.0329
-3.1127,-17.0329
-3.1777,-17.1455
-3.3076,-17.1455
-3.3727,-17.0329
-3.5027,-17.0329
-3.6327,-17.0329
-3.7626,-17.0329
-3.8926,-17.0329
-3.8276,-17.1455
-3.6976,-17.1455
-3.5677,-17.1455
-3.4377,-17.1455
-3.5027,-17.2581
-3.3727,-17.2581
-3.6327,-17.2581
-3.7626,-17.2581
-3.8926,-17.2581
-3.8276,-17.3707
-3.6976,-17.3707
-3.8926,-17.4833
-4.0454,-17.4849
-4.1754,-17.4849
-4.3054,-17.4849
-4.4354,-17.4849
-4.3704,-17.3723
-4.2404,-17.3723
-4.1104,-17.3723
-4.1754,-17.2597
-4.0454,-17.2597
-4.1104,-17.1471
-4.2404,-17.1471
-4.3704,-17.1471
-4.5004,-17.1471
-4.6304,-17.1471
-4.5654,-17.0345
-4.6954,-17.0345
-4.8254,-17.0345
-4.8904,-16.9219
-4.7604,-16.9219
-4.6304,-16.9219
-4.5004,-16.9219
-4.3704,-16.9219
-4.2404,-16.9219
-4.1104,-16.9219
-4.1754,-17.0345
-4.0454,-17.0345
-4.0454,-16.8093
-4.1754,-16.8093
-4.3054,-16.8093
-4.4354,-16.8093
-4.5654,-16.8093
-4.6954,-16.8093
-4.8254,-16.8093
-4.9554,-16.8093
-4.8904,-16.6967
-4.7604,-16.6967
-4.6304,-16.6967
-4.5004,-16.6967
-4.3704,-16.6967
-4.2404,-16.6967
-4.1104,-16.6967
-4.1754,-16.5841
-4.3054,-16.5841
-4.4354,-16.5841
-4.5654,-16.5841
-4.6954,-16.5841
-4.8254,-16.5841
-4.9554,-16.5841
-5.0854,-16.5841
-5.0204,-16.4715
-4.8904,-16.4715
-4.7604,-16.4715
-4.6304,-16.4715
-4.5004,-16.4715
-4.3704,-16.4715
-4.2404,-16.4715
-4.1104,-16.4715
-4.1754,-16.3589
-4.3054,-16.3589
-4.4354,-16.3589
-4.5654,-16.3589
-4.6954,-16.3589
-4.8254,-16.3589
-4.9554,-16.3589
-5.0854,-16.3589
-5.0204,-16.2463
-4.8904,-16.2463
-4.7604,-16.2463
-4.6304,-16.2463
-4.5004,-16.2463
-4.3704,-16.2463
-4.2404,-16.2463
-4.1104,-16.2463
-4.0454,-16.3589
-3.8926,-16.3573
-3.7626,-16.3573
-3.6327,-16.3573
-3.6976,-16.2447
-3.5677,-16.2447
-3.4377,-16.2447
-3.5027,-16.3573
-3.3727,-16.3573
-3.4377,-16.4699
-3.5677,-16.4699
-3.6976,-16.4699
-3.6327,-16.5825
-3.7626,-16.5825
-3.8926,-16.5825
-3.8276,-16.4699
-3.8276,-16.2447
-3.7626,-16.1321
-3.6327,-16.1321
-3.6976,-16.0195
-3.6327,-15.9069
-3.7626,-15.9069
-3.8926,-15.9069
-3.8276,-15.7943
-3.6976,-15.7943
-3.5677,-15.7943
