x,y
9.4324,-18.4847
9.5623,-18.4847
9.4973,-18.3721
9.3674,-18.3721
9.2374,-18.3721
9.1074,-18.3721
8.9774,-18.3721
9.0423,-18.4847
8.9124,-18.4847
8.7824,-18.4847
8.8473,-18.3721
8.7174,-18.3721
8.7824,-18.2595
8.8473,-18.1469
8.7174,-18.1469
8.7824,-18.0343
8.8473,-17.9217
8.7174,-17.9217
8.6523,-18.0343
8.5224,-18.0343
8.5873,-18.1469
8.4574,-18.1469
8.3274,-18.1469
8.3923,-18.0343
8.2624,-18.0343
8.1324,-18.0343
8.0024,-18.0343
7.8724,-18.0343
7.7424,-18.0343
7.8073,-18.1469
7.6774,-18.1469
7.5474,-18.1469
7.4824,-18.0343
7.6124,-18.0343
7.6774,-17.9217
7.8073,-17.9217
7.9374,-17.9217
8.0674,-17.9217
8.1974,-17.9217
8.3274,-17.9217
8.4574,-17.9217
8.5873,-17.9217
8.5873,-17.7085
8.4574,-17.7085
8.3274,-17.7085
8.1974,-17.7085
8.0674,-17.7085
7.9374,-17.7085
8.0024,-17.5959
8.1324,-17.5959
8.2624,-17.5959
8.3924,-17.5959
8.5224,-17.5959
8.6523,-17.5959
8.5873,-17.4833
8.4574,-17.4833
8.3274,-17.4833
8.3923,-17.3707
8.2624,-17.3707
8.1324,-17.3707
8.0024,-17.3707
7.8724,-17.3707
7.7424,-17.3707
7.8073,-17.4833
7.6774,-17.4833
7.7423,-17.5959
7.6124,-17.5959
7.4824,-17.5959
7.3524,-17.5959
7.4173,-17.7085
7.2874,-17.7085
7.1574,-17.7085
7.0274,-17.7085
6.8974,-17.7085
6.7674,-17.7085
6.7674,-17.9217
6.8974,-17.9217
7.0274,-17.9217
7.1574,-17.9217
7.2874,-17.9217
7.4173,-17.9217
7.3523,-18.0343
7.2224,-18.0343
7.0924,-18.0343
6.9624,-18.0343
6.8324,-18.0343
6.7024,-18.0343
6.5724,-18.0343
6.6374,-18.1469
6.7674,-18.1469
6.8974,-18.1469
7.0274,-18.1469
7.1574,-18.1469
7.2874,-18.1469
7.4173,-18.1469
7.3523,-18.2595
7.2224,-18.2595
7.0924,-18.2595
6.9624,-18.2595
6.8324,-18.2595
6.7024,-18.2595
6.5724,-18.2595
6.6374,-18.3721
6.7674,-18.3721
6.8974,-18.3721
7.0274,-18.3721
7.1574,-18.3721
7.2874,-18.3721
7.4173,-18.3721
7.3524,-18.4847
7.4173,-18.5973
7.2874,-18.5973
7.3523,-18.7099
7.2224,-18.7099
7.0924,-18.7099
6.9624,-18.7099
6.8324,-18.7099
6.7024,-18.7099
6.5724,-18.7099
6.6374,-18.5973
6.7674,-18.5973
6.8974,-18.5973
7.0274,-18.5973
7.1574,-18.5973
7.0924,-18.4847
6.9624,-18.4847
6.8324,-18.4847
