x,y
-2.2027,18.2238
-2.3326,18.2238
-2.4626,18.2238
-2.5926,18.2238
-2.7226,18.2238
-2.8526,18.2238
-2.9826,18.2238
-3.0476,18.3364
-2.9176,18.3364
-2.7876,18.3364
-2.6576,18.3364
-2.5276,18.3364
-2.3976,18.3364
-2.2676,18.3364
-2.2027,18.449
-2.3326,18.449
-2.4626,18.449
-2.5926,18.449
-2.7226,18.449
-2.8526,18.449
-2.9826,18.449
-3.0476,18.5616
-2.9176,18.5616
-2.7876,18.5616
-2.6576,18.5616
-2.5276,18.5616
-2.3976,18.5616
-2.2676,18.5616
-2.2027,18.6742
-2.3326,18.6742
-2.4626,18.6742
-2.5926,18.6742
-2.7226,18.6742
-2.8526,18.6742
-2.9826,18.6742
-3.0476,18.7868
-2.9176,18.7868
-2.7876,18.7868
-2.6576,18.7868
-2.5276,18.7868
-2.3976,18.7868
-2.2676,18.7868
-2.2027,18.8994
-2.3326,18.8994
-2.4626,18.8994
-2.5926,18.8994
-2.7226,18.8994
-2.8526,18.8994
-2.9826,18.8994
-3.0476,19.012
-2.9176,19.012
-2.7876,19.012
-2.6576,19.012
-2.5276,19.012
-2.3976,19.012
-2.2676,19.012
-2.2027,19.1246
-2.3326,19.1246
-2.4626,19.1246
-2.5926,19.1246
-2.7226,19.1246
-2.8526,19.1246
-2.7877,19.2372
-2.9176,19.2372
-3.0476,19.2372
-2.9826,19.3498
-2.8526,19.3498
-2.7226,19.3498
-2.5926,19.3498
-2.4626,19.3498
-2.3326,19.3498
-2.2027,19.3498
-2.2676,19.2372
-2.1376,19.2372
-2.0727,19.3498
-2.1376,19.4624
-2.0077,19.4624
-2.0727,19.575
-2.1376,19.6876
-2.0077,19.6876
-2.0727,19.8002
-2.1376,19.9128
-2.0077,19.9128
-2.0727,20.0254
-2.1376,20.138
-2.0077,20.138
-2.0727,20.2506
-2.1376,20.3632
-2.0077,20.3632
-2.0727,20.4758
-2.1376,20.5884
-2.2676,20.5884
-2.2027,20.4758
-2.3326,20.4758
-2.4626,20.4758
-2.5926,20.4758
-2.7226,20.4758
-2.8526,20.4758
-2.9826,20.4758
-3.0476,20.3632
-2.9176,20.3632
-2.7876,20.3632
-2.6576,20.3632
-2.5276,20.3632
-2.3976,20.3632
-2.2676,20.3632
-2.2027,20.2506
-2.3326,20.2506
-2.4626,20.2506
-2.5926,20.2506
-2.7226,20.2506
-2.8526,20.2506
-2.9826,20.2506
-2.9176,20.138
-3.0476,20.138
-2.9826,20.0254
-2.8526,20.0254
-2.7226,20.0254
-2.5926,20.0254
-2.4626,20.0254
-2.3326,20.0254
-2.2027,20.0254
-2.2676,20.138
-2.3976,20.138
-2.5276,20.138
-2.6576,20.138
-2.7876,20.138
-2.7876,19.9128
-2.6576,19.9128
-2.5276,19.9128
-2.3976,19.9128
-2.2676,19.9128
-2.2027,19.8002
-2.3326,19.8002
-2.4626,19.8002
-2.5926,19.8002
-2.7226,19.8002
-2.8526,19.8002
-2.9826,19.8002
-3.0476,19.6876
-2.9176,19.6876
-2.7876,19.6876
-2.6576,19.6876
-2.5276,19.6876
-2.3976,19.6876
-2.2676,19.6876
-2.2027,19.575
-2.3326,19.575
-2.4626,19.575
-2.5926,19.575
-2.7226,19.575
-2.8526,19.575
-2.9826,19.575
-3.0476,19.4624
-2.9176,19.4624
-2.7876,19.4624
-2.6576,19.4624
-2.5276,19.4624
-2.3976,19.4624
-2.2676,19.4624
-2.3976,19.2372
-2.5276,19.2372
-2.6576,19.2372
-2.9826,19.1246
-3.1127,19.1246
-3.2426,19.1246
-3.1777,19.012
-3.3076,19.012
-3.2426,18.8994
-3.1127,18.8994
-3.1777,18.7868
-3.3076,18.7868
-3.2426,18.6742
-3.1127,18.6742
-3.1777,18.5616
-3.3076,18.5616
-3.2426,18.449
-3.1127,18.449
-3.1777,18.3364
-3.3076,18.3364
-3.2426,18.2238
-3.1127,18.2238
-3.1777,18.1112
-3.3076,18.1112
-3.2426,17.9986
-3.1127,17.9986
-3.1777,17.886
-3.3076,17.886
-3.2426,17.7734
-3.1127,17.7734
-3.0476,17.886
-2.9176,17.886
-2.7876,17.886
-2.6576,17.886
-2.5276,17.886
-2.3976,17.886
-2.2676,17.886
-2.2027,17.9986
-2.3326,17.9986
-2.4626,17.9986
-2.5926,17.9986
-2.7226,17.9986
-2.8526,17.9986
-2.9826,17.9986
-3.0476,18.1112
-2.9176,18.1112
-2.7876,18.1112
-2.6576,18.1112
-2.5276,18.1112
-2.3976,18.1112
-2.2676,18.1112
-2.1376,18.1112
-2.0077,18.1112
-2.0727,17.9986
-2.1376,17.886
-2.0077,17.886
-2.0727,17.7734
-2.2027,17.7734
-2.3326,17.7734
-2.4626,17.7734
-2.5926,17.7734
-2.7226,17.7734
-2.8526,17.7734
-2.9826,17.7734
-2.9826,17.5601
-2.8526,17.5601
-2.7226,17.5601
-2.5926,17.5601
-2.4626,17.5601
-2.3326,17.5601
-2.2027,17.5601
-2.2676,17.4475
-2.2027,17.3349
-2.3326,17.3349
-2.4626,17.3349
-2.5926,17.3349
-2.7226,17.3349
-2.8526,17.3349
-2.9826,17.3349
-3.0476,17.4475
-2.9176,17.4475
-2.7876,17.4475
-2.6576,17.4475
-2.5276,17.4475
-2.3976,17.4475
-2.3976,17.2223
-2.5276,17.2223
-2.6576,17.2223
-2.7876,17.2223
-2.9176,17.2223
-3.0476,17.2223
-2.9826,17.1097
-2.8526,17.1097
-2.7226,17.1097
-2.5926,17.1097
-2.4626,17.1097
-2.3326,17.1097
-2.2027,17.1097
-2.2676,16.9971
-2.2027,16.8845
-2.3326,16.8845
-2.4626,16.8845
-2.5926,16.8845
-2.7226,16.8845
-2.8526,16.8845
-2.9826,16.8845
-3.0476,16.7719
-2.9176,16.7719
-2.7876,16.7719
-2.6576,16.7719
-2.5276,16.7719
-2.3976,16.7719
-2.2676,16.7719
-2.2027,16.6593
-2.3326,16.6593
-2.4626,16.6593
-2.5926,16.6593
-2.7226,16.6593
-2.8526,16.6593
-2.9826,16.6593
-2.9176,16.5467
-3.0476,16.5467
-2.9826,16.4341
-2.8526,16.4341
-2.7226,16.4341
-2.5926,16.4341
-2.4626,16.4341
-2.3326,16.4341
-2.2027,16.4341
-2.2676,16.3215
-2.2027,16.2089
-2.3326,16.2089
-2.4626,16.2089
-2.5926,16.2089
-2.7226,16.2089
-2.8526,16.2089
-2.9826,16.2089
-2.9176,16.3215
-3.0476,16.3215
-3.1127,16.2089
-3.2426,16.2089
-3.1777,16.3215
-3.3076,16.3215
-3.2426,16.4341
-3.1127,16.4341
-3.1777,16.5467
-3.3076,16.5467
-3.2427,16.6593
-3.3726,16.6593
-3.5026,16.6593
-3.4377,16.7719
-3.5677,16.7719
-3.6976,16.7719
-3.6327,16.8845
-3.7626,16.8845
-3.8926,16.8845
-3.8276,16.7719
-3.7626,16.6593
-3.8926,16.6593
-3.8276,16.5467
-3.6976,16.5467
-3.5677,16.5467
-3.6326,16.6593
-3.4377,16.5467
-3.3727,16.4341
-3.5027,16.4341
-3.6327,16.4341
-3.7626,16.4341
-3.8926,16.4341
-3.8276,16.3215
-3.6976,16.3215
-3.5677,16.3215
-3.4377,16.3215
-3.5027,16.2089
-3.3727,16.2089
-3.6327,16.2089
-3.7626,16.2089
-4.0454,16.4325
-4.1754,16.4325
-4.3054,16.4325
-4.2404,16.3199
-4.1104,16.3199
-4.1104,16.5451
-4.2404,16.5451
-4.3054,16.6577
-4.1754,16.6577
-4.0454,16.6577
-4.1104,16.7703
-4.2404,16.7703
-4.3054,16.8829
-4.1754,16.8829
