x,y
0.7262,-22.185
0.5962,-22.185
0.4662,-22.185
0.3362,-22.185
0.2062,-22.185
0.0762,-22.185
-0.0538,-22.185
-0.1838,-22.185
-0.3138,-22.185
-0.4438,-22.185
-0.5738,-22.185
-0.7038,-22.185
-0.8338,-22.185
-0.9638,-22.185
-1.0938,-22.185
-1.2238,-22.185
-1.3538,-22.185
-1.4838,-22.185
-1.6138,-22.185
-1.7438,-22.185
-1.8738,-22.185
-2.0038,-22.185
-2.1338,-22.185
-2.0688,-22.2976
-1.9388,-22.2976
-1.8088,-22.2976
-1.6788,-22.2976
-1.5488,-22.2976
-1.4188,-22.2976
-1.2888,-22.2976
-1.1588,-22.2976
-1.0288,-22.2976
-0.8988,-22.2976
-0.7688,-22.2976
-0.6388,-22.2976
-0.5088,-22.2976
-0.3788,-22.2976
-0.2488,-22.2976
-0.1188,-22.2976
0.0112,-22.2976
0.1412,-22.2976
0.2712,-22.2976
0.4012,-22.2976
0.5312,-22.2976
0.6612,-22.2976
0.7912,-22.2976
0.9212,-22.2976
1.0512,-22.2976
1.1812,-22.2976
1.3112,-22.2976
1.4412,-22.2976
1.3762,-22.185
1.2462,-22.185
1.1162,-22.185
0.9862,-22.185
0.8562,-22.185
0.8074,-22.0312
0.6774,-22.0312
0.5474,-22.0312
0.4174,-22.0312
0.2874,-22.0312
0.1574,-22.0312
0.0274,-22.0312
-0.1026,-22.0312
-0.2326,-22.0312
-0.3626,-22.0312
-0.4926,-22.0312
-0.6226,-22.0312
-0.7526,-22.0312
-0.8826,-22.0312
-1.0126,-22.0312
-1.1426,-22.0312
-1.2171,-21.9186
-1.2859,-22.0312
-1.4159,-22.0312
-1.5459,-22.0312
-1.6759,-22.0312
-1.8059,-22.0312
-1.9359,-22.0312
-2.0659,-22.0312
-2.1309,-21.6934
-2.0009,-21.6934
-1.8709,-21.6934
-1.7409,-21.6934
-1.6109,-21.6934
-1.4809,-21.6934
-1.3509,-21.6934
-1.2171,-21.6934
-1.0776,-21.6934
-0.9476,-21.6934
-0.8176,-21.6934
-0.6876,-21.6934
-0.5576,-21.6934
-0.4276,-21.6934
-0.2976,-21.6934
-0.1676,-21.6934
-0.0376,-21.6934
0.0924,-21.6934
0.2224,-21.6934
0.3524,-21.6934
0.4824,-21.6934
0.6124,-21.6934
0.7424,-21.6934
0.8724,-21.6934
1.0024,-21.6934
1.1324,-21.6934
1.2624,-21.6934
1.3924,-21.6934
1.5262,-21.6934
1.6657,-21.6934
1.7957,-21.6934
1.9257,-21.6934
2.0557,-21.6934
2.1857,-21.6934
2.3157,-21.6934
2.4457,-21.6934
2.5757,-21.6934
2.7057,-21.6934
2.8357,-21.6934
2.9657,-21.6934
3.0957,-21.6934
3.2257,-21.6934
3.0307,-21.806
2.9007,-21.806
2.7707,-21.806
2.8357,-21.9186
2.7707,-22.0312
2.9007,-22.0312
3.0307,-22.0312
3.1607,-22.0312
3.2907,-22.0312
3.2228,-22.185
3.0928,-22.185
2.9628,-22.185
2.8328,-22.185
2.7028,-22.185
2.5728,-22.185
2.4428,-22.185
2.3128,-22.185
2.1828,-22.185
2.0528,-22.185
1.9228,-22.185
1.7928,-22.185
1.6628,-22.185
1.5328,-22.185
1.5978,-22.2976
1.7278,-22.2976
1.8578,-22.2976
1.9878,-22.2976
2.1178,-22.2976
2.2478,-22.2976
2.3778,-22.2976
2.5078,-22.2976
2.6378,-22.2976
2.7678,-22.2976
2.8978,-22.2976
3.0278,-22.2976
3.1578,-22.2976
3.2878,-22.2976
3.2228,-22.4102
3.0928,-22.4102
2.9628,-22.4102
2.8328,-22.4102
2.7028,-22.4102
2.5728,-22.4102
2.4428,-22.4102
2.3128,-22.4102
2.1828,-22.4102
2.0528,-22.4102
1.9228,-22.4102
1.7928,-22.4102
1.6628,-22.4102
1.5328,-22.4102
1.5978,-22.5228
1.7278,-22.5228
1.8578,-22.5228
1.9878,-22.5228
2.1178,-22.5228
2.2478,-22.5228
2.3778,-22.5228
2.5078,-22.5228
2.6378,-22.5228
2.7678,-22.5228
2.8978,-22.5228
3.0278,-22.5228
3.1578,-22.5228
3.2878,-22.5228
3.2228,-22.6354
3.0928,-22.6354
2.9628,-22.6354
2.8328,-22.6354
2.7028,-22.6354
2.5728,-22.6354
2.4428,-22.6354
2.3128,-22.6354
2.1828,-22.6354
2.0528,-22.6354
1.9228,-22.6354
1.7928,-22.6354
1.6628,-22.6354
1.5328,-22.6354
1.5978,-22.748
1.7278,-22.748
1.8578,-22.748
1.9878,-22.748
2.1178,-22.748
2.2478,-22.748
2.3778,-22.748
2.5078,-22.748
2.6378,-22.748
2.7678,-22.748
2.8978,-22.748
3.0278,-22.748
3.1578,-22.748
3.2878,-22.748
3.2228,-22.8606
3.3528,-22.8606
3.2878,-22.9732
3.1578,-22.9732
3.0278,-22.9732
2.8978,-22.9732
2.7678,-22.9732
2.6378,-22.9732
2.5078,-22.9732
2.3778,-22.9732
2.2478,-22.9732
2.1178,-22.9732
1.9878,-22.9732
1.8578,-22.9732
1.7278,-22.9732
1.5978,-22.9732
1.6628,-22.8606
1.7928,-22.8606
1.9228,-22.8606
2.0528,-22.8606
2.1828,-22.8606
2.3128,-22.8606
2.4428,-22.8606
2.5728,-22.8606
2.7028,-22.8606
2.8328,-22.8606
2.9628,-22.8606
3.0928,-22.8606
3.0928,-23.0858
3.2228,-23.0858
3.3528,-23.0858
3.2878,-23.1984
3.1578,-23.1984
3.0278,-23.1984
2.8978,-23.1984
2.7678,-23.1984
2.6378,-23.1984
2.5078,-23.1984
2.3778,-23.1984
2.2478,-23.1984
2.1178,-23.1984
1.9878,-23.1984
1.8578,-23.1984
1.7278,-23.1984
1.5978,-23.1984
1.6628,-23.0858
1.7928,-23.0858
1.9228,-23.0858
2.0528,-23.0858
2.1828,-23.0858
2.3128,-23.0858
2.4428,-23.0858
2.5728,-23.0858
2.7028,-23.0858
2.8328,-23.0858
2.9628,-23.0858
2.9007,-23.3693
2.7707,-23.3693
2.6407,-23.3693
