x,y
9.8581,-10.7606
9.9881,-10.7606
10.1181,-10.7606
10.2481,-10.7606
10.3781,-10.7606
10.5081,-10.7606
10.4431,-10.8732
10.3131,-10.8732
10.1831,-10.8732
10.0531,-10.8732
9.9231,-10.8732
9.9881,-10.9858
9.8581,-10.9858
9.9231,-11.0984
10.0531,-11.0984
10.1831,-11.0984
10.3131,-11.0984
10.4431,-11.0984
10.5731,-11.0984
10.7031,-11.0984
10.8331,-11.0984
10.9631,-11.0984
11.0281,-11.211
10.8981,-11.211
10.7681,-11.211
10.6381,-11.211
10.5081,-11.211
10.3781,-11.211
10.2481,-11.211
10.1181,-11.211
9.9881,-11.211
9.8581,-11.211
9.7561,-11.0754
9.6816,-11.188
9.5516,-11.188
9.4216,-11.188
9.2916,-11.188
9.1616,-11.188
9.0316,-11.188
8.9016,-11.188
8.7716,-11.188
8.6416,-11.188
8.5116,-11.188
8.3816,-11.188
8.2516,-11.188
8.1216,-11.188
7.9916,-11.188
7.8616,-11.188
7.7316,-11.188
7.6016,-11.188
7.4716,-11.188
7.3416,-11.188
7.287,-11.3976
7.3996,-11.4626
7.5122,-11.3976
7.6248,-11.4626
7.7374,-11.3976
7.85,-11.4626
7.9626,-11.3976
8.0752,-11.4626
8.1878,-11.3976
8.3004,-11.4626
8.413,-11.3976
8.5256,-11.4626
8.6382,-11.3976
8.7508,-11.4626
8.8634,-11.3976
8.976,-11.4626
9.0886,-11.3976
9.2012,-11.4626
9.3138,-11.3976
9.4264,-11.4626
9.539,-11.3976
9.6516,-11.4626
9.7642,-11.3976
9.8768,-11.4626
9.9894,-11.3976
10.102,-11.4626
10.2146,-11.3976
10.3272,-11.4626
10.4398,-11.3976
10.5524,-11.4626
10.665,-11.3976
10.7776,-11.4626
10.8902,-11.3976
11.0028,-11.4626
11.1154,-11.3976
11.228,-11.4626
11.3406,-11.3976
11.4532,-11.4626
11.5658,-11.3976
11.6784,-11.4626
11.791,-11.3976
11.9036,-11.4626
12.0162,-11.3976
12.1288,-11.4626
12.2414,-11.3976
12.1978,-11.2432
12.0678,-11.2432
11.9378,-11.2432
11.8078,-11.2432
11.6778,-11.2432
11.5478,-11.2432
11.4178,-11.2432
11.2878,-11.2432
11.1578,-11.2432
11.2228,-11.1306
11.3528,-11.1306
11.4828,-11.1306
11.6128,-11.1306
11.7428,-11.1306
11.8728,-11.1306
12.0028,-11.1306
12.1328,-11.1306
12.2628,-11.1306
12.1978,-11.018
12.0678,-11.018
11.9378,-11.018
11.8078,-11.018
11.6778,-11.018
11.5478,-11.018
11.4178,-11.018
11.2878,-11.018
11.1578,-11.018
11.2228,-10.9054
11.3528,-10.9054
11.4828,-10.9054
11.6128,-10.9054
11.7428,-10.9054
11.8728,-10.9054
12.0028,-10.9054
12.1328,-10.9054
12.2628,-10.9054
12.1978,-10.7928
12.0678,-10.7928
11.9378,-10.7928
11.8078,-10.7928
11.6778,-10.7928
11.5478,-10.7928
11.4178,-10.7928
11.2878,-10.7928
11.1578,-10.7928
11.2228,-10.6802
11.3528,-10.6802
11.4828,-10.6802
11.6128,-10.6802
11.7428,-10.6802
11.8728,-10.6802
12.0028,-10.6802
12.1328,-10.6802
12.2628,-10.6802
12.1978,-10.5676
12.0678,-10.5676
11.9378,-10.5676
11.8078,-10.5676
11.6778,-10.5676
11.5478,-10.5676
11.4178,-10.5676
11.2878,-10.5676
11.1578,-10.5676
11.2228,-10.455
11.3528,-10.455
11.4828,-10.455
11.6128,-10.455
11.7428,-10.455
11.8728,-10.455
12.0028,-10.455
12.1328,-10.455
12.2628,-10.455
12.1978,-10.3424
12.0678,-10.3424
11.9378,-10.3424
11.8078,-10.3424
11.6778,-10.3424
11.5478,-10.3424
11.4178,-10.3424
11.2878,-10.3424
11.1578,-10.3424
11.2228,-10.2298
11.3528,-10.2298
11.4828,-10.2298
11.6128,-10.2298
11.7428,-10.2298
11.8728,-10.2298
12.0028,-10.2298
12.1328,-10.2298
12.2628,-10.2298
12.1978,-10.1172
12.0678,-10.1172
11.9378,-10.1172
11.8078,-10.1172
11.6778,-10.1172
11.5478,-10.1172
11.4178,-10.1172
11.2878,-10.1172
11.1578,-10.1172
11.2228,-10.0046
11.3528,-10.0046
11.4828,-10.0046
11.6128,-10.0046
11.7428,-10.0046
11.8728,-10.0046
12.0028,-10.0046
12.1328,-10.0046
12.2628,-10.0046
12.1978,-9.892
12.0678,-9.892
11.9378,-9.892
11.8078,-9.892
11.6778,-9.892
11.5478,-9.892
11.4178,-9.892
11.2878,-9.892
11.1578,-9.892
11.2228,-9.7794
11.3528,-9.7794
11.4828,-9.7794
11.6128,-9.7794
11.7428,-9.7794
11.8728,-9.7794
12.0028,-9.7794
12.1328,-9.7794
12.2628,-9.7794
12.3042,-9.6388
12.2392,-9.5262
12.1092,-9.5262
12.1741,-9.4136
12.0442,-9.4136
11.9142,-9.4136
11.9791,-9.5262
11.8492,-9.5262
11.7842,-9.4136
11.6542,-9.4136
11.7191,-9.5262
11.5892,-9.5262
11.4592,-9.5262
11.5241,-9.4136
11.3942,-9.4136
11.2642,-9.4136
11.3291,-9.5262
11.1992,-9.5262
11.0692,-9.5262
10.9392,-9.5262
10.8742,-9.4136
10.7442,-9.4136
10.8091,-9.5262
10.6792,-9.5262
10.5492,-9.5262
10.4192,-9.5262
10.4841,-9.4136
10.3542,-9.4136
10.2892,-9.5262
10.1592,-9.5262
10.2241,-9.4136
10.1592,-9.301
10.2892,-9.301
10.3233,-9.123
10.3233,-8.993
10.3233,-8.863
10.3233,-8.733
10.3628,-8.5858
