x,y
10.2658,10.7931
10.2658,10.9231
10.2658,11.0531
10.2658,11.1831
10.3784,11.1181
10.3784,10.9881
10.3784,10.8581
10.3784,10.7281
10.3784,10.5981
10.3784,10.4681
10.3784,10.3381
10.3784,10.2081
10.3784,10.0781
10.3784,9.9481
10.3784,9.8181
10.3784,9.6881
10.3784,9.5581
10.3784,9.4281
10.3784,9.2981
10.3784,9.1681
10.3784,9.0381
10.3784,8.9081
10.3784,8.7781
10.3784,8.6481
10.3784,8.5181
10.3784,8.3881
10.3784,8.2581
10.2658,8.3231
10.2658,8.4531
10.2658,8.5831
10.2658,8.7131
10.2658,8.8431
10.2658,8.9731
10.2658,9.1031
10.2658,9.2331
10.2658,9.3631
10.2658,9.4931
10.2658,9.6231
10.2658,9.7531
10.2658,9.8831
10.2658,10.0131
10.2658,10.1431
10.2658,10.2731
10.2658,10.4031
10.2658,10.5331
10.2658,10.6631
10.1532,10.5981
10.1532,10.7281
10.1532,10.8581
10.1532,10.9881
10.1532,11.1181
10.0406,11.0531
10.0406,11.1831
9.928,11.1181
9.928,10.9881
9.928,10.8581
9.928,10.7281
9.928,10.5981
9.928,10.4681
9.928,10.3381
9.928,10.2081
9.928,10.0781
9.928,9.9481
9.928,9.8181
9.928,9.6881
9.928,9.5581
9.928,9.4281
9.928,9.2981
9.928,9.1681
9.928,9.0381
9.928,8.9081
9.928,8.7781
9.928,8.6481
9.928,8.5181
9.928,8.3881
9.928,8.2581
10.0406,8.3231
10.0406,8.4531
10.0406,8.5831
10.0406,8.7131
10.0406,8.8431
10.0406,8.9731
10.0406,9.1031
10.0406,9.2331
10.0406,9.3631
10.0406,9.4931
10.0406,9.6231
10.0406,9.7531
10.0406,9.8831
10.0406,10.0131
10.0406,10.1431
10.0406,10.2731
10.0406,10.4031
10.0406,10.5331
10.0406,10.6631
10.0406,10.7931
10.0406,10.9231
9.8154,11.0531
9.8154,11.1831
9.6478,11.2831
9.5178,11.2831
9.3878,11.2831
9.2578,11.2831
9.1278,11.2831
8.9978,11.2831
8.8678,11.2831
8.7378,11.2831
8.6078,11.2831
8.4778,11.2831
8.3478,11.2831
8.2178,11.2831
8.0878,11.2831
7.9578,11.2831
7.8278,11.2831
7.6978,11.2831
7.7628,11.1705
7.8928,11.1705
8.0228,11.1705
8.1528,11.1705
8.2828,11.1705
8.4128,11.1705
8.5428,11.1705
8.6728,11.1705
