x,y
3.5824,-18.4847
3.7124,-18.4847
3.8424,-18.4847
3.9724,-18.4847
4.1024,-18.4847
4.2324,-18.4847
4.2973,-18.5973
4.1674,-18.5973
4.2323,-18.7099
4.1024,-18.7099
4.1674,-18.8225
4.2973,-18.8225
4.2323,-18.9351
4.1024,-18.9351
4.0374,-18.8225
3.9074,-18.8225
3.9723,-18.9351
3.8424,-18.9351
3.7124,-18.9351
3.5824,-18.9351
3.4524,-18.9351
3.3224,-18.9351
3.1924,-18.9351
3.0624,-18.9351
3.1274,-18.8225
3.2574,-18.8225
3.3874,-18.8225
3.5174,-18.8225
3.6474,-18.8225
3.7774,-18.8225
3.7124,-18.7099
3.8424,-18.7099
3.9723,-18.7099
3.9074,-18.5973
3.7774,-18.5973
3.6474,-18.5973
3.5174,-18.5973
3.3874,-18.5973
3.4523,-18.4847
3.3224,-18.4847
3.2574,-18.5973
3.1274,-18.5973
3.1923,-18.4847
3.0624,-18.4847
2.9324,-18.4847
2.9973,-18.3721
2.8673,-18.3721
2.7373,-18.3721
2.6074,-18.3721
2.6723,-18.2595
2.5424,-18.2595
2.4124,-18.2595
2.2824,-18.2595
2.3473,-18.1469
2.2824,-18.0343
2.3473,-17.9217
2.2173,-17.9217
2.0873,-17.9217
1.9574,-17.9217
1.8274,-17.9217
1.6974,-17.9217
1.5674,-17.9217
1.5024,-18.0343
1.3724,-18.0343
1.4373,-18.1469
1.3074,-18.1469
1.2424,-18.0343
1.1124,-18.0343
1.1773,-18.1469
1.0474,-18.1469
0.9824,-18.0343
1.0474,-17.9217
1.1773,-17.9217
1.3074,-17.9217
1.4373,-17.9217
1.4373,-17.7085
1.3074,-17.7085
1.2424,-17.5959
1.1124,-17.5959
1.1773,-17.4833
1.0474,-17.4833
0.9824,-17.5959
1.0474,-17.7085
1.1773,-17.7085
1.3724,-17.5959
1.4373,-17.4833
1.3074,-17.4833
1.2424,-17.3707
1.3724,-17.3707
1.4373,-17.2581
1.5024,-17.3707
1.6324,-17.3707
1.7624,-17.3707
1.8924,-17.3707
2.0224,-17.3707
2.1523,-17.3707
2.0873,-17.2581
1.9574,-17.2581
1.8274,-17.2581
1.6974,-17.2581
1.5674,-17.2581
1.6324,-17.1455
1.7624,-17.1455
1.8924,-17.1455
2.0224,-17.1455
2.1523,-17.1455
2.2173,-17.0329
2.0873,-17.0329
1.9574,-17.0329
1.8274,-17.0329
2.0224,-16.9203
2.1523,-16.9203
2.2173,-16.8077
2.3473,-16.8077
2.2824,-16.9203
2.3473,-17.0329
2.2824,-17.1455
2.3473,-17.2581
2.2824,-17.3707
2.3473,-17.4833
2.2173,-17.4833
2.1524,-17.5959
2.2823,-17.5959
2.3473,-17.7085
2.2173,-17.7085
2.0873,-17.7085
1.9574,-17.7085
1.8274,-17.7085
1.6974,-17.7085
1.5674,-17.7085
1.6323,-17.5959
1.5024,-17.5959
1.5674,-17.4833
1.6974,-17.4833
1.8274,-17.4833
1.9574,-17.4833
2.0873,-17.4833
2.0224,-17.5959
1.8924,-17.5959
1.7624,-17.5959
1.7624,-18.0343
1.6324,-18.0343
1.6974,-18.1469
1.8274,-18.1469
1.9574,-18.1469
2.0873,-18.1469
2.0224,-18.0343
2.1523,-18.0343
2.2173,-18.1469
2.1523,-18.2595
2.0224,-18.2595
2.0873,-18.3721
1.9574,-18.3721
1.8274,-18.3721
1.6974,-18.3721
1.5674,-18.3721
1.6323,-18.4847
1.5024,-18.4847
1.3724,-18.4847
1.4373,-18.5973
1.3074,-18.5973
1.2424,-18.4847
1.1124,-18.4847
1.1773,-18.3721
1.0474,-18.3721
1.1124,-18.2595
1.2424,-18.2595
1.3724,-18.2595
1.4373,-18.3721
1.3074,-18.3721
1.5024,-18.2595
1.6324,-18.2595
1.7624,-18.2595
1.8924,-18.2595
1.8924,-18.0343
1.5674,-18.1469
1.7624,-18.4847
1.8924,-18.4847
2.0224,-18.4847
2.0873,-18.5973
1.9574,-18.5973
1.8274,-18.5973
1.6974,-18.5973
1.5674,-18.5973
1.5024,-18.7099
1.3724,-18.7099
1.4373,-18.8225
1.3074,-18.8225
1.2424,-18.9351
1.1124,-18.9351
1.1773,-18.8225
1.0474,-18.8225
1.1124,-18.7099
1.1773,-18.5973
1.0474,-18.5973
1.2424,-18.7099
1.3724,-18.9351
1.4373,-19.0477
1.3074,-19.0477
1.2424,-19.1603
1.1124,-19.1603
1.1773,-19.2729
1.1124,-19.3855
1.1773,-19.4981
1.2424,-19.3855
1.3724,-19.3855
1.4373,-19.2729
1.3074,-19.2729
1.3724,-19.1603
1.5024,-19.1603
1.6324,-19.1603
1.7624,-19.1603
1.8924,-19.1603
2.0224,-19.1603
2.1523,-19.1603
2.2173,-19.0477
2.0873,-19.0477
1.9574,-19.0477
1.8274,-19.0477
1.6974,-19.0477
1.5674,-19.0477
1.5024,-18.9351
1.6324,-18.9351
1.7624,-18.9351
1.8924,-18.9351
2.0224,-18.9351
2.1523,-18.9351
2.0873,-18.8225
1.9574,-18.8225
1.8274,-18.8225
1.6974,-18.8225
1.5674,-18.8225
1.6324,-18.7099
1.7624,-18.7099
1.8924,-18.7099
2.0224,-18.7099
2.1523,-18.7099
2.2173,-18.8225
2.3473,-18.8225
2.2824,-18.9351
2.3473,-19.0477
