x,y
2.0873,16.4341
1.9574,16.4341
1.8274,16.4341
1.6974,16.4341
1.5674,16.4341
1.5024,16.3215
1.3724,16.3215
1.4373,16.2089
1.3074,16.2089
1.2424,16.3215
1.1124,16.3215
1.1773,16.4341
1.0474,16.4341
1.1124,16.5467
1.1773,16.6593
1.0474,16.6593
1.1124,16.7719
1.1773,16.8845
1.0474,16.8845
1.1124,16.9971
1.1773,17.1097
1.0474,17.1097
1.1124,17.2223
1.1773,17.3349
1.0474,17.3349
1.1124,17.4475
1.1773,17.5601
1.0474,17.5601
0.9824,17.4475
0.8524,17.4475
0.9173,17.5601
0.7874,17.5601
0.6574,17.5601
0.7224,17.4475
0.7874,17.3349
0.9173,17.3349
0.8524,17.2223
0.9173,17.1097
0.7874,17.1097
0.6574,17.1097
0.7224,17.2223
0.6574,17.3349
0.5923,17.4475
0.4624,17.4475
0.5273,17.5601
0.3974,17.5601
0.3324,17.4475
0.2024,17.4475
0.2673,17.5601
0.1374,17.5601
0.0724,17.4475
0.1374,17.3349
0.2673,17.3349
0.2024,17.2223
0.2673,17.1097
0.1374,17.1097
0.0724,16.9971
0.2024,16.9971
0.2673,16.8845
0.1374,16.8845
0.0724,16.7719
0.2024,16.7719
0.2673,16.6593
0.1374,16.6593
0.2024,16.5467
0.2673,16.4341
0.1374,16.4341
0.2024,16.3215
0.2673,16.2089
0.1374,16.2089
0.2024,16.0963
0.2673,15.9837
0.1374,15.9837
0.0724,16.0963
0.0073,15.9837
-0.1226,15.9837
-0.0577,16.0963
-0.1226,16.2089
0.0073,16.2089
-0.0577,16.3215
-0.1226,16.4341
0.0073,16.4341
-0.0577,16.5467
-0.1226,16.6593
0.0073,16.6593
-0.0577,16.7719
-0.1226,16.8845
0.0073,16.8845
-0.0577,16.9971
-0.1226,17.1097
0.0073,17.1097
-0.0577,17.2223
0.0073,17.3349
0.0724,17.2223
0.3324,17.2223
0.4624,17.2223
0.5923,17.2223
0.5273,17.1097
0.3974,17.1097
0.4624,16.9971
0.5923,16.9971
0.5273,16.8845
0.3974,16.8845
0.4624,16.7719
0.5923,16.7719
0.5274,16.6593
0.5923,16.5467
0.4624,16.5467
0.5273,16.4341
0.3974,16.4341
0.3324,16.3215
0.4624,16.3215
0.5923,16.3215
0.5273,16.2089
0.3974,16.2089
0.4624,16.0963
0.5923,16.0963
0.5274,15.9837
0.5923,15.8711
0.4624,15.8711
0.5273,15.7585
0.3974,15.7585
0.4624,15.6459
0.5923,15.6459
0.7223,15.6459
0.6574,15.5333
0.7874,15.5333
0.9173,15.5333
0.8524,15.6459
0.9173,15.7585
0.7874,15.7585
0.6574,15.7585
0.7224,15.8711
0.7873,15.9837
0.6574,15.9837
0.7224,16.0963
0.8524,16.0963
0.9173,16.2089
0.7874,16.2089
0.6574,16.2089
0.7224,16.3215
0.8524,16.3215
0.9173,16.4341
0.7874,16.4341
0.6574,16.4341
0.7224,16.5467
0.8524,16.5467
0.9173,16.6593
0.7874,16.6593
0.6574,16.6593
0.7224,16.7719
0.8524,16.7719
0.9173,16.8845
0.7874,16.8845
0.6574,16.8845
0.7224,16.9971
0.8524,16.9971
0.9824,16.9971
0.9824,17.2223
1.2424,17.2223
1.3724,17.2223
1.4373,17.1097
1.3074,17.1097
1.2424,16.9971
1.3724,16.9971
1.4373,16.8845
1.3074,16.8845
1.2424,16.7719
1.3724,16.7719
1.4373,16.6593
1.3074,16.6593
1.2424,16.5467
1.3724,16.5467
1.4373,16.4341
1.3074,16.4341
1.5024,16.5467
1.5673,16.6593
1.5024,16.7719
1.6324,16.7719
1.6973,16.6593
1.6324,16.5467
1.7624,16.5467
1.8924,16.5467
2.0224,16.5467
2.1523,16.5467
2.2173,16.6593
2.0873,16.6593
1.9574,16.6593
1.8274,16.6593
1.7624,16.7719
1.8924,16.7719
2.0224,16.7719
2.1523,16.7719
2.0873,16.8845
1.9574,16.8845
1.8274,16.8845
1.6974,16.8845
1.5674,16.8845
1.5024,16.9971
1.6324,16.9971
1.7624,16.9971
1.8924,16.9971
2.0224,16.9971
2.1523,16.9971
2.0873,17.1097
1.9574,17.1097
1.8274,17.1097
1.6974,17.1097
1.5674,17.1097
1.5024,17.2223
1.6324,17.2223
1.7624,17.2223
1.8924,17.2223
2.0224,17.2223
2.1523,17.2223
2.0873,17.3349
1.9574,17.3349
1.8274,17.3349
1.6974,17.3349
1.5674,17.3349
1.5024,17.4475
1.3724,17.4475
1.4373,17.5601
1.3074,17.5601
1.2424,17.4475
1.3074,17.3349
1.4373,17.3349
1.6324,17.4475
1.7624,17.4475
1.8924,17.4475
2.0224,17.4475
2.1523,17.4475
2.2173,17.5601
2.0873,17.5601
1.9574,17.5601
1.8274,17.5601
1.6974,17.5601
1.5674,17.5601
1.5674,17.7734
1.6974,17.7734
1.8274,17.7734
1.9574,17.7734
2.0873,17.7734
2.0224,17.886
2.1523,17.886
2.0873,17.9986
1.9574,17.9986
1.8274,17.9986
1.6974,17.9986
1.5674,17.9986
1.5024,18.1112
1.3724,18.1112
1.4373,17.9986
1.3074,17.9986
1.2424,18.1112
1.1124,18.1112
1.1773,17.9986
1.0474,17.9986
1.1124,17.886
1.1773,17.7734
1.0474,17.7734
0.9824,17.886
0.8524,17.886
0.9173,17.9986
0.7874,17.9986
0.6574,17.9986
0.7224,17.886
0.7874,17.7734
0.9173,17.7734
0.6574,17.7734
0.5923,17.886
0.4624,17.886
0.5273,17.7734
0.3974,17.7734
0.3324,17.886
0.2024,17.886
0.2673,17.9986
0.3324,18.1112
0.4624,18.1112
0.5923,18.1112
0.5273,17.9986
0.3974,17.9986
0.3974,18.2238
0.5273,18.2238
0.4624,18.3364
0.5923,18.3364
0.5273,18.449
0.3974,18.449
0.4624,18.5616
0.5923,18.5616
0.5273,18.6742
0.6574,18.6742
0.7874,18.6742
0.9173,18.6742
0.8524,18.5616
0.9173,18.449
0.7874,18.449
0.6574,18.449
0.7224,18.5616
0.7224,18.3364
0.8524,18.3364
0.9173,18.2238
0.7874,18.2238
0.6574,18.2238
0.7224,18.1112
0.8524,18.1112
0.9824,18.1112
1.0474,18.2238
1.1773,18.2238
1.1124,18.3364
1.1773,18.449
1.0474,18.449
1.1124,18.5616
1.1773,18.6742
1.0474,18.6742
1.1124,18.7868
1.1773,18.8994
1.0474,18.8994
0.9824,18.7868
0.8524,18.7868
0.7224,18.7868
0.9824,18.5616
0.9824,18.3364
1.2424,18.3364
1.3724,18.3364
1.4373,18.449
1.3074,18.449
1.2424,18.5616
1.3724,18.5616
1.4373,18.6742
1.3074,18.6742
1.2424,18.7868
1.3724,18.7868
1.4373,18.8994
1.3074,18.8994
1.3724,19.012
1.5024,19.012
1.6324,19.012
1.7624,19.012
1.8924,19.012
2.0224,19.012
2.1523,19.012
2.2173,18.8994
2.0873,18.8994
1.9574,18.8994
1.8274,18.8994
1.6974,18.8994
1.5674,18.8994
1.5024,18.7868
1.6324,18.7868
1.7624,18.7868
1.8924,18.7868
2.0224,18.7868
2.1523,18.7868
2.0873,18.6742
1.9574,18.6742
1.8274,18.6742
1.6974,18.6742
1.5674,18.6742
1.5024,18.5616
1.6324,18.5616
1.7624,18.5616
1.8924,18.5616
2.0224,18.5616
2.1523,18.5616
2.2173,18.449
2.0873,18.449
1.9574,18.449
1.8274,18.449
1.6974,18.449
1.5674,18.449
1.5024,18.3364
1.6324,18.3364
1.7624,18.3364
1.8924,18.3364
2.0224,18.3364
2.1523,18.3364
2.0873,18.2238
1.9574,18.2238
1.8274,18.2238
1.6974,18.2238
1.5674,18.2238
1.6324,18.1112
1.7624,18.1112
1.8924,18.1112
2.0224,18.1112
2.1523,18.1112
2.2173,18.2238
2.3473,18.2238
2.2824,18.1112
2.3473,17.9986
2.2824,17.886
2.3473,17.7734
2.2173,17.7734
2.2173,17.9986
2.4124,17.886
2.5424,17.886
2.6723,17.886
2.6074,17.9986
2.7373,17.9986
2.8673,17.9986
2.9973,17.9986
2.9323,18.1112
2.8023,18.1112
2.6723,18.1112
2.5424,18.1112
2.4124,18.1112
2.4774,17.9986
2.4774,17.7734
2.6074,17.7734
2.7373,17.7734
2.8673,17.7734
2.9973,17.7734
2.9323,17.886
2.8023,17.886
3.0624,17.886
3.1924,17.886
3.3224,17.886
3.4524,17.886
3.5824,17.886
3.7124,17.886
3.8424,17.886
3.9723,17.886
3.9074,17.7734
3.7774,17.7734
3.6474,17.7734
3.5174,17.7734
3.3874,17.7734
3.2574,17.7734
3.1274,17.7734
3.1274,17.5601
3.2574,17.5601
3.3874,17.5601
3.5174,17.5601
3.6474,17.5601
3.7774,17.5601
3.9074,17.5601
3.9723,17.4475
3.8424,17.4475
3.7124,17.4475
3.5824,17.4475
3.4524,17.4475
3.3224,17.4475
3.1924,17.4475
3.0624,17.4475
3.1274,17.3349
3.2574,17.3349
3.3874,17.3349
3.5174,17.3349
3.6474,17.3349
3.7774,17.3349
3.9074,17.3349
3.9723,17.2223
3.8424,17.2223
3.7124,17.2223
3.5824,17.2223
3.4524,17.2223
3.3224,17.2223
3.1924,17.2223
3.0624,17.2223
3.1274,17.1097
3.2574,17.1097
3.3874,17.1097
3.5174,17.1097
3.6474,17.1097
3.7774,17.1097
3.9074,17.1097
3.9723,16.9971
3.8424,16.9971
3.7124,16.9971
3.5824,16.9971
3.4524,16.9971
3.3224,16.9971
3.1924,16.9971
3.0624,16.9971
3.1274,16.8845
3.2574,16.8845
3.3874,16.8845
3.5174,16.8845
3.6474,16.8845
3.7774,16.8845
3.9074,16.8845
3.9723,16.7719
3.8424,16.7719
3.7124,16.7719
3.5824,16.7719
3.4524,16.7719
3.3224,16.7719
3.1924,16.7719
3.0624,16.7719
2.9974,16.6593
3.1274,16.6593
3.2574,16.6593
3.3874,16.6593
3.5174,16.6593
3.6474,16.6593
3.7774,16.6593
3.9074,16.6593
3.9723,16.5467
3.8424,16.5467
3.7124,16.5467
3.5824,16.5467
3.4524,16.5467
3.3224,16.5467
3.1924,16.5467
3.0624,16.5467
3.1274,16.4341
3.2574,16.4341
3.3874,16.4341
3.5174,16.4341
3.6474,16.4341
3.7774,16.4341
3.9074,16.4341
3.9723,16.3215
3.8424,16.3215
3.7124,16.3215
3.5824,16.3215
3.4524,16.3215
3.3224,16.3215
3.1924,16.3215
3.0624,16.3215
3.1274,16.2089
3.2574,16.2089
3.3874,16.2089
3.5174,16.2089
3.6474,16.2089
3.7774,16.2089
3.9074,16.2089
3.9723,16.0963
3.8424,16.0963
3.7124,16.0963
3.7773,15.9837
3.6474,15.9837
3.5174,15.9837
3.3874,15.9837
3.2574,15.9837
3.1274,15.9837
2.9974,15.9837
3.0624,16.0963
3.1924,16.0963
3.3224,16.0963
3.4524,16.0963
3.5824,16.0963
3.5824,15.8711
3.4524,15.8711
3.3224,15.8711
3.1924,15.8711
3.0624,15.8711
3.1274,15.7585
3.2574,15.7585
3.3874,15.7585
3.5174,15.7585
3.6474,15.7585
3.7774,15.7585
3.8423,15.6459
3.7124,15.6459
3.5824,15.6459
3.4524,15.6459
3.3224,15.6459
3.1924,15.6459
3.0624,15.6459
3.1274,15.5333
3.2574,15.5333
3.3874,15.5333
3.5174,15.5333
3.6474,15.5333
3.7774,15.5333
3.9074,15.5333
3.9723,15.4207
3.8424,15.4207
3.7124,15.4207
3.5824,15.4207
3.4524,15.4207
3.3224,15.4207
3.1924,15.4207
3.0624,15.4207
3.1274,15.3081
3.2574,15.3081
3.3874,15.3081
3.5174,15.3081
3.6474,15.3081
3.7774,15.3081
3.8423,15.1955
3.7124,15.1955
3.5824,15.1955
3.4524,15.1955
3.3224,15.1955
3.1924,15.1955
3.0624,15.1955
3.1274,15.0829
3.2574,15.0829
3.3874,15.0829
3.5174,15.0829
3.6474,15.0829
3.7774,15.0829
3.9074,15.0829
3.9724,15.1955
3.9074,15.3081
4.0374,15.3081
4.1024,15.4207
4.1674,15.5333
4.0374,15.5333
4.1023,15.6459
3.9724,15.6459
4.0374,15.7585
3.9074,15.7585
3.9723,15.8711
3.8424,15.8711
3.7124,15.8711
3.9074,15.9837
4.0374,15.9837
4.1674,15.9837
4.2323,16.0963
4.1024,16.0963
4.1674,16.2089
4.2973,16.2089
4.2323,16.3215
4.1024,16.3215
4.1674,16.4341
4.2973,16.4341
4.2323,16.5467
4.1024,16.5467
4.1674,16.6593
4.2323,16.7719
4.1024,16.7719
4.0374,16.6593
4.0374,16.8845
4.1674,16.8845
4.2973,16.8845
4.2323,16.9971
4.1024,16.9971
4.1674,17.1097
4.2973,17.1097
4.2323,17.2223
4.1024,17.2223
4.1674,17.3349
4.2973,17.3349
4.2323,17.4475
4.1024,17.4475
4.1674,17.5601
4.0374,17.5601
4.0374,17.7734
4.1024,17.886
4.0374,17.9986
3.9074,17.9986
3.9723,18.1112
3.8424,18.1112
3.7124,18.1112
3.5824,18.1112
3.4524,18.1112
3.3224,18.1112
3.1924,18.1112
3.0624,18.1112
3.1274,17.9986
3.2574,17.9986
3.3874,17.9986
3.5174,17.9986
3.6474,17.9986
3.7774,17.9986
3.7774,18.2238
3.6474,18.2238
3.5174,18.2238
3.3874,18.2238
3.2574,18.2238
3.1274,18.2238
3.1924,18.3364
3.3224,18.3364
3.4524,18.3364
3.5824,18.3364
3.7124,18.3364
3.8424,18.3364
3.9074,18.2238
3.9074,18.449
3.7774,18.449
3.6474,18.449
3.5174,18.449
3.3874,18.449
3.2574,18.449
3.1274,18.449
3.1924,18.5616
3.3224,18.5616
3.4524,18.5616
3.5824,18.5616
3.7124,18.5616
3.8424,18.5616
3.7774,18.6742
3.6474,18.6742
3.5174,18.6742
3.3874,18.6742
3.2574,18.6742
3.1274,18.6742
3.1924,18.7868
3.3224,18.7868
3.4524,18.7868
3.5824,18.7868
3.7124,18.7868
3.5174,18.8994
3.3874,18.8994
3.2574,18.8994
3.1274,18.8994
3.1924,19.012
3.3224,19.012
3.1274,19.1246
3.0624,19.012
2.9973,18.8994
2.8673,18.8994
2.7373,18.8994
2.6074,18.8994
2.6723,18.7868
