x,y
1.4373,-14.7809
1.3074,-14.7809
1.2424,-14.8935
1.1124,-14.8935
1.1773,-14.7809
1.0474,-14.7809
0.9824,-14.8935
0.8524,-14.8935
0.9173,-14.7809
0.7874,-14.7809
0.6574,-14.7809
0.7224,-14.8935
0.7874,-15.0061
0.9173,-15.0061
0.8524,-15.1187
0.9173,-15.2313
0.7874,-15.2313
0.6574,-15.2313
0.7224,-15.1187
0.6574,-15.0061
0.5923,-15.1187
0.4624,-15.1187
0.5273,-15.2313
0.3974,-15.2313
0.3324,-15.1187
0.2024,-15.1187
0.2673,-15.2313
0.1374,-15.2313
0.0724,-15.1187
0.1374,-15.0061
0.2673,-15.0061
0.2024,-14.8935
0.2673,-14.7809
0.1374,-14.7809
0.0724,-14.8935
0.0073,-14.7809
-0.1226,-14.7809
-0.0577,-14.8935
-0.1226,-15.0061
0.0073,-15.0061
-0.0577,-15.1187
-0.1226,-15.2313
0.0073,-15.2313
-0.0577,-15.3439
-0.1226,-15.4565
0.0073,-15.4565
-0.0577,-15.5691
-0.1226,-15.6817
0.0073,-15.6817
-0.0577,-15.7943
-0.1226,-15.9069
0.0073,-15.9069
-0.0576,-16.0195
0.0723,-16.0195
0.0073,-16.1321
-0.1226,-16.1321
-0.0577,-16.2447
-0.1226,-16.3573
0.0073,-16.3573
-0.0577,-16.4699
-0.1226,-16.5825
0.0073,-16.5825
-0.0577,-16.6951
0.0724,-16.6951
0.2024,-16.6951
0.2673,-16.5825
0.1374,-16.5825
0.2024,-16.4699
0.2673,-16.3573
0.1374,-16.3573
0.0724,-16.2447
0.2024,-16.2447
0.2673,-16.1321
0.1374,-16.1321
0.2024,-16.0195
0.2673,-15.9069
0.1374,-15.9069
0.0724,-15.7943
0.2024,-15.7943
0.2673,-15.6817
0.1374,-15.6817
0.0724,-15.5691
0.2024,-15.5691
0.2673,-15.4565
0.1374,-15.4565
0.0724,-15.3439
0.2024,-15.3439
0.3324,-15.3439
0.4624,-15.3439
0.5923,-15.3439
0.5273,-15.4565
0.3974,-15.4565
0.3324,-15.5691
0.4624,-15.5691
0.5923,-15.5691
0.5274,-15.6817
0.5923,-15.7943
0.4624,-15.7943
0.5273,-15.9069
0.3974,-15.9069
0.3324,-15.7943
0.3974,-15.6817
