x,y
0.7428,11.1705
0.6128,11.1705
0.4828,11.1705
0.3528,11.1705
0.2228,11.1705
0.0928,11.1705
-0.0372,11.1705
-0.1672,11.1705
-0.2972,11.1705
-0.4272,11.1705
-0.5572,11.1705
-0.6872,11.1705
-0.8172,11.1705
-0.9472,11.1705
-1.0772,11.1705
-1.2072,11.1705
-1.3372,11.1705
-1.4672,11.1705
-1.5972,11.1705
-1.7272,11.1705
-1.8572,11.1705
-1.9872,11.1705
-1.9222,11.2831
-1.7922,11.2831
-1.6622,11.2831
-1.5322,11.2831
-1.4022,11.2831
-1.2722,11.2831
-1.1422,11.2831
-1.0122,11.2831
-0.8822,11.2831
-0.7522,11.2831
-0.6222,11.2831
-0.4922,11.2831
-0.3622,11.2831
-0.2322,11.2831
-0.1022,11.2831
0.0278,11.2831
0.1578,11.2831
0.2878,11.2831
0.4178,11.2831
0.5478,11.2831
0.6778,11.2831
0.8078,11.2831
0.9378,11.2831
1.0678,11.2831
1.1978,11.2831
1.3278,11.2831
1.4578,11.2831
1.5878,11.2831
1.7178,11.2831
1.8478,11.2831
1.9778,11.2831
2.1078,11.2831
2.2378,11.2831
2.3678,11.2831
2.4978,11.2831
2.6278,11.2831
2.7578,11.2831
2.8878,11.2831
3.0178,11.2831
3.1478,11.2831
3.0828,11.1705
2.9528,11.1705
2.8228,11.1705
2.6928,11.1705
2.5628,11.1705
2.4328,11.1705
2.3028,11.1705
2.1728,11.1705
2.0428,11.1705
1.9128,11.1705
1.7828,11.1705
1.6528,11.1705
1.5228,11.1705
1.3928,11.1705
1.2628,11.1705
1.1328,11.1705
1.0028,11.1705
0.8728,11.1705
0.9374,10.9853
1.0674,10.9853
1.1974,10.9853
1.3274,10.9853
1.4574,10.9853
1.5262,10.8727
1.6007,10.9853
1.7307,10.9853
1.8607,10.9853
1.9907,10.9853
2.1207,10.9853
2.2507,10.9853
2.3807,10.9853
2.5107,10.9853
2.6407,10.9853
2.7707,10.9853
2.9007,10.9853
3.0307,10.9853
2.9657,10.8727
2.8357,10.8727
2.9007,10.7601
2.9657,10.6475
2.8357,10.6475
2.7057,10.6475
2.5757,10.6475
2.4457,10.6475
2.3157,10.6475
2.1857,10.6475
2.0557,10.6475
1.9257,10.6475
1.7957,10.6475
1.6657,10.6475
1.5262,10.6475
1.3924,10.6475
1.2624,10.6475
1.1324,10.6475
1.0024,10.6475
0.8724,10.6475
0.7424,10.6475
0.6124,10.6475
0.4824,10.6475
0.3524,10.6475
0.2224,10.6475
0.0924,10.6475
-0.0376,10.6475
-0.1676,10.6475
-0.2976,10.6475
-0.4276,10.6475
-0.5576,10.6475
-0.6876,10.6475
-0.8176,10.6475
-0.9476,10.6475
-1.0776,10.6475
-1.2171,10.6475
-1.3509,10.6475
-1.4809,10.6475
-1.6109,10.6475
-1.7409,10.6475
-1.8709,10.6475
-2.0009,10.6475
-2.0659,10.9853
-1.9359,10.9853
-1.8059,10.9853
-1.6759,10.9853
-1.5459,10.9853
-1.4159,10.9853
-1.2859,10.9853
-1.2171,10.8727
-1.1426,10.9853
-1.0126,10.9853
-0.8826,10.9853
-0.7526,10.9853
-0.6226,10.9853
-0.4926,10.9853
-0.3626,10.9853
-0.2326,10.9853
-0.1026,10.9853
0.0274,10.9853
0.1574,10.9853
0.2874,10.9853
0.4174,10.9853
0.5474,10.9853
0.6774,10.9853
0.8074,10.9853
0.7874,11.4916
0.9173,11.4916
0.8524,11.6042
0.9173,11.7168
0.7874,11.7168
0.6574,11.7168
0.7224,11.6042
0.6574,11.4916
0.5923,11.6042
0.4624,11.6042
0.5273,11.7168
0.3974,11.7168
0.3324,11.6042
0.2024,11.6042
0.2673,11.7168
0.1374,11.7168
0.0724,11.6042
0.1374,11.4916
0.2673,11.4916
0.3974,11.4916
0.5273,11.4916
0.4624,11.8294
0.5923,11.8294
0.5273,11.942
0.3974,11.942
0.3324,11.8294
0.2024,11.8294
0.2673,11.942
0.1374,11.942
0.0724,12.0546
0.2024,12.0546
0.2673,12.1672
0.1374,12.1672
0.0724,12.2798
0.2024,12.2798
0.2673,12.3924
0.1374,12.3924
0.0724,12.505
0.2024,12.505
0.2673,12.6176
0.1374,12.6176
0.2024,12.7302
0.2673,12.8428
0.1374,12.8428
0.0724,12.9554
0.2024,12.9554
0.2673,13.068
0.1374,13.068
0.0724,13.1806
0.2024,13.1806
0.2673,13.2932
0.1374,13.2932
0.0724,13.4058
0.2024,13.4058
0.2673,13.5184
0.1374,13.5184
0.0724,13.631
0.2024,13.631
0.2673,13.7436
0.1374,13.7436
0.2024,13.8562
0.3324,13.8562
0.4624,13.8562
0.5923,13.8562
0.7223,13.8562
0.6574,13.7436
0.7874,13.7436
0.9173,13.7436
0.8524,13.8562
0.9824,13.8562
1.1124,13.8562
1.1773,13.7436
1.0474,13.7436
1.1124,13.631
1.1773,13.5184
1.0474,13.5184
1.1124,13.4058
1.1773,13.2932
1.0474,13.2932
0.9824,13.4058
0.8524,13.4058
0.9173,13.2932
0.7874,13.2932
0.6574,13.2932
0.7224,13.4058
0.7874,13.5184
0.9173,13.5184
0.8524,13.631
0.9824,13.631
1.2424,13.631
1.3724,13.631
1.4373,13.5184
1.3074,13.5184
1.2424,13.4058
1.3724,13.4058
1.4373,13.2932
1.3074,13.2932
1.2424,13.1806
1.1124,13.1806
0.9824,13.1806
0.8524,13.1806
0.7224,13.1806
0.7873,13.068
0.6574,13.068
0.5274,13.068
0.5923,12.9554
0.4624,12.9554
0.5273,12.8428
0.3974,12.8428
0.3324,12.9554
0.3974,13.068
0.4624,13.1806
0.5923,13.1806
0.5273,13.2932
0.3974,13.2932
0.4624,13.4058
0.5923,13.4058
0.5273,13.5184
0.3974,13.5184
0.3324,13.631
0.4624,13.631
0.5923,13.631
0.5273,13.7436
0.3974,13.7436
0.3974,13.9688
0.5273,13.9688
0.6574,13.9688
0.7224,13.631
0.6574,13.5184
0.3324,13.4058
0.3324,13.1806
0.0073,13.2932
-0.1226,13.2932
-0.0577,13.4058
-0.1877,13.4058
-0.2527,13.2932
-0.3176,13.1806
-0.1877,13.1806
-0.0577,13.1806
-0.1226,13.068
0.0073,13.068
-0.0577,12.9554
-0.1226,12.8428
0.0073,12.8428
-0.0577,12.7302
-0.1226,12.6176
0.0073,12.6176
-0.0577,12.505
-0.1226,12.3924
0.0073,12.3924
-0.0577,12.2798
-0.1226,12.1672
0.0073,12.1672
-0.0577,12.0546
-0.1226,11.942
0.0073,11.942
-0.0577,11.8294
-0.1226,11.7168
0.0073,11.7168
-0.0577,11.6042
-0.1226,11.4916
0.0073,11.4916
-0.1877,11.6042
-0.3176,11.6042
-0.2527,11.7168
-0.3176,11.8294
-0.1877,11.8294
-0.2527,11.942
-0.3176,12.0546
-0.1877,12.0546
-0.2527,12.1672
-0.3176,12.2798
-0.1877,12.2798
-0.2527,12.3924
-0.3176,12.505
-0.1877,12.505
-0.2527,12.6176
-0.3826,12.6176
-0.4476,12.505
-0.3827,12.3924
-0.4476,12.2798
-0.3827,12.1672
-0.4476,12.0546
-0.3827,11.942
-0.4476,11.8294
-0.3827,11.7168
-0.4476,11.6042
-0.3827,11.4916
-0.2527,11.4916
-0.5127,11.4916
-0.6426,11.4916
-0.5776,11.6042
-0.5127,11.7168
-0.6426,11.7168
-0.5776,11.8294
-0.5127,11.942
-0.6426,11.942
-0.5776,12.0546
-0.5127,12.1672
-0.6426,12.1672
-0.5776,12.2798
-0.5127,12.3924
-0.6426,12.3924
-0.5776,12.505
-0.5127,12.6176
-0.5776,12.7302
-0.5127,12.8428
-0.6426,12.8428
-0.7077,12.7302
-0.7726,12.6176
-0.6427,12.6176
-0.7077,12.505
-0.8376,12.505
-0.7727,12.3924
-0.8376,12.2798
-0.7077,12.2798
-0.7727,12.1672
-0.8376,12.0546
-0.7077,12.0546
-0.7727,11.942
-0.8376,11.8294
-0.7077,11.8294
-0.7727,11.7168
-0.8376,11.6042
-0.7077,11.6042
-0.7727,11.4916
-0.9027,11.4916
-1.0326,11.4916
-1.1626,11.4916
-1.2276,11.6042
-1.0976,11.6042
-0.9676,11.6042
-0.9027,11.7168
-1.0326,11.7168
-1.1626,11.7168
-1.2276,11.8294
-1.0976,11.8294
-0.9676,11.8294
-0.9027,11.942
-1.0326,11.942
-1.1626,11.942
-1.2276,12.0546
-1.0976,12.0546
-0.9676,12.0546
-0.9027,12.1672
-1.0326,12.1672
-1.1626,12.1672
-1.0976,12.2798
-0.9676,12.2798
-0.9027,12.3924
-1.0326,12.3924
-1.2927,11.942
-1.3577,11.8294
-1.4877,11.8294
-1.5526,11.7168
-1.4227,11.7168
-1.2927,11.7168
-1.3577,11.6042
-1.4877,11.6042
-1.6176,11.6042
-1.5526,11.4916
