x,y
-5.1996,-10.5124
-5.3296,-10.5124
-5.4596,-10.5124
-5.5896,-10.5124
-5.7196,-10.5124
-5.8496,-10.5124
-5.9796,-10.5124
-6.1096,-10.5124
-6.2396,-10.5124
-6.3696,-10.5124
-6.4996,-10.5124
-6.6296,-10.5124
-6.7596,-10.5124
-6.8896,-10.5124
-7.0196,-10.5124
-7.1496,-10.5124
-7.2796,-10.5124
-7.4096,-10.5124
-7.5396,-10.5124
-7.6084,-10.625
-7.7377,-10.7316
-7.8677,-10.7316
-7.8027,-10.8442
-7.7377,-10.9568
-7.8677,-10.9568
-7.8027,-11.0694
-7.7377,-11.182
-7.8677,-11.182
-7.8027,-11.2946
-7.5396,-11.188
-7.4096,-11.188
-7.2796,-11.188
-7.1496,-11.188
-7.0196,-11.188
-6.8896,-11.188
-6.7596,-11.188
-6.6296,-11.188
-6.4996,-11.188
-6.3696,-11.188
-6.2396,-11.188
-6.1096,-11.188
-5.9796,-11.188
-5.8496,-11.188
-5.7196,-11.188
-5.5896,-11.188
-5.4596,-11.188
-5.3296,-11.188
-5.1996,-11.188
-5.0696,-11.188
-4.9396,-11.188
-4.8651,-11.0754
-4.6954,-11.0282
-4.5654,-11.0282
-4.4354,-11.0282
-4.3054,-11.0282
-4.1754,-11.0282
-4.1104,-11.1408
-4.2404,-11.1408
-4.3704,-11.1408
-4.5004,-11.1408
-4.6304,-11.1408
-4.5654,-11.2534
-4.6954,-11.2534
-4.7604,-11.366
-4.6304,-11.366
-4.5004,-11.366
-4.3704,-11.366
-4.2404,-11.366
-4.1104,-11.366
-4.1754,-11.2534
-4.3054,-11.2534
-4.4354,-11.2534
-4.4354,-11.4786
-4.3054,-11.4786
-4.1754,-11.4786
-4.0454,-11.4786
-4.1104,-11.5912
-4.2404,-11.5912
-4.3704,-11.5912
-4.5004,-11.5912
-4.6304,-11.5912
-4.7604,-11.5912
-4.6954,-11.7038
-4.5654,-11.7038
-4.4354,-11.7038
-4.3054,-11.7038
-4.1754,-11.7038
-4.0454,-11.7038
-4.1104,-11.8164
-4.2404,-11.8164
-4.3704,-11.8164
-4.5004,-11.8164
-4.6304,-11.8164
-4.7604,-11.8164
-4.6954,-11.929
-4.5654,-11.929
-4.4354,-11.929
-4.3054,-11.929
-4.1754,-11.929
-4.0454,-11.929
-4.1104,-12.0416
-4.2404,-12.0416
-4.3704,-12.0416
-4.5004,-12.0416
-4.6304,-12.0416
-4.7604,-12.0416
-4.6954,-12.1542
-4.5654,-12.1542
-4.4354,-12.1542
-4.3054,-12.1542
-4.1754,-12.1542
-4.0454,-12.1542
-4.1104,-12.2668
-4.2404,-12.2668
-4.3704,-12.2668
-4.5004,-12.2668
-4.6304,-12.2668
-4.7604,-12.2668
-4.6954,-12.3794
-4.5654,-12.3794
-4.4354,-12.3794
-4.3054,-12.3794
-4.1754,-12.3794
-4.0454,-12.3794
-4.1104,-12.492
-4.2404,-12.492
-4.3704,-12.492
-4.5004,-12.492
-4.6304,-12.492
-4.7604,-12.492
-4.6954,-12.6046
-4.5654,-12.6046
-4.4354,-12.6046
-4.3054,-12.6046
-4.1754,-12.6046
-4.0454,-12.6046
-3.8926,-12.5408
-3.7626,-12.5408
-3.6976,-12.4282
-3.5677,-12.4282
-3.5027,-12.3156
-3.6327,-12.3156
-3.7626,-12.3156
-3.8926,-12.3156
-3.8276,-12.203
-3.6976,-12.203
-3.5677,-12.203
-3.4377,-12.203
-3.5027,-12.0904
-3.6327,-12.0904
-3.7626,-12.0904
-3.8926,-12.0904
-3.8276,-11.9778
-3.6976,-11.9778
-3.5677,-11.9778
-3.4377,-11.9778
-3.5027,-11.8652
-3.6327,-11.8652
-3.7626,-11.8652
-3.8926,-11.8652
-3.8276,-11.7526
-3.6976,-11.7526
-3.5677,-11.7526
-3.4377,-11.7526
-3.5027,-11.64
-3.6327,-11.64
-3.7626,-11.64
-3.8926,-11.64
-3.8604,-11.4626
-3.7478,-11.3976
-3.6352,-11.4626
-3.5226,-11.3976
-3.41,-11.4626
-3.2974,-11.3976
-3.1848,-11.4626
-3.0722,-11.3976
-2.9596,-11.4626
-2.847,-11.3976
-2.8516,-11.188
-2.9816,-11.188
-3.1116,-11.188
-3.2416,-11.188
-3.3716,-11.188
-3.5016,-11.188
-3.6316,-11.188
-3.7616,-11.188
-3.8916,-11.188
-3.9604,-11.0754
-4.0454,-11.2534
-4.1104,-10.9156
-4.2404,-10.9156
-4.3704,-10.9156
-4.5004,-10.9156
-4.6304,-10.9156
-4.5654,-10.803
-4.6954,-10.803
-4.6304,-10.6904
-4.5004,-10.6904
-4.3704,-10.6904
-4.2404,-10.6904
-4.1104,-10.6904
-4.1754,-10.803
-4.3054,-10.803
-4.4354,-10.803
-4.4354,-10.5778
-4.3054,-10.5778
-4.1754,-10.5778
-3.9604,-10.625
-3.8916,-10.5124
-3.7616,-10.5124
-3.6316,-10.5124
-3.5016,-10.5124
-3.3716,-10.5124
-3.2416,-10.5124
-3.1116,-10.5124
-2.9816,-10.5124
-2.8516,-10.5124
-2.8621,-10.3416
-2.9921,-10.3416
-3.1221,-10.3416
-3.2521,-10.3416
-3.3821,-10.3416
-3.5121,-10.3416
-3.6421,-10.3416
-3.7721,-10.3416
-3.9021,-10.3416
-4.0321,-10.3416
-4.1621,-10.3416
-4.2921,-10.3416
-4.4221,-10.3416
-4.5521,-10.3416
-4.6821,-10.3416
-4.8121,-10.3416
-4.9421,-10.3416
-5.0721,-10.3416
-5.2021,-10.3416
-5.3321,-10.3416
-5.4621,-10.3416
-5.5921,-10.3416
-5.7221,-10.3416
-5.8521,-10.3416
-5.9821,-10.3416
-6.1121,-10.3416
-6.2421,-10.3416
-6.3721,-10.3416
-6.5021,-10.3416
-6.6321,-10.3416
-6.7621,-10.3416
-6.8921,-10.3416
-7.0221,-10.3416
-7.1521,-10.3416
-7.2821,-10.3416
-7.4121,-10.3416
-7.5421,-10.3416
-7.4771,-10.229
-7.3471,-10.229
-7.2171,-10.229
-7.0871,-10.229
-6.9571,-10.229
-6.8271,-10.229
-6.6971,-10.229
-6.5671,-10.229
-6.4371,-10.229
-6.3071,-10.229
-6.1771,-10.229
-6.0471,-10.229
-5.9171,-10.229
-5.7871,-10.229
-5.6571,-10.229
-5.5271,-10.229
-5.3971,-10.229
-5.2671,-10.229
-5.1371,-10.229
-5.0071,-10.229
-4.8771,-10.229
-4.7471,-10.229
-4.6171,-10.229
-4.4871,-10.229
-4.3571,-10.229
-4.2271,-10.229
-4.0971,-10.229
-3.9671,-10.229
-3.8371,-10.229
-3.7071,-10.229
-3.5771,-10.229
-3.4471,-10.229
-3.3171,-10.229
-3.1871,-10.229
-3.0571,-10.229
-2.9271,-10.229
-2.7971,-10.229
-2.8621,-10.1164
-2.9921,-10.1164
-3.1221,-10.1164
-3.2521,-10.1164
-3.3821,-10.1164
-3.5121,-10.1164
-3.6421,-10.1164
-3.7721,-10.1164
-3.9021,-10.1164
-4.0321,-10.1164
-4.1621,-10.1164
-4.2921,-10.1164
-4.4221,-10.1164
-4.5521,-10.1164
-4.6821,-10.1164
-4.8121,-10.1164
-4.9421,-10.1164
-5.0721,-10.1164
-5.2021,-10.1164
-5.3321,-10.1164
-5.4621,-10.1164
-5.5921,-10.1164
-5.7221,-10.1164
-5.8521,-10.1164
-5.9821,-10.1164
-6.1121,-10.1164
-6.2421,-10.1164
-6.3721,-10.1164
-6.5021,-10.1164
-6.6321,-10.1164
-6.7621,-10.1164
-6.8921,-10.1164
-7.0221,-10.1164
-7.1521,-10.1164
-7.2821,-10.1164
-7.4121,-10.1164
-7.5421,-10.1164
-7.4771,-10.0038
-7.3471,-10.0038
-7.2171,-10.0038
-7.0871,-10.0038
-6.9571,-10.0038
-6.8271,-10.0038
-6.6971,-10.0038
-6.5671,-10.0038
-6.4371,-10.0038
-6.3071,-10.0038
-6.1771,-10.0038
-6.0471,-10.0038
-5.9171,-10.0038
-5.7871,-10.0038
-5.6571,-10.0038
-5.5271,-10.0038
-5.3971,-10.0038
-5.2671,-10.0038
-5.1371,-10.0038
-5.0071,-10.0038
-4.8771,-10.0038
-4.7471,-10.0038
-4.6171,-10.0038
-4.4871,-10.0038
-4.3571,-10.0038
-4.2271,-10.0038
-4.0971,-10.0038
-3.9671,-10.0038
-3.8371,-10.0038
-3.7071,-10.0038
-3.5771,-10.0038
-3.4471,-10.0038
-3.3171,-10.0038
-3.1871,-10.0038
-3.0571,-10.0038
-2.9271,-10.0038
-2.7971,-10.0038
-2.8621,-9.8912
-2.7321,-9.8912
-2.7971,-9.7786
-2.9271,-9.7786
-3.0571,-9.7786
-3.1871,-9.7786
-3.3171,-9.7786
-3.4471,-9.7786
-3.5771,-9.7786
-3.7071,-9.7786
-3.8371,-9.7786
-3.9671,-9.7786
-4.0971,-9.7786
-4.2271,-9.7786
-4.3571,-9.7786
-4.4871,-9.7786
-4.6171,-9.7786
-4.7471,-9.7786
-4.8771,-9.7786
-5.0071,-9.7786
-5.1371,-9.7786
-5.2671,-9.7786
-5.3971,-9.7786
-5.5271,-9.7786
-5.6571,-9.7786
-5.7871,-9.7786
-5.9171,-9.7786
-6.0471,-9.7786
-6.1771,-9.7786
-6.3071,-9.7786
-6.4371,-9.7786
-6.5671,-9.7786
-6.6971,-9.7786
-6.8271,-9.7786
-6.9571,-9.7786
-7.0871,-9.7786
-7.2171,-9.7786
-7.3471,-9.7786
-7.4771,-9.7786
-7.5421,-9.8912
-7.4121,-9.8912
-7.2821,-9.8912
-7.1521,-9.8912
-7.0221,-9.8912
-6.8921,-9.8912
-6.7621,-9.8912
-6.6321,-9.8912
-6.5021,-9.8912
-6.3721,-9.8912
-6.2421,-9.8912
-6.1121,-9.8912
-5.9821,-9.8912
-5.8521,-9.8912
-5.7221,-9.8912
-5.5921,-9.8912
-5.4621,-9.8912
-5.3321,-9.8912
-5.2021,-9.8912
