x,y
-5.0204,-22.185
-5.1504,-22.185
-5.2804,-22.185
-5.4104,-22.185
-5.5404,-22.185
-5.6704,-22.185
-5.8004,-22.185
-5.9304,-22.185
-6.0604,-22.185
-6.1904,-22.185
-6.3204,-22.185
-6.4504,-22.185
-6.5804,-22.185
-6.7104,-22.185
-6.8404,-22.185
-6.9704,-22.185
-7.1004,-22.185
-7.2304,-22.185
-7.3604,-22.185
-7.4904,-22.185
-7.6204,-22.185
-7.7504,-22.185
-7.6854,-22.2976
-7.5554,-22.2976
-7.4254,-22.2976
-7.2954,-22.2976
-7.1654,-22.2976
-7.0354,-22.2976
-6.9054,-22.2976
-6.7754,-22.2976
-6.6454,-22.2976
-6.5154,-22.2976
-6.3854,-22.2976
-6.2554,-22.2976
-6.1254,-22.2976
-5.9954,-22.2976
-5.8654,-22.2976
-5.7354,-22.2976
-5.6054,-22.2976
-5.4754,-22.2976
-5.3454,-22.2976
-5.2154,-22.2976
-5.0854,-22.2976
-4.9554,-22.2976
-4.8254,-22.2976
-4.6954,-22.2976
-4.5654,-22.2976
-4.4354,-22.2976
-4.3054,-22.2976
-4.1754,-22.2976
-4.0454,-22.2976
-4.1104,-22.4102
-4.2404,-22.4102
-4.3704,-22.4102
-4.5004,-22.4102
-4.6304,-22.4102
-4.7604,-22.4102
-4.8904,-22.4102
-5.0204,-22.4102
-5.1504,-22.4102
-5.2804,-22.4102
-5.4104,-22.4102
-5.5404,-22.4102
-5.6704,-22.4102
-5.8004,-22.4102
-5.9304,-22.4102
-6.0604,-22.4102
-6.1904,-22.4102
-6.3204,-22.4102
-6.4504,-22.4102
-6.5804,-22.4102
-6.7104,-22.4102
-6.8404,-22.4102
-6.9704,-22.4102
-7.1004,-22.4102
-7.2304,-22.4102
-7.3604,-22.4102
-7.4904,-22.4102
-7.6204,-22.4102
-7.7504,-22.4102
-7.8804,-22.4102
-7.8154,-22.2976
-7.8154,-22.5228
-7.6854,-22.5228
-7.5554,-22.5228
-7.4254,-22.5228
-7.2954,-22.5228
-7.1654,-22.5228
-7.0354,-22.5228
-6.9054,-22.5228
-6.7754,-22.5228
-6.6454,-22.5228
-6.5154,-22.5228
-6.3854,-22.5228
-6.2554,-22.5228
-6.1254,-22.5228
-5.9954,-22.5228
-5.8654,-22.5228
-5.7354,-22.5228
-5.6054,-22.5228
-5.4754,-22.5228
-5.3454,-22.5228
-5.2154,-22.5228
-5.0854,-22.5228
-4.9554,-22.5228
-4.8254,-22.5228
-4.6954,-22.5228
-4.5654,-22.5228
-4.4354,-22.5228
-4.3054,-22.5228
-4.1754,-22.5228
-4.0454,-22.5228
-4.1104,-22.6354
-4.2404,-22.6354
-4.3704,-22.6354
-4.5004,-22.6354
-4.6304,-22.6354
-4.7604,-22.6354
-4.8904,-22.6354
-5.0204,-22.6354
-5.1504,-22.6354
-5.2804,-22.6354
-5.4104,-22.6354
-5.5404,-22.6354
-5.6704,-22.6354
-5.8004,-22.6354
-5.9304,-22.6354
-6.0604,-22.6354
-6.1904,-22.6354
-6.3204,-22.6354
-6.4504,-22.6354
-6.5804,-22.6354
-6.7104,-22.6354
-6.8404,-22.6354
-6.9704,-22.6354
-7.1004,-22.6354
-7.2304,-22.6354
-7.3604,-22.6354
-7.4904,-22.6354
-7.6204,-22.6354
-7.7504,-22.6354
-7.8804,-22.6354
-7.8154,-22.748
-7.6854,-22.748
-7.5554,-22.748
-7.4254,-22.748
-7.2954,-22.748
-7.1654,-22.748
-7.0354,-22.748
-6.9054,-22.748
-6.7754,-22.748
-6.6454,-22.748
-6.5154,-22.748
-6.3854,-22.748
-6.2554,-22.748
-6.1254,-22.748
-5.9954,-22.748
-5.8654,-22.748
-5.7354,-22.748
-5.6054,-22.748
-5.4754,-22.748
-5.3454,-22.748
-5.2154,-22.748
-5.0854,-22.748
-4.9554,-22.748
-4.8254,-22.748
-4.6954,-22.748
-4.5654,-22.748
-4.4354,-22.748
-4.3054,-22.748
-4.1754,-22.748
-4.0454,-22.748
-4.1104,-22.8606
-4.2404,-22.8606
-4.3704,-22.8606
-4.5004,-22.8606
-4.6304,-22.8606
-4.7604,-22.8606
-4.8904,-22.8606
-5.0204,-22.8606
-5.1504,-22.8606
-5.2804,-22.8606
-5.4104,-22.8606
-5.5404,-22.8606
-5.6704,-22.8606
-5.8004,-22.8606
-5.9304,-22.8606
-6.0604,-22.8606
-6.1904,-22.8606
-6.3204,-22.8606
-6.4504,-22.8606
-6.5804,-22.8606
-6.7104,-22.8606
-6.8404,-22.8606
-6.9704,-22.8606
-7.1004,-22.8606
-7.2304,-22.8606
-7.3604,-22.8606
-7.4904,-22.8606
-7.6204,-22.8606
-7.7504,-22.8606
-7.8804,-22.8606
-7.8154,-22.9732
-7.6854,-22.9732
-7.5554,-22.9732
-7.4254,-22.9732
-7.2954,-22.9732
-7.1654,-22.9732
-7.0354,-22.9732
-6.9054,-22.9732
-6.7754,-22.9732
-6.6454,-22.9732
-6.5154,-22.9732
-6.3854,-22.9732
-6.2554,-22.9732
-6.1254,-22.9732
-5.9954,-22.9732
-5.8654,-22.9732
-5.7354,-22.9732
-5.6054,-22.9732
-5.4754,-22.9732
-5.3454,-22.9732
-5.2154,-22.9732
-5.0854,-22.9732
-4.9554,-22.9732
-4.8254,-22.9732
-4.6954,-22.9732
-4.5654,-22.9732
-4.4354,-22.9732
-4.3054,-22.9732
-4.1754,-22.9732
-4.0454,-22.9732
-4.1104,-23.0858
-4.2404,-23.0858
-4.3704,-23.0858
-4.5004,-23.0858
-4.6304,-23.0858
-4.7604,-23.0858
-4.8904,-23.0858
-5.0204,-23.0858
-5.1504,-23.0858
-5.2804,-23.0858
-5.4104,-23.0858
-5.5404,-23.0858
-5.6704,-23.0858
-5.8004,-23.0858
-5.9304,-23.0858
-6.0604,-23.0858
-6.1904,-23.0858
-6.3204,-23.0858
-6.4504,-23.0858
-6.5804,-23.0858
-6.7104,-23.0858
-6.8404,-23.0858
-6.9704,-23.0858
-7.1004,-23.0858
-7.2304,-23.0858
-7.3604,-23.0858
-7.4904,-23.0858
-7.6204,-23.0858
-7.7504,-23.0858
-7.8804,-23.0858
-7.8154,-23.1984
-7.6854,-23.1984
-7.5554,-23.1984
-7.4254,-23.1984
-7.2954,-23.1984
-7.1654,-23.1984
-7.0354,-23.1984
-6.9054,-23.1984
-6.7754,-23.1984
-6.6454,-23.1984
-6.5154,-23.1984
-6.3854,-23.1984
-6.2554,-23.1984
-6.1254,-23.1984
-5.9954,-23.1984
-5.8654,-23.1984
-5.7354,-23.1984
-5.6054,-23.1984
-5.4754,-23.1984
-5.3454,-23.1984
-5.2154,-23.1984
-5.0854,-23.1984
-4.9554,-23.1984
-4.8254,-23.1984
-4.6954,-23.1984
-4.5654,-23.1984
-4.4354,-23.1984
-4.3054,-23.1984
-4.1754,-23.1984
-4.0454,-23.1984
-3.9538,-23.0858
-3.8238,-23.0858
-3.6938,-23.0858
-3.5638,-23.0858
-3.4338,-23.0858
-3.3038,-23.0858
-3.1738,-23.0858
-3.0438,-23.0858
-2.9138,-23.0858
-2.7838,-23.0858
-2.6538,-23.0858
-2.5238,-23.0858
-2.3938,-23.0858
-2.2638,-23.0858
-2.1988,-23.1984
-2.3288,-23.1984
-2.4588,-23.1984
-2.5888,-23.1984
-2.7188,-23.1984
-2.8488,-23.1984
-2.9788,-23.1984
-3.1088,-23.1984
-3.2388,-23.1984
-3.3688,-23.1984
-3.4988,-23.1984
-3.6288,-23.1984
-3.7588,-23.1984
-3.8888,-23.1984
-3.874,-23.3693
-4.004,-23.3693
-4.134,-23.3693
-4.2084,-23.4819
-4.2773,-23.3693
-4.4073,-23.3693
-4.5373,-23.3693
-4.6673,-23.3693
-4.7973,-23.3693
-4.9273,-23.3693
-5.0573,-23.3693
-5.1873,-23.3693
-5.3173,-23.3693
-5.4473,-23.3693
-5.5773,-23.3693
-5.7073,-23.3693
-5.8373,-23.3693
-5.9673,-23.3693
-6.0973,-23.3693
-6.2273,-23.3693
-6.3573,-23.3693
-6.4873,-23.3693
-6.6173,-23.3693
-6.7473,-23.3693
-6.8773,-23.3693
-6.9517,-23.4819
-7.1142,-23.404
-7.2442,-23.404
-7.1792,-23.5166
-7.1142,-23.6292
-7.2442,-23.6292
-7.1792,-23.7418
-7.1142,-23.8544
-7.2442,-23.8544
-7.1792,-23.967
-7.1142,-24.0796
-7.2442,-24.0796
-7.3093,-23.967
-7.4392,-23.967
-7.3743,-24.0796
-7.5042,-24.0796
-7.6342,-24.0796
-7.5692,-23.967
-7.6992,-23.967
-7.6342,-23.8544
-7.5042,-23.8544
-7.3743,-23.8544
-7.4392,-23.7418
-7.3093,-23.7418
-7.3743,-23.6292
-7.5042,-23.6292
-7.6342,-23.6292
-7.5692,-23.7418
-7.6992,-23.7418
-7.7643,-23.8544
-7.8942,-23.8544
-7.8293,-23.7418
-7.9592,-23.7418
-7.8942,-23.6292
-7.7643,-23.6292
-7.8293,-23.5166
-7.8942,-23.404
-7.7643,-23.404
-7.6992,-23.5166
-7.5692,-23.5166
-7.4392,-23.5166
-7.3093,-23.5166
-7.3743,-23.404
-7.5042,-23.404
-7.6342,-23.404
-7.8293,-23.967
-7.9592,-23.967
-7.8942,-24.0796
-7.7643,-24.0796
-6.9517,-23.9323
-6.8773,-24.0449
-6.7473,-24.0449
-6.6173,-24.0449
-6.4873,-24.0449
-6.3573,-24.0449
-6.2273,-24.0449
-6.0973,-24.0449
-5.9673,-24.0449
-5.8373,-24.0449
-5.7073,-24.0449
-5.5773,-24.0449
-5.4473,-24.0449
-5.3173,-24.0449
-5.1873,-24.0449
-5.0573,-24.0449
-4.9273,-24.0449
-4.7973,-24.0449
-4.6673,-24.0449
-4.5373,-24.0449
-4.4073,-24.0449
-4.2773,-24.0449
-4.2084,-23.9323
-4.134,-24.0449
-4.004,-24.0449
-3.874,-24.0449
-3.744,-24.0449
-3.614,-24.0449
-3.484,-24.0449
-3.354,-24.0449
-3.224,-24.0449
-3.094,-24.0449
-2.964,-24.0449
-2.834,-24.0449
-2.704,-24.0449
-2.574,-24.0449
-2.444,-24.0449
-2.314,-24.0449
-2.184,-24.0449
-2.249,-23.7071
-2.379,-23.7071
-2.509,-23.7071
-2.639,-23.7071
-2.769,-23.7071
-2.899,-23.7071
-3.029,-23.7071
-3.159,-23.7071
-3.289,-23.7071
-3.419,-23.7071
-3.549,-23.7071
-3.679,-23.7071
-3.809,-23.7071
-3.939,-23.7071
-4.069,-23.7071
-4.2084,-23.7071
-4.3423,-23.7071
-4.4723,-23.7071
-4.6023,-23.7071
-4.7323,-23.7071
-4.8623,-23.7071
-4.9923,-23.7071
-5.1223,-23.7071
-5.2523,-23.7071
-5.3823,-23.7071
-5.5123,-23.7071
-5.6423,-23.7071
-5.7723,-23.7071
-5.9023,-23.7071
-6.0323,-23.7071
-6.1623,-23.7071
-6.2923,-23.7071
-6.4223,-23.7071
-6.5523,-23.7071
-6.6823,-23.7071
-6.8123,-23.7071
-6.9517,-23.7071
-5.7073,-23.5945
-5.5773,-23.5945
-5.4473,-23.5945
-5.6423,-23.4819
-5.5773,-23.8197
-5.6423,-23.9323
-5.5123,-23.9323
-4.8904,-22.185
-4.7604,-22.185
-4.6304,-22.185
-4.5004,-22.185
-4.3704,-22.185
-4.2404,-22.185
-4.1104,-22.185
-3.9538,-22.185
-3.8238,-22.185
-3.6938,-22.185
-3.5638,-22.185
-3.4338,-22.185
-3.3038,-22.185
-3.1738,-22.185
-3.0438,-22.185
-2.9138,-22.185
-2.7838,-22.185
-2.6538,-22.185
-2.5238,-22.185
-2.3938,-22.185
-2.2638,-22.185
-2.1988,-22.2976
-2.3288,-22.2976
-2.4588,-22.2976
-2.5888,-22.2976
-2.7188,-22.2976
-2.8488,-22.2976
-2.9788,-22.2976
-3.1088,-22.2976
-3.2388,-22.2976
-3.3688,-22.2976
-3.4988,-22.2976
-3.6288,-22.2976
-3.7588,-22.2976
-3.8888,-22.2976
-3.8238,-22.4102
-3.6938,-22.4102
-3.5638,-22.4102
-3.4338,-22.4102
-3.3038,-22.4102
-3.1738,-22.4102
-3.0438,-22.4102
-2.9138,-22.4102
-2.7838,-22.4102
-2.6538,-22.4102
-2.5238,-22.4102
-2.3938,-22.4102
-2.2638,-22.4102
-2.1988,-22.5228
-2.3288,-22.5228
-2.4588,-22.5228
-2.5888,-22.5228
