x,y
-4.8254,10.0433
-4.9554,10.0433
-5.0854,10.0433
-5.2154,10.0433
-5.3454,10.0433
-5.4754,10.0433
-5.6054,10.0433
-5.7354,10.0433
-5.8654,10.0433
-5.9954,10.0433
-6.1254,10.0433
-6.2554,10.0433
-6.3854,10.0433
-6.5154,10.0433
-6.6454,10.0433
-6.7754,10.0433
-6.9054,10.0433
-7.0354,10.0433
-7.1654,10.0433
-7.2954,10.0433
-7.4254,10.0433
-7.5554,10.0433
-7.6854,10.0433
-7.6204,10.1559
-7.7504,10.1559
-7.6958,10.3097
-7.5658,10.3097
-7.4358,10.3097
-7.3058,10.3097
-7.1758,10.3097
-7.0458,10.3097
-6.9158,10.3097
-6.7858,10.3097
-6.6558,10.3097
-6.5258,10.3097
-6.3958,10.3097
-6.2658,10.3097
-6.1358,10.3097
-6.0058,10.3097
-5.8758,10.3097
-5.7458,10.3097
-5.6158,10.3097
-5.4858,10.3097
-5.3558,10.3097
-5.2258,10.3097
-5.157,10.4223
-5.0204,10.4615
-4.8904,10.4615
-4.7604,10.4615
-4.6304,10.4615
-4.5004,10.4615
-4.3704,10.4615
-4.2404,10.4615
-4.1104,10.4615
-4.1754,10.3489
-4.3054,10.3489
-4.4354,10.3489
-4.5654,10.3489
-4.6954,10.3489
-4.8254,10.3489
-4.9554,10.3489
-5.0204,10.1559
-5.1504,10.1559
-5.2804,10.1559
-5.4104,10.1559
-5.5404,10.1559
-5.6704,10.1559
-5.8004,10.1559
-5.9304,10.1559
-6.0604,10.1559
-6.1904,10.1559
-6.3204,10.1559
-6.4504,10.1559
-6.5804,10.1559
-6.7104,10.1559
-6.8404,10.1559
-6.9704,10.1559
-7.1004,10.1559
-7.2304,10.1559
-7.3604,10.1559
-7.4904,10.1559
-7.4904,9.9307
-7.6204,9.9307
-7.7504,9.9307
-7.6854,9.8181
-7.5554,9.8181
-7.4254,9.8181
-7.2954,9.8181
-7.1654,9.8181
-7.0354,9.8181
-6.9054,9.8181
-6.7754,9.8181
-6.6454,9.8181
-6.5154,9.8181
-6.3854,9.8181
-6.2554,9.8181
-6.1254,9.8181
-5.9954,9.8181
-5.8654,9.8181
-5.7354,9.8181
-5.6054,9.8181
-5.4754,9.8181
-5.3454,9.8181
-5.2154,9.8181
-5.0854,9.8181
-4.9554,9.8181
-4.8254,9.8181
-4.6954,9.8181
-4.5654,9.8181
-4.4354,9.8181
-4.3054,9.8181
-4.1754,9.8181
-4.0454,9.8181
-4.1104,9.7055
-4.2404,9.7055
-4.3704,9.7055
-4.5004,9.7055
-4.6304,9.7055
-4.7604,9.7055
-4.8904,9.7055
-5.0204,9.7055
-5.1504,9.7055
-5.2804,9.7055
-5.4104,9.7055
-5.5404,9.7055
-5.6704,9.7055
-5.8004,9.7055
-5.9304,9.7055
-6.0604,9.7055
-6.1904,9.7055
-6.3204,9.7055
-6.4504,9.7055
-6.5804,9.7055
-6.7104,9.7055
-6.8404,9.7055
-6.9704,9.7055
-7.1004,9.7055
-7.2304,9.7055
-7.3604,9.7055
-7.4904,9.7055
-7.6204,9.7055
-7.7504,9.7055
-7.6854,9.5929
-7.5554,9.5929
-7.4254,9.5929
-7.2954,9.5929
-7.1654,9.5929
-7.0354,9.5929
-6.9054,9.5929
-6.7754,9.5929
-6.6454,9.5929
-6.5154,9.5929
-6.3854,9.5929
-6.2554,9.5929
-6.1254,9.5929
-5.9954,9.5929
-5.8654,9.5929
-5.7354,9.5929
-5.6054,9.5929
-5.4754,9.5929
-5.3454,9.5929
-5.2154,9.5929
-5.0854,9.5929
-4.9554,9.5929
-4.8254,9.5929
-4.6954,9.5929
-4.5654,9.5929
-4.4354,9.5929
-4.3054,9.5929
-4.1754,9.5929
-4.0454,9.5929
-4.1104,9.4803
-4.2404,9.4803
-4.3704,9.4803
-4.5004,9.4803
-4.6304,9.4803
-4.7604,9.4803
-4.8904,9.4803
-5.0204,9.4803
-5.1504,9.4803
-5.2804,9.4803
-5.4104,9.4803
-5.5404,9.4803
-5.6704,9.4803
-5.8004,9.4803
-5.9304,9.4803
-6.0604,9.4803
-6.1904,9.4803
-6.3204,9.4803
-6.4504,9.4803
-6.5804,9.4803
-6.7104,9.4803
-6.8404,9.4803
-6.9704,9.4803
-7.1004,9.4803
-7.2304,9.4803
-7.3604,9.4803
-7.4904,9.4803
-7.6204,9.4803
-7.7504,9.4803
-7.8154,9.3677
-7.6854,9.3677
-7.5554,9.3677
-7.4254,9.3677
-7.2954,9.3677
-7.1654,9.3677
-7.0354,9.3677
-6.9054,9.3677
-6.7754,9.3677
-6.6454,9.3677
-6.5154,9.3677
-6.3854,9.3677
-6.2554,9.3677
-6.1254,9.3677
-5.9954,9.3677
-5.8654,9.3677
-5.7354,9.3677
-5.6054,9.3677
-5.4754,9.3677
-5.3454,9.3677
-5.2154,9.3677
-5.0854,9.3677
-4.9554,9.3677
-4.8254,9.3677
-4.6954,9.3677
-4.5654,9.3677
-4.4354,9.3677
-4.3054,9.3677
-4.1754,9.3677
-4.0454,9.3677
-4.1104,9.2551
-4.2404,9.2551
-4.3704,9.2551
-4.5004,9.2551
-4.6304,9.2551
-4.7604,9.2551
-4.8904,9.2551
-5.0204,9.2551
-5.1504,9.2551
-5.2804,9.2551
-5.4104,9.2551
-5.5404,9.2551
-5.6704,9.2551
-5.8004,9.2551
-5.9304,9.2551
-6.0604,9.2551
-6.1904,9.2551
-6.3204,9.2551
-6.4504,9.2551
-6.5804,9.2551
-6.7104,9.2551
-6.8404,9.2551
-6.9704,9.2551
-7.1004,9.2551
-7.2304,9.2551
-7.3604,9.2551
-7.4904,9.2551
-7.6204,9.2551
-7.7504,9.2551
-7.6854,9.1425
-7.5554,9.1425
-7.4254,9.1425
-7.2954,9.1425
-7.1654,9.1425
-7.0354,9.1425
-6.9054,9.1425
-6.7754,9.1425
-6.6454,9.1425
-6.5154,9.1425
-6.3854,9.1425
-6.2554,9.1425
-6.1254,9.1425
-5.9954,9.1425
-5.8654,9.1425
-5.7354,9.1425
-5.6054,9.1425
-5.4754,9.1425
-5.3454,9.1425
-5.2154,9.1425
-5.0854,9.1425
-4.9554,9.1425
-4.8254,9.1425
-4.6954,9.1425
-4.5654,9.1425
-4.4354,9.1425
-4.3054,9.1425
-4.1754,9.1425
-4.0454,9.1425
-3.9538,9.2551
-3.8238,9.2551
-3.6938,9.2551
-3.5638,9.2551
-3.4338,9.2551
-3.3038,9.2551
-3.1738,9.2551
-3.0438,9.2551
-2.9138,9.2551
-2.7838,9.2551
-2.6538,9.2551
-2.5238,9.2551
-2.3938,9.2551
-2.2638,9.2551
-2.1338,9.2551
-2.0038,9.2551
-1.8738,9.2551
-1.8088,9.3677
-1.9388,9.3677
-2.0688,9.3677
-2.1988,9.3677
-2.3288,9.3677
-2.4588,9.3677
-2.5888,9.3677
-2.7188,9.3677
-2.8488,9.3677
-2.9788,9.3677
-3.1088,9.3677
-3.2388,9.3677
-3.3688,9.3677
-3.4988,9.3677
-3.6288,9.3677
-3.7588,9.3677
-3.8888,9.3677
-3.8238,9.4803
-3.6938,9.4803
-3.5638,9.4803
-3.4338,9.4803
-3.3038,9.4803
-3.1738,9.4803
-3.0438,9.4803
-2.9138,9.4803
-2.7838,9.4803
-2.6538,9.4803
-2.5238,9.4803
-2.3938,9.4803
-2.2638,9.4803
-2.1338,9.4803
-2.0038,9.4803
-1.8738,9.4803
-1.9388,9.5929
-2.0688,9.5929
-2.1988,9.5929
-2.3288,9.5929
-2.4588,9.5929
-2.5888,9.5929
-2.7188,9.5929
-2.8488,9.5929
-2.9788,9.5929
-3.1088,9.5929
-3.2388,9.5929
-3.3688,9.5929
-3.4988,9.5929
-3.6288,9.5929
-3.7588,9.5929
-3.8888,9.5929
-3.8238,9.7055
-3.6938,9.7055
-3.5638,9.7055
-3.4338,9.7055
-3.3038,9.7055
-3.1738,9.7055
-3.0438,9.7055
-2.9138,9.7055
-2.7838,9.7055
-2.6538,9.7055
-2.5238,9.7055
-2.3938,9.7055
-2.2638,9.7055
-2.1338,9.7055
-2.0038,9.7055
-1.8738,9.7055
-1.9388,9.8181
-2.0688,9.8181
-2.1988,9.8181
-2.3288,9.8181
-2.4588,9.8181
-2.5888,9.8181
-2.7188,9.8181
-2.8488,9.8181
-2.9788,9.8181
-3.1088,9.8181
-3.2388,9.8181
-3.3688,9.8181
-3.4988,9.8181
-3.6288,9.8181
-3.7588,9.8181
-3.8888,9.8181
-3.9538,9.7055
-3.9538,9.9307
-3.8238,9.9307
-3.6938,9.9307
-3.5638,9.9307
-3.4338,9.9307
-3.3038,9.9307
-3.1738,9.9307
-3.0438,9.9307
-2.9138,9.9307
-2.7838,9.9307
-2.6538,9.9307
-2.5238,9.9307
-2.3938,9.9307
-2.2638,9.9307
-2.1338,9.9307
-2.0038,9.9307
-1.8738,9.9307
-1.9388,10.0433
-2.0688,10.0433
-2.1988,10.0433
-2.3288,10.0433
