x,y
-11.1681,-15.959
-11.0381,-15.959
-10.9081,-15.959
-10.7781,-15.959
-10.648,-15.959
-10.518,-15.959
-10.518,-15.809
-10.648,-15.809
-10.648,-15.679
-10.518,-15.679
-10.518,-15.549
-10.518,-15.419
-10.648,-15.419
-10.648,-15.549
-10.7781,-15.549
-10.9081,-15.549
-10.9081,-15.419
-10.7781,-15.419
-10.7781,-15.289
-10.9081,-15.289
-10.9081,-15.159
-10.7781,-15.159
-10.7781,-15.029
-10.9081,-15.029
-11.0381,-15.009
-11.1681,-15.009
-11.1681,-14.879
-11.0381,-14.879
-10.9081,-14.879
-10.7781,-14.879
-10.648,-14.879
-10.518,-14.879
-10.518,-15.029
-10.648,-15.029
-10.648,-15.159
-10.518,-15.159
-10.518,-15.289
-10.648,-15.289
-10.364,-15.263
-10.364,-15.133
-10.364,-15.003
-10.364,-14.873
-10.364,-14.743
-10.364,-14.613
-10.4766,-14.678
-10.5892,-14.613
-10.7018,-14.678
-10.8144,-14.613
-10.927,-14.678
-11.0396,-14.613
-11.1522,-14.678
-11.2648,-14.613
-11.3774,-14.678
-11.49,-14.613
-11.6026,-14.678
-11.7152,-14.613
-11.8278,-14.678
-11.9404,-14.613
-12.053,-14.678
-12.1656,-14.613
-12.2782,-14.678
-12.3908,-14.613
-12.5034,-14.678
-12.616,-14.613
-12.7286,-14.678
-12.8412,-14.613
-12.9538,-14.678
-13.0664,-14.613
-12.9449,-14.3724
-12.8323,-14.4374
-12.7197,-14.3724
-12.6071,-14.4374
-12.4945,-14.3724
-12.3819,-14.4374
-12.2693,-14.3724
-12.1567,-14.4374
-12.0441,-14.3724
-11.9315,-14.4374
-11.8189,-14.3724
-11.7063,-14.4374
-11.5937,-14.3724
-11.4811,-14.4374
-11.3685,-14.3724
-11.2559,-14.4374
-11.1433,-14.3724
-11.0307,-14.4374
-10.9181,-14.3724
-10.8055,-14.4374
-10.6929,-14.3724
-10.5803,-14.4374
-10.4677,-14.3724
-10.4664,-14.2002
-10.5314,-14.0876
-10.6614,-14.0876
-10.5965,-14.2002
-10.7264,-14.2002
-10.8564,-14.2002
-10.9864,-14.2002
-11.1164,-14.2002
-11.1814,-14.0876
-11.0514,-14.0876
-10.9214,-14.0876
-10.7914,-14.0876
-10.7264,-13.975
-10.5965,-13.975
-10.6614,-13.8624
-10.5965,-13.7498
-10.7264,-13.7498
-10.8564,-13.7498
-10.9864,-13.7498
-11.1164,-13.7498
-11.0515,-13.6372
-11.1814,-13.6372
-11.3114,-13.6372
-11.2465,-13.7498
-11.3764,-13.7498
-11.3114,-13.8624
-11.2465,-13.975
-11.3764,-13.975
-11.3114,-14.0876
-11.2465,-14.2002
-11.3764,-14.2002
-11.4415,-14.0876
-11.5714,-14.0876
-11.5065,-13.975
-11.6364,-13.975
-11.5714,-13.8624
-11.4415,-13.8624
-11.5065,-13.7498
-11.6364,-13.7498
-11.5714,-13.6372
-11.5065,-13.5246
-11.6364,-13.5246
-11.5714,-13.412
-11.4415,-13.412
-11.5065,-13.2994
-11.6364,-13.2994
-11.7015,-13.412
-11.8314,-13.412
-11.7665,-13.5246
-11.8314,-13.6372
-11.7015,-13.6372
-11.7665,-13.7498
-11.8314,-13.8624
-11.7015,-13.8624
-11.7665,-13.975
-11.8314,-14.0876
-11.7015,-14.0876
-11.7665,-14.2002
-11.8965,-14.2002
-12.0264,-14.2002
-12.0914,-14.0876
-12.2214,-14.0876
-12.1565,-14.2002
-12.2864,-14.2002
-12.4164,-14.2002
-12.5464,-14.2002
-12.4814,-14.0876
-12.6114,-14.0876
-12.7414,-14.0876
-12.6765,-14.2002
-12.8064,-14.2002
-12.9364,-14.2002
-12.8714,-14.0876
-12.8064,-13.975
-12.6765,-13.975
-12.7414,-13.8624
-12.6765,-13.7498
-12.8064,-13.7498
-12.7415,-13.6372
-12.8714,-13.6372
-12.8064,-13.5246
-12.6765,-13.5246
-12.7414,-13.412
-12.6765,-13.2994
-12.8064,-13.2994
-12.7415,-13.1868
-12.8714,-13.1868
-12.9364,-13.2994
-12.8714,-13.412
-12.9364,-13.5246
-12.9364,-13.7498
-12.8714,-13.8624
-12.9364,-13.975
-12.6114,-13.8624
-12.4814,-13.8624
-12.3514,-13.8624
-12.2214,-13.8624
-12.1565,-13.7498
-12.2864,-13.7498
-12.2215,-13.6372
-12.2864,-13.5246
-12.1565,-13.5246
-12.2214,-13.412
-12.1565,-13.2994
-12.2864,-13.2994
-12.2215,-13.1868
-12.3515,-13.1868
-12.4814,-13.1868
-12.6114,-13.1868
-12.5464,-13.2994
-12.4164,-13.2994
-12.3514,-13.412
-12.4814,-13.412
-12.6114,-13.412
-12.5464,-13.5246
-12.4164,-13.5246
-12.3515,-13.6372
-12.4814,-13.6372
-12.6114,-13.6372
-12.5464,-13.7498
-12.4164,-13.7498
-12.4164,-13.975
-12.2864,-13.975
-12.1565,-13.975
-12.0914,-13.8624
-11.9614,-13.8624
-11.8965,-13.7498
-12.0264,-13.7498
-12.0914,-13.6372
-11.9614,-13.6372
-11.8965,-13.5246
-12.0264,-13.5246
-12.0914,-13.412
-11.9614,-13.412
-11.8965,-13.2994
-12.0264,-13.2994
-11.7665,-13.2994
-11.3764,-13.2994
-11.2465,-13.2994
-11.3114,-13.412
-11.2465,-13.5246
-11.3764,-13.5246
-11.4414,-13.6372
-11.1164,-13.5246
-10.9864,-13.5246
-10.8564,-13.5246
-10.7264,-13.5246
-10.5965,-13.5246
-10.6614,-13.412
-10.7914,-13.412
-10.9214,-13.412
-11.0514,-13.412
-11.1814,-13.412
-10.9214,-13.6372
-10.7914,-13.6372
-10.6614,-13.6372
-10.5315,-13.6372
-10.4664,-13.5246
-10.5314,-13.412
-10.2077,-13.5246
-10.1427,-13.6372
-10.0777,-13.7498
-10.2077,-13.7498
-10.1427,-13.8624
-10.0127,-13.8624
-10.0777,-13.975
-9.9477,-13.975
-9.8827,-14.0876
-10.0127,-14.0876
-10.1427,-14.0876
-10.0777,-14.2002
-10.2077,-14.2002
-10.2162,-14.3724
-10.1036,-14.4374
-9.991,-14.3724
-9.8784,-14.4374
-9.7658,-14.3724
-9.6532,-14.4374
-9.6884,-14.613
-9.6884,-14.743
-9.6884,-14.873
-9.6884,-15.003
-9.6884,-15.133
-9.6884,-15.263
-9.6884,-15.393
-9.6884,-15.523
-9.6884,-15.653
-9.6884,-15.783
-9.6884,-15.913
-9.801,-15.848
-9.801,-15.978
-9.9136,-15.913
-9.9136,-15.783
-9.9136,-15.653
-9.9136,-15.523
-9.9136,-15.393
-9.9136,-15.263
-9.9136,-15.133
-9.9136,-15.003
-9.9136,-14.873
-9.9136,-14.743
-9.9136,-14.613
-10.0262,-14.678
-10.0262,-14.808
-10.0262,-14.938
-10.0262,-15.068
-10.0262,-15.198
-10.0262,-15.328
-10.0262,-15.458
-10.0262,-15.588
-10.0262,-15.718
-10.0262,-15.848
-10.0262,-15.978
-10.1388,-15.913
-10.1388,-15.783
-10.1388,-15.653
-10.1388,-15.523
-10.1388,-15.393
-10.1388,-15.263
-10.1388,-15.133
-10.1388,-15.003
-10.1388,-14.873
-10.1388,-14.743
-10.1388,-14.613
-10.2514,-14.678
-10.2514,-14.808
-10.2514,-14.938
-10.2514,-15.068
-10.2514,-15.198
-10.2514,-15.328
-10.2514,-15.458
-10.2514,-15.588
-10.2514,-15.718
-10.2514,-15.848
-10.2514,-15.978
-10.364,-15.913
-10.364,-15.783
-10.364,-15.653
-10.364,-15.523
-10.364,-15.393
-10.7781,-15.679
-10.9081,-15.679
-10.9081,-15.809
-10.7781,-15.809
-11.0381,-15.698
-11.1681,-15.698
-11.2983,-15.679
-11.4282,-15.679
-11.4282,-15.809
-11.2983,-15.809
-11.2983,-15.959
-11.4282,-15.959
-11.5583,-15.959
-11.6883,-15.959
-11.8313,-15.959
-11.9613,-15.959
-12.0913,-15.959
-12.2213,-15.959
-12.3514,-15.959
-12.4814,-15.959
-12.6115,-15.959
-12.7415,-15.959
-12.8716,-15.959
-13.0016,-15.959
-13.0016,-15.809
-13.0016,-15.679
-12.8716,-15.679
-12.8716,-15.809
-12.7415,-15.809
-12.7415,-15.679
-12.7415,-15.549
-12.7415,-15.419
-12.6115,-15.419
-12.6115,-15.549
-12.6115,-15.679
-12.6115,-15.809
-12.4814,-15.698
-12.3514,-15.698
-12.2213,-15.679
-12.2213,-15.809
-12.0913,-15.809
-12.0913,-15.679
-11.9613,-15.679
-11.9613,-15.809
-11.8313,-15.809
-11.8313,-15.679
-11.8313,-15.549
-11.9613,-15.549
-11.9613,-15.419
-11.8313,-15.419
-11.8313,-15.289
-11.8313,-15.159
-11.9613,-15.159
-11.9613,-15.289
-12.0913,-15.289
-12.2213,-15.289
-12.2213,-15.159
-12.0913,-15.159
-12.0913,-15.029
-12.2213,-15.029
-12.3514,-15.009
-12.3514,-14.879
-12.4814,-14.879
-12.4814,-15.009
-12.6115,-15.029
-12.6115,-15.159
-12.6115,-15.289
-12.7415,-15.289
-12.7415,-15.159
-12.7415,-15.029
-12.8716,-15.029
-13.0016,-15.029
-13.0016,-15.159
-13.0016,-15.289
-12.8716,-15.289
-12.8716,-15.159
-12.8716,-15.419
-13.0016,-15.419
-13.0016,-15.549
-12.8716,-15.549
-12.4814,-15.419
-12.4814,-15.289
-12.4814,-15.159
-12.3514,-15.159
-12.3514,-15.289
-12.3514,-15.419
-12.2213,-15.419
-12.0913,-15.419
-12.0913,-15.549
-12.2213,-15.549
-11.6883,-15.549
-11.6883,-15.419
-11.5583,-15.419
-11.5583,-15.549
-11.5583,-15.679
-11.5583,-15.809
-11.6883,-15.809
-11.6883,-15.679
-11.4282,-15.549
-11.2983,-15.549
-11.2983,-15.419
-11.4282,-15.419
-11.4282,-15.289
-11.2983,-15.289
-11.2983,-15.159
-11.4282,-15.159
-11.4282,-15.029
-11.2983,-15.029
-11.2983,-14.879
-11.4282,-14.879
-11.5583,-14.879
-11.6883,-14.879
-11.8313,-14.879
-11.9613,-14.879
-12.0913,-14.879
-12.2213,-14.879
-11.9613,-15.029
