x,y
0.2167,21.4907
0.3467,21.4907
0.4767,21.4907
0.6067,21.4907
0.7367,21.4907
0.8667,21.4907
0.9967,21.4907
1.1267,21.4907
1.2567,21.4907
1.3867,21.4907
1.5262,21.4907
1.66,21.4907
1.79,21.4907
1.92,21.4907
2.05,21.4907
2.18,21.4907
2.31,21.4907
2.44,21.4907
2.375,21.8285
2.245,21.8285
2.115,21.8285
1.985,21.8285
1.855,21.8285
1.725,21.8285
1.595,21.8285
1.5262,21.7159
1.4517,21.8285
1.3217,21.8285
1.1917,21.8285
1.0617,21.8285
0.9317,21.8285
0.8017,21.8285
0.6717,21.8285
0.5417,21.8285
0.4117,21.8285
0.2817,21.8285
0.1517,21.8285
0.0217,21.8285
-0.1083,21.8285
-0.2383,21.8285
-0.3683,21.8285
-0.4983,21.8285
-0.6283,21.8285
-0.7583,21.8285
-0.8883,21.8285
-1.0183,21.8285
-1.1483,21.8285
-1.2171,21.7159
-1.2916,21.8285
-1.4216,21.8285
-1.5516,21.8285
-1.6816,21.8285
-1.8116,21.8285
-1.9416,21.8285
-2.0716,21.8285
-2.2016,21.8285
-2.3316,21.8285
-2.4616,21.8285
-2.4721,21.9994
-2.3421,21.9994
-2.2121,21.9994
-2.0821,21.9994
-1.9521,21.9994
-1.8221,21.9994
-1.6921,21.9994
-1.5621,21.9994
-1.4321,21.9994
-1.3021,21.9994
-1.3671,22.112
-1.4971,22.112
-1.6271,22.112
-1.7571,22.112
-1.8871,22.112
-2.0171,22.112
-2.1471,22.112
-2.2771,22.112
-2.4071,22.112
-2.3421,22.2246
-2.2121,22.2246
-2.0821,22.2246
-1.9521,22.2246
-1.8221,22.2246
-1.6921,22.2246
-1.5621,22.2246
-1.4321,22.2246
-1.3021,22.2246
-1.3671,22.3372
-1.4971,22.3372
-1.6271,22.3372
-1.7571,22.3372
-1.8871,22.3372
-2.0171,22.3372
-2.1471,22.3372
-2.2771,22.3372
-2.4071,22.3372
-2.3421,22.4498
-2.2121,22.4498
-2.0821,22.4498
-1.9521,22.4498
-1.8221,22.4498
-1.6921,22.4498
-1.5621,22.4498
-1.4321,22.4498
-1.3021,22.4498
-1.3671,22.5624
-1.4971,22.5624
-1.6271,22.5624
-1.7571,22.5624
-1.8871,22.5624
-2.0171,22.5624
-2.1471,22.5624
-2.2771,22.5624
-2.4071,22.5624
-2.3421,22.675
-2.2121,22.675
-2.0821,22.675
-1.9521,22.675
-1.8221,22.675
-1.6921,22.675
-1.5621,22.675
-1.4321,22.675
-1.3021,22.675
-1.3671,22.7876
-1.4971,22.7876
-1.6271,22.7876
-1.7571,22.7876
-1.8871,22.7876
-2.0171,22.7876
-2.1471,22.7876
-2.2771,22.7876
-2.4071,22.7876
-2.3421,22.9002
-2.2121,22.9002
-2.0821,22.9002
-1.9521,22.9002
-1.8221,22.9002
-1.6921,22.9002
-1.5621,22.9002
-1.4321,22.9002
-1.3021,22.9002
-1.3671,23.0128
-1.4971,23.0128
-1.6271,23.0128
-1.7571,23.0128
-1.8871,23.0128
-2.0171,23.0128
-2.1471,23.0128
-2.2771,23.0128
-2.3196,23.1666
-2.1896,23.1666
-2.0596,23.1666
-1.9296,23.1666
-1.7996,23.1666
-1.6696,23.1666
-1.5396,23.1666
-1.4651,23.2792
-1.3963,23.1666
-1.2663,23.1666
-1.1363,23.1666
-1.0063,23.1666
-0.8763,23.1666
-0.7463,23.1666
-0.6163,23.1666
-0.4863,23.1666
-0.3563,23.1666
-0.2263,23.1666
-0.0963,23.1666
0.0337,23.1666
0.1637,23.1666
0.2937,23.1666
0.4237,23.1666
0.5537,23.1666
0.6837,23.1666
0.8137,23.1666
0.9437,23.1666
1.0737,23.1666
1.2037,23.1666
1.2781,23.2792
1.3958,23.1669
1.3895,23.0128
1.2595,23.0128
1.1295,23.0128
0.9995,23.0128
0.8695,23.0128
0.7395,23.0128
0.6095,23.0128
0.4795,23.0128
0.3495,23.0128
0.2195,23.0128
0.0895,23.0128
-0.0405,23.0128
-0.1705,23.0128
-0.3005,23.0128
-0.4305,23.0128
-0.5605,23.0128
-0.6905,23.0128
-0.8205,23.0128
-0.9505,23.0128
-1.0805,23.0128
-1.2105,23.0128
-1.1455,22.9002
-1.0155,22.9002
-0.8855,22.9002
-0.7555,22.9002
-0.6255,22.9002
-0.4955,22.9002
-0.3655,22.9002
-0.2355,22.9002
-0.1055,22.9002
0.0245,22.9002
0.1545,22.9002
0.2845,22.9002
0.4145,22.9002
0.5445,22.9002
0.6745,22.9002
0.8045,22.9002
0.9345,22.9002
1.0645,22.9002
1.1945,22.9002
1.3245,22.9002
1.4545,22.9002
1.5845,22.9002
1.7145,22.9002
1.8445,22.9002
1.9745,22.9002
2.1045,22.9002
2.2345,22.9002
2.3645,22.9002
2.4295,23.0128
2.2995,23.0128
2.1695,23.0128
2.0395,23.0128
1.9095,23.0128
1.7795,23.0128
1.6495,23.0128
1.5195,23.0128
1.595,23.1666
1.725,23.1666
1.855,23.1666
1.985,23.1666
2.115,23.1666
2.245,23.1666
2.375,23.1666
2.31,23.5044
2.18,23.5044
2.05,23.5044
1.92,23.5044
1.79,23.5044
1.66,23.5044
1.5262,23.5044
1.3958,23.3921
1.2781,23.5044
1.1387,23.5044
1.0087,23.5044
0.8787,23.5044
0.7487,23.5044
0.6187,23.5044
0.4887,23.5044
0.3587,23.5044
0.2287,23.5044
0.0987,23.5044
-0.0313,23.5044
-0.1613,23.5044
-0.2913,23.5044
-0.4213,23.5044
-0.5513,23.5044
-0.6813,23.5044
-0.8113,23.5044
-0.9413,23.5044
-1.0713,23.5044
-1.2013,23.5044
-1.3313,23.5044
-1.4651,23.5044
-1.6046,23.5044
-1.7346,23.5044
-1.8646,23.5044
-1.9946,23.5044
-2.1246,23.5044
-2.2546,23.5044
-2.3196,23.8422
-2.1896,23.8422
-2.0596,23.8422
-1.9296,23.8422
-1.7996,23.8422
-1.6696,23.8422
-1.5396,23.8422
-1.4651,23.7296
-1.3963,23.8422
-1.2663,23.8422
-1.1363,23.8422
-1.0063,23.8422
-0.8763,23.8422
-0.7463,23.8422
-0.6163,23.8422
-0.4863,23.8422
-0.3563,23.8422
-0.2263,23.8422
-0.0963,23.8422
0.0337,23.8422
0.1637,23.8422
0.2937,23.8422
0.4237,23.8422
0.5537,23.8422
0.6837,23.8422
0.8137,23.8422
0.9437,23.8422
1.0737,23.8422
1.2037,23.8422
1.2781,23.7296
1.4032,23.8205
1.5262,23.7296
1.595,23.8422
1.725,23.8422
1.855,23.8422
1.985,23.8422
2.115,23.8422
2.245,23.8422
2.375,23.8422
1.3958,23.6173
1.5262,23.2792
1.5195,22.7876
1.6495,22.7876
1.7795,22.7876
1.9095,22.7876
2.0395,22.7876
2.1695,22.7876
2.2995,22.7876
2.4295,22.7876
2.3645,22.675
2.2345,22.675
2.1045,22.675
1.9745,22.675
1.8445,22.675
1.7145,22.675
1.5845,22.675
1.4545,22.675
1.3245,22.675
1.1945,22.675
1.0645,22.675
0.9345,22.675
0.8045,22.675
0.6745,22.675
0.5445,22.675
0.4145,22.675
0.2845,22.675
0.1545,22.675
0.0245,22.675
-0.1055,22.675
-0.2355,22.675
-0.3655,22.675
-0.4955,22.675
-0.6255,22.675
-0.7555,22.675
-0.8855,22.675
-1.0155,22.675
-1.1455,22.675
-1.2105,22.7876
-1.0805,22.7876
-0.9505,22.7876
-0.8205,22.7876
-0.6905,22.7876
-0.5605,22.7876
