x,y
10.491,-22.1979
10.491,-22.3279
10.491,-22.4579
10.491,-22.5879
10.491,-22.7179
10.491,-22.8479
10.491,-22.9779
10.491,-23.1079
10.491,-23.2379
10.491,-23.3679
10.491,-23.4979
10.491,-23.6279
10.491,-23.7579
10.491,-23.8879
10.491,-24.0179
10.6036,-24.0829
10.6036,-23.9529
10.6036,-23.8229
10.6036,-23.6929
10.6036,-23.5629
10.6036,-23.4329
10.6036,-23.3029
10.6036,-23.1729
10.6036,-23.0429
10.6036,-22.9129
10.6036,-22.7829
10.6036,-22.6529
10.6036,-22.5229
10.6036,-22.3929
10.6036,-22.2629
10.6036,-22.1329
10.6036,-22.0029
10.6036,-21.8729
10.6036,-21.7429
10.6036,-21.6129
10.6036,-21.4829
10.6036,-21.3529
10.6036,-21.2229
10.7162,-21.1579
10.7162,-21.2879
10.7162,-21.4179
10.7162,-21.5479
10.7162,-21.6779
10.7162,-21.8079
10.7162,-21.9379
10.7162,-22.0679
10.7162,-22.1979
10.7162,-22.3279
10.7162,-22.4579
10.7162,-22.5879
10.7162,-22.7179
10.7162,-22.8479
10.7162,-22.9779
10.7162,-23.1079
10.7162,-23.2379
10.7162,-23.3679
10.7162,-23.4979
10.7162,-23.6279
10.7162,-23.7579
10.7162,-23.8879
10.7162,-24.0179
10.8288,-24.0829
10.8288,-23.9529
10.8288,-23.8229
10.8288,-23.6929
10.8288,-23.5629
10.8288,-23.4329
10.8288,-23.3029
10.8288,-23.1729
10.8288,-23.0429
10.8288,-22.9129
10.8288,-22.7829
10.8288,-22.6529
10.8288,-22.5229
10.8288,-22.3929
10.8288,-22.2629
10.8288,-22.1329
10.8288,-22.0029
10.8288,-21.8729
10.8288,-21.7429
10.8288,-21.6129
10.8288,-21.4829
10.8288,-21.3529
10.8288,-21.2229
10.9414,-21.1579
10.9414,-21.2879
10.9414,-21.4179
10.9414,-21.5479
10.9414,-21.6779
10.9414,-21.8079
10.9414,-21.9379
10.9414,-22.0679
10.9414,-22.1979
10.9414,-22.3279
10.9414,-22.4579
10.9414,-22.5879
10.9414,-22.7179
10.9414,-22.8479
10.9414,-22.9779
10.9414,-23.1079
10.9414,-23.2379
10.9414,-23.3679
10.9414,-23.4979
10.9414,-23.6279
10.9414,-23.7579
10.9414,-23.8879
10.9414,-24.0179
11.054,-24.0829
11.054,-23.9529
11.054,-23.8229
11.054,-23.6929
11.054,-23.5629
11.054,-23.4329
11.054,-23.3029
11.054,-23.1729
11.054,-23.0429
11.054,-22.9129
11.054,-22.7829
11.054,-22.6529
11.054,-22.5229
11.054,-22.3929
11.054,-22.2629
11.054,-22.1329
11.054,-22.0029
11.054,-21.8729
11.054,-21.7429
11.054,-21.6129
11.054,-21.4829
11.054,-21.3529
11.054,-21.2229
11.1666,-21.1579
11.1666,-21.2879
11.1666,-21.4179
11.1666,-21.5479
11.1666,-21.6779
11.1666,-21.8079
11.1666,-21.9379
11.1666,-22.0679
11.1666,-22.1979
11.1666,-22.3279
11.1666,-22.4579
11.1666,-22.5879
11.1666,-22.7179
11.1666,-22.8479
11.1666,-22.9779
11.1666,-23.1079
11.1666,-23.2379
11.1666,-23.3679
11.1666,-23.4979
11.1666,-23.6279
11.1666,-23.7579
11.1666,-23.8879
11.1666,-24.0179
11.2792,-24.0829
11.2792,-23.9529
11.2792,-23.8229
11.2792,-23.6929
11.2792,-23.5629
11.2792,-23.4329
11.2792,-23.3029
11.2792,-23.1729
11.2792,-23.0429
11.2792,-22.9129
11.2792,-22.7829
11.2792,-22.6529
11.2792,-22.5229
11.2792,-22.3929
11.2792,-22.2629
11.2792,-22.1329
11.2792,-22.0029
11.2792,-21.8729
11.2792,-21.7429
11.2792,-21.6129
11.2792,-21.4829
11.2792,-21.3529
11.2792,-21.2229
11.3918,-21.1579
11.3918,-21.2879
11.3918,-21.4179
11.3918,-21.5479
11.3918,-21.6779
11.3918,-21.8079
11.3918,-21.9379
11.3918,-22.0679
11.3918,-22.1979
11.3918,-22.3279
11.3918,-22.4579
11.3918,-22.5879
11.3918,-22.7179
11.3918,-22.8479
11.3918,-22.9779
11.3918,-23.1079
11.3918,-23.2379
11.3918,-23.3679
11.3918,-23.4979
11.3918,-23.6279
11.3918,-23.7579
11.3918,-23.8879
11.3918,-24.0179
11.5044,-24.0829
11.5044,-23.9529
11.5044,-23.8229
11.5044,-23.6929
11.5044,-23.5629
11.5044,-23.4329
11.5044,-23.3029
11.5044,-23.1729
11.5044,-23.0429
11.5044,-22.9129
11.5044,-22.7829
11.5044,-22.6529
11.5044,-22.5229
11.5044,-22.3929
11.5044,-22.2629
11.5044,-22.1329
11.5044,-22.0029
11.5044,-21.8729
11.5044,-21.7429
11.5044,-21.6129
11.5044,-21.4829
11.5044,-21.3529
11.5044,-21.2229
11.617,-21.1579
11.617,-21.2879
11.617,-21.4179
11.617,-21.5479
11.617,-21.6779
11.617,-21.8079
11.617,-21.9379
11.617,-22.0679
11.617,-22.1979
11.617,-22.3279
11.617,-22.4579
11.617,-22.5879
11.617,-22.7179
11.617,-22.8479
11.617,-22.9779
11.617,-23.1079
11.617,-23.2379
11.617,-23.3679
11.617,-23.4979
11.617,-23.6279
11.617,-23.7579
11.617,-23.8879
11.617,-24.0179
11.7296,-24.0829
11.7296,-23.9529
11.7296,-23.8229
11.7296,-23.6929
11.7296,-23.5629
11.7296,-23.4329
11.7296,-23.3029
11.7296,-23.1729
11.7296,-23.0429
11.7296,-22.9129
11.7296,-22.7829
11.7296,-22.6529
11.7296,-22.5229
11.7296,-22.3929
11.7296,-22.2629
11.7296,-22.1329
11.7296,-22.0029
11.7296,-21.8729
11.7296,-21.7429
11.7296,-21.6129
11.7296,-21.4829
11.7296,-21.3529
11.7296,-21.2229
11.8422,-21.1579
11.8422,-21.2879
11.8422,-21.4179
11.8422,-21.5479
11.8422,-21.6779
11.8422,-21.8079
11.8422,-21.9379
11.8422,-22.0679
11.8422,-22.1979
11.8422,-22.3279
11.8422,-22.4579
11.8422,-22.5879
11.8422,-22.7179
11.8422,-22.8479
11.8422,-22.9779
11.8422,-23.1079
11.8422,-23.2379
11.8422,-23.3679
11.8422,-23.4979
11.8422,-23.6279
11.8422,-23.7579
11.8422,-23.8879
11.8422,-24.0179
11.9548,-24.0829
11.9548,-23.9529
11.9548,-23.8229
11.9548,-23.6929
11.9548,-23.5629
11.9548,-23.4329
11.9548,-23.3029
11.9548,-23.1729
11.9548,-23.0429
11.9548,-22.9129
11.9548,-22.7829
11.9548,-22.6529
11.9548,-22.5229
11.9548,-22.3929
11.9548,-22.2629
11.9548,-22.1329
11.9548,-22.0029
11.9548,-21.8729
11.9548,-21.7429
11.9548,-21.6129
11.9548,-21.4829
11.9548,-21.3529
11.9548,-21.2229
12.0674,-21.1579
12.0674,-21.2879
12.0674,-21.4179
12.0674,-21.5479
12.0674,-21.6779
12.0674,-21.8079
12.0674,-21.9379
12.0674,-22.0679
12.0674,-22.1979
12.0674,-22.3279
12.0674,-22.4579
12.0674,-22.5879
12.0674,-22.7179
12.0674,-22.8479
12.0674,-22.9779
12.0674,-23.1079
12.0674,-23.2379
12.0674,-23.3679
12.0674,-23.4979
12.0674,-23.6279
12.0674,-23.7579
12.0674,-23.8879
12.0674,-24.0179
12.18,-24.0829
12.18,-23.9529
12.18,-23.8229
12.18,-23.6929
12.18,-23.5629
12.18,-23.4329
12.18,-23.3029
12.18,-23.1729
12.18,-23.0429
12.18,-22.9129
12.18,-22.7829
12.18,-22.6529
12.18,-22.5229
12.18,-22.3929
12.18,-22.2629
12.18,-22.1329
12.18,-22.0029
12.18,-21.8729
12.18,-21.7429
12.18,-21.6129
