Execute,Status,LaserParamSet,MotionParamSet,Offset,CutRepeat,Probe,Note|#s
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,1,0,0,1,1,MicroHole
1,0,0,0,0,30,1,GH
1,0,0,0,0,30,1,LAM_GH
1,0,0,1,0,30,1,others
1,0,0,1,0,20,1,edge
